Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.490567	-0.490567
1	0.950747	750	-0.489961	-0.980528
2	0.926679	750	-0.531700	-1.512228
3	0.902980	750	-0.576018	-2.088245
4	0.879648	750	-0.556523	-2.644768
5	0.856682	750	-0.558809	-3.203577
6	0.834079	750	-0.509864	-3.713441
7	0.811838	750	-0.438521	-4.151963
8	0.789957	750	-0.469913	-4.621875
9	0.768433	750	-0.423035	-5.044910
10	0.747266	750	-0.468799	-5.513709
11	0.726452	750	-0.422774	-5.936483
12	0.705989	750	-0.400003	-6.336485
13	0.685877	750	-0.391698	-6.728183
14	0.666112	750	-0.405644	-7.133827
15	0.646693	750	-0.438048	-7.571876
16	0.627618	750	-0.389649	-7.961524
17	0.608884	750	-0.361836	-8.323361
18	0.590490	750	-0.378165	-8.701525
19	0.572433	750	-0.443165	-9.144691
20	0.554712	750	-0.377617	-9.522307
21	0.537324	750	-0.359370	-9.881678
22	0.520268	750	-0.347095	-10.228772
23	0.503540	750	-0.341697	-10.570469
24	0.487139	750	-0.336427	-10.906896
25	0.471063	750	-0.327300	-11.234196
26	0.455310	750	-0.344103	-11.578300
27	0.439877	750	-0.365019	-11.943318
28	0.424762	750	-0.307418	-12.250736
29	0.409963	750	-0.324861	-12.575597
30	0.395478	750	-0.321127	-12.896724
31	0.381305	750	-0.308636	-13.205360
32	0.367440	750	-0.307777	-13.513137
33	0.353883	750	-0.294827	-13.807964
34	0.340630	750	-0.330297	-14.138261
35	0.327680	750	-0.265755	-14.404015
36	0.315030	750	-0.303896	-14.707911
37	0.302677	750	-0.293197	-15.001108
38	0.290619	750	-0.353344	-15.354452
39	0.278855	750	-0.269015	-15.623467
40	0.267381	750	-0.255317	-15.878784
41	0.256195	750	-0.270038	-16.148822
42	0.245294	750	-0.295994	-16.444816
43	0.234677	750	-0.217191	-16.662007
44	0.224340	750	-0.255814	-16.917821
45	0.214281	750	-0.252593	-17.170414
46	0.204498	750	-0.234321	-17.404736
47	0.194988	750	-0.264175	-17.668911
48	0.185749	750	-0.254779	-17.923690
49	0.176777	750	-0.208311	-18.132000
50	0.168070	750	-0.196119	-18.328120
51	0.159626	750	-0.196431	-18.524550
52	0.151441	750	-0.209484	-18.734034
53	0.143514	750	-0.197568	-18.931602
54	0.135841	750	-0.236287	-19.167890
55	0.128420	750	-0.170850	-19.338739
56	0.121247	750	-0.161436	-19.500176
57	0.114320	750	-0.177027	-19.677202
58	0.107637	750	-0.177959	-19.855161
59	0.101193	750	-0.216930	-20.072091
60	0.094986	750	-0.178368	-20.250459
61	0.089014	750	-0.163147	-20.413607
62	0.083273	750	-0.128492	-20.542098
63	0.077760	750	-0.162659	-20.704757
64	0.072472	750	-0.181466	-20.886224
65	0.067406	750	-0.122781	-21.009005
66	0.062558	750	-0.139485	-21.148490
67	0.057926	750	-0.112301	-21.260791
68	0.053506	750	-0.097522	-21.358313
69	0.049295	750	-0.165446	-21.523759
70	0.045289	750	-0.103153	-21.626911
71	0.041485	750	-0.101385	-21.728297
72	0.037880	750	-0.105282	-21.833579
73	0.034469	750	-0.100166	-21.933745
74	0.031250	750	-0.093901	-22.027646
75	0.028218	750	-0.115792	-22.143438
76	0.025370	750	-0.079267	-22.222705
77	0.022702	750	-0.068046	-22.290750
78	0.020209	750	-0.061284	-22.352034
79	0.017889	750	-0.064783	-22.416817
80	0.015736	750	-0.072790	-22.489608
81	0.013746	750	-0.062225	-22.551833
82	0.011916	750	-0.054783	-22.606616
83	0.010240	750	-0.053519	-22.660135
84	0.008714	750	-0.065991	-22.726126
85	0.007334	750	-0.046734	-22.772860
86	0.006093	750	-0.040605	-22.813465
87	0.004988	750	-0.027855	-22.841320
88	0.004013	750	-0.036033	-22.877353
89	0.003162	750	-0.024500	-22.901854
90	0.002430	750	-0.022283	-22.924136
91	0.001810	750	-0.030206	-22.954342
92	0.001296	750	-0.017616	-22.971958
93	0.000882	750	-0.012422	-22.984380
94	0.000559	750	-0.011552	-22.995933
95	0.000320	750	-0.006736	-23.002669
96	0.000156	750	-0.007824	-23.010493
97	0.000057	750	-0.006173	-23.016666
98	0.000010	750	-0.018851	-23.035516
99	0.000000	750	-0.001083	-23.036600
Log marginal likelihood:	-23.036600
