Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.117391	-2.117391
1	0.950747	750	-2.086353	-4.203744
2	0.926679	750	-1.972178	-6.175922
3	0.902980	750	-1.978058	-8.153980
4	0.879648	750	-1.945221	-10.099201
5	0.856682	750	-1.932884	-12.032085
6	0.834079	750	-1.889709	-13.921794
7	0.811838	750	-1.876503	-15.798298
8	0.789957	750	-1.840248	-17.638545
9	0.768433	750	-1.812404	-19.450949
10	0.747266	750	-1.774388	-21.225338
11	0.726452	750	-1.752312	-22.977650
12	0.705989	750	-1.732254	-24.709904
13	0.685877	750	-1.694719	-26.404623
14	0.666112	750	-1.670491	-28.075114
15	0.646693	750	-1.641020	-29.716134
16	0.627618	750	-1.598127	-31.314261
17	0.608884	750	-1.576046	-32.890307
18	0.590490	750	-1.564211	-34.454518
19	0.572433	750	-1.551543	-36.006061
20	0.554712	750	-1.480440	-37.486501
21	0.537324	750	-1.465497	-38.951997
22	0.520268	750	-1.443829	-40.395826
23	0.503540	750	-1.430035	-41.825861
24	0.487139	750	-1.387475	-43.213336
25	0.471063	750	-1.373523	-44.586860
26	0.455310	750	-1.385221	-45.972081
27	0.439877	750	-1.333922	-47.306003
28	0.424762	750	-1.319912	-48.625915
29	0.409963	750	-1.280548	-49.906463
30	0.395478	750	-1.270952	-51.177415
31	0.381305	750	-1.234043	-52.411458
32	0.367440	750	-1.185918	-53.597376
33	0.353883	750	-1.236194	-54.833570
34	0.340630	750	-1.133503	-55.967073
35	0.327680	750	-1.119485	-57.086558
36	0.315030	750	-1.108460	-58.195018
37	0.302677	750	-1.084226	-59.279244
38	0.290619	750	-1.063352	-60.342596
39	0.278855	750	-1.070348	-61.412945
40	0.267381	750	-1.007467	-62.420412
41	0.256195	750	-0.987836	-63.408248
42	0.245294	750	-0.963913	-64.372161
43	0.234677	750	-0.915616	-65.287777
44	0.224340	750	-0.886507	-66.174283
45	0.214281	750	-0.921304	-67.095587
46	0.204498	750	-0.885724	-67.981311
47	0.194988	750	-0.832290	-68.813601
48	0.185749	750	-0.870407	-69.684008
49	0.176777	750	-0.805223	-70.489231
50	0.168070	750	-0.806202	-71.295433
51	0.159626	750	-0.870924	-72.166356
52	0.151441	750	-0.730212	-72.896568
53	0.143514	750	-0.712479	-73.609046
54	0.135841	750	-0.730421	-74.339468
55	0.128420	750	-0.667321	-75.006789
56	0.121247	750	-0.648524	-75.655313
57	0.114320	750	-0.626281	-76.281594
58	0.107637	750	-0.598309	-76.879903
59	0.101193	750	-0.591910	-77.471813
60	0.094986	750	-0.560959	-78.032772
61	0.089014	750	-0.557584	-78.590356
62	0.083273	750	-0.541661	-79.132016
63	0.077760	750	-0.519171	-79.651187
64	0.072472	750	-0.533265	-80.184452
65	0.067406	750	-0.483398	-80.667850
66	0.062558	750	-0.448501	-81.116351
67	0.057926	750	-0.442470	-81.558821
68	0.053506	750	-0.421752	-81.980573
69	0.049295	750	-0.409786	-82.390359
70	0.045289	750	-0.399547	-82.789906
71	0.041485	750	-0.361439	-83.151345
72	0.037880	750	-0.348466	-83.499811
73	0.034469	750	-0.351191	-83.851002
74	0.031250	750	-0.330132	-84.181134
75	0.028218	750	-0.311369	-84.492503
76	0.025370	750	-0.296540	-84.789043
77	0.022702	750	-0.288957	-85.078000
78	0.020209	750	-0.234895	-85.312895
79	0.017889	750	-0.247732	-85.560627
80	0.015736	750	-0.244376	-85.805003
81	0.013746	750	-0.214596	-86.019599
82	0.011916	750	-0.219561	-86.239160
83	0.010240	750	-0.186211	-86.425370
84	0.008714	750	-0.174624	-86.599994
85	0.007334	750	-0.147371	-86.747365
86	0.006093	750	-0.126596	-86.873961
87	0.004988	750	-0.122019	-86.995979
88	0.004013	750	-0.109765	-87.105744
89	0.003162	750	-0.099827	-87.205571
90	0.002430	750	-0.075440	-87.281011
91	0.001810	750	-0.063544	-87.344555
92	0.001296	750	-0.056982	-87.401538
93	0.000882	750	-0.052569	-87.454107
94	0.000559	750	-0.037781	-87.491888
95	0.000320	750	-0.053552	-87.545441
96	0.000156	750	-0.019736	-87.565176
97	0.000057	750	-0.013422	-87.578598
98	0.000010	750	-0.005897	-87.584494
99	0.000000	750	-0.001556	-87.586050
Log marginal likelihood:	-87.586050
