Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.280875	-1.280875
1	0.950747	750	-1.263448	-2.544324
2	0.926679	750	-1.234749	-3.779072
3	0.902980	750	-1.232025	-5.011097
4	0.879648	750	-1.200930	-6.212027
5	0.856682	750	-1.183820	-7.395846
6	0.834079	750	-1.178174	-8.574020
7	0.811838	750	-1.177037	-9.751057
8	0.789957	750	-1.170023	-10.921080
9	0.768433	750	-1.146808	-12.067889
10	0.747266	750	-1.095386	-13.163275
11	0.726452	750	-1.079605	-14.242880
12	0.705989	750	-1.068722	-15.311602
13	0.685877	750	-1.052150	-16.363752
14	0.666112	750	-1.043456	-17.407208
15	0.646693	750	-1.010802	-18.418010
16	0.627618	750	-1.029982	-19.447992
17	0.608884	750	-1.012851	-20.460843
18	0.590490	750	-0.958815	-21.419658
19	0.572433	750	-0.969512	-22.389170
20	0.554712	750	-0.934725	-23.323896
21	0.537324	750	-0.929070	-24.252966
22	0.520268	750	-0.925289	-25.178255
23	0.503540	750	-0.890036	-26.068291
24	0.487139	750	-0.916791	-26.985082
25	0.471063	750	-0.892358	-27.877440
26	0.455310	750	-0.883911	-28.761351
27	0.439877	750	-0.836890	-29.598241
28	0.424762	750	-0.822991	-30.421232
29	0.409963	750	-0.816541	-31.237773
30	0.395478	750	-0.809699	-32.047472
31	0.381305	750	-0.783802	-32.831274
32	0.367440	750	-0.788721	-33.619995
33	0.353883	750	-0.774607	-34.394602
34	0.340630	750	-0.749606	-35.144208
35	0.327680	750	-0.739004	-35.883212
36	0.315030	750	-0.739203	-36.622415
37	0.302677	750	-0.708384	-37.330799
38	0.290619	750	-0.677720	-38.008519
39	0.278855	750	-0.665307	-38.673826
40	0.267381	750	-0.669124	-39.342950
41	0.256195	750	-0.636034	-39.978984
42	0.245294	750	-0.626051	-40.605035
43	0.234677	750	-0.620900	-41.225935
44	0.224340	750	-0.594785	-41.820720
45	0.214281	750	-0.585567	-42.406287
46	0.204498	750	-0.568204	-42.974491
47	0.194988	750	-0.551221	-43.525712
48	0.185749	750	-0.541906	-44.067617
49	0.176777	750	-0.537406	-44.605023
50	0.168070	750	-0.507953	-45.112976
51	0.159626	750	-0.513895	-45.626870
52	0.151441	750	-0.488405	-46.115276
53	0.143514	750	-0.478809	-46.594085
54	0.135841	750	-0.463612	-47.057697
55	0.128420	750	-0.441129	-47.498826
56	0.121247	750	-0.432332	-47.931158
57	0.114320	750	-0.432010	-48.363168
58	0.107637	750	-0.425202	-48.788370
59	0.101193	750	-0.409270	-49.197640
60	0.094986	750	-0.395731	-49.593371
61	0.089014	750	-0.377378	-49.970749
62	0.083273	750	-0.382909	-50.353658
63	0.077760	750	-0.362061	-50.715719
64	0.072472	750	-0.352331	-51.068050
65	0.067406	750	-0.331439	-51.399489
66	0.062558	750	-0.325300	-51.724789
67	0.057926	750	-0.305553	-52.030342
68	0.053506	750	-0.311939	-52.342281
69	0.049295	750	-0.283889	-52.626170
70	0.045289	750	-0.294848	-52.921018
71	0.041485	750	-0.268323	-53.189341
72	0.037880	750	-0.270261	-53.459603
73	0.034469	750	-0.242896	-53.702498
74	0.031250	750	-0.248416	-53.950915
75	0.028218	750	-0.226845	-54.177759
76	0.025370	750	-0.218460	-54.396219
77	0.022702	750	-0.203268	-54.599488
78	0.020209	750	-0.211343	-54.810830
79	0.017889	750	-0.193764	-55.004594
80	0.015736	750	-0.177077	-55.181671
81	0.013746	750	-0.176078	-55.357749
82	0.011916	750	-0.156370	-55.514119
83	0.010240	750	-0.166678	-55.680797
84	0.008714	750	-0.126094	-55.806891
85	0.007334	750	-0.114607	-55.921498
86	0.006093	750	-0.116058	-56.037555
87	0.004988	750	-0.103867	-56.141422
88	0.004013	750	-0.089837	-56.231259
89	0.003162	750	-0.076749	-56.308008
90	0.002430	750	-0.071681	-56.379689
91	0.001810	750	-0.053435	-56.433124
92	0.001296	750	-0.046879	-56.480002
93	0.000882	750	-0.041909	-56.521911
94	0.000559	750	-0.036082	-56.557993
95	0.000320	750	-0.023161	-56.581154
96	0.000156	750	-0.015184	-56.596338
97	0.000057	750	-0.009834	-56.606172
98	0.000010	750	-0.004297	-56.610469
99	0.000000	750	-0.001054	-56.611522
Log marginal likelihood:	-56.611522
