Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.297283	-1.297283
1	0.950747	750	-1.278573	-2.575856
2	0.926679	750	-1.249747	-3.825603
3	0.902980	750	-1.236663	-5.062266
4	0.879648	750	-1.219624	-6.281890
5	0.856682	750	-1.199345	-7.481235
6	0.834079	750	-1.182286	-8.663521
7	0.811838	750	-1.165501	-9.829022
8	0.789957	750	-1.148569	-10.977591
9	0.768433	750	-1.113965	-12.091556
10	0.747266	750	-1.111185	-13.202741
11	0.726452	750	-1.094142	-14.296884
12	0.705989	750	-1.071840	-15.368723
13	0.685877	750	-1.053786	-16.422509
14	0.666112	750	-1.039085	-17.461594
15	0.646693	750	-1.017117	-18.478711
16	0.627618	750	-1.000979	-19.479690
17	0.608884	750	-0.983894	-20.463583
18	0.590490	750	-0.969654	-21.433237
19	0.572433	750	-0.955279	-22.388516
20	0.554712	750	-0.912896	-23.301412
21	0.537324	750	-0.905902	-24.207314
22	0.520268	750	-0.898060	-25.105374
23	0.503540	750	-0.884454	-25.989828
24	0.487139	750	-0.866677	-26.856505
25	0.471063	750	-0.853194	-27.709699
26	0.455310	750	-0.834355	-28.544054
27	0.439877	750	-0.817581	-29.361634
28	0.424762	750	-0.802945	-30.164579
29	0.409963	750	-0.784307	-30.948886
30	0.395478	750	-0.770443	-31.719328
31	0.381305	750	-0.754491	-32.473820
32	0.367440	750	-0.739132	-33.212951
33	0.353883	750	-0.725896	-33.938847
34	0.340630	750	-0.702888	-34.641735
35	0.327680	750	-0.687241	-35.328976
36	0.315030	750	-0.678600	-36.007577
37	0.302677	750	-0.662908	-36.670485
38	0.290619	750	-0.650178	-37.320663
39	0.278855	750	-0.628226	-37.948889
40	0.267381	750	-0.616834	-38.565723
41	0.256195	750	-0.601997	-39.167720
42	0.245294	750	-0.588867	-39.756587
43	0.234677	750	-0.569850	-40.326437
44	0.224340	750	-0.564237	-40.890674
45	0.214281	750	-0.544819	-41.435492
46	0.204498	750	-0.532683	-41.968176
47	0.194988	750	-0.520402	-42.488578
48	0.185749	750	-0.502993	-42.991570
49	0.176777	750	-0.503636	-43.495207
50	0.168070	750	-0.483414	-43.978621
51	0.159626	750	-0.464630	-44.443251
52	0.151441	750	-0.459346	-44.902597
53	0.143514	750	-0.442994	-45.345591
54	0.135841	750	-0.426829	-45.772420
55	0.128420	750	-0.419194	-46.191614
56	0.121247	750	-0.413948	-46.605562
57	0.114320	750	-0.399192	-47.004754
58	0.107637	750	-0.392549	-47.397304
59	0.101193	750	-0.389453	-47.786757
60	0.094986	750	-0.361660	-48.148417
61	0.089014	750	-0.354265	-48.502682
62	0.083273	750	-0.357997	-48.860679
63	0.077760	750	-0.341527	-49.202206
64	0.072472	750	-0.330120	-49.532326
65	0.067406	750	-0.331615	-49.863941
66	0.062558	750	-0.316192	-50.180133
67	0.057926	750	-0.308155	-50.488288
68	0.053506	750	-0.294051	-50.782339
69	0.049295	750	-0.298155	-51.080494
70	0.045289	750	-0.287574	-51.368068
71	0.041485	750	-0.281282	-51.649350
72	0.037880	750	-0.251504	-51.900854
73	0.034469	750	-0.254667	-52.155521
74	0.031250	750	-0.248849	-52.404370
75	0.028218	750	-0.233572	-52.637942
76	0.025370	750	-0.218215	-52.856157
77	0.022702	750	-0.216845	-53.073002
78	0.020209	750	-0.189050	-53.262052
79	0.017889	750	-0.204396	-53.466448
80	0.015736	750	-0.177346	-53.643794
81	0.013746	750	-0.165452	-53.809247
82	0.011916	750	-0.150479	-53.959725
83	0.010240	750	-0.139674	-54.099400
84	0.008714	750	-0.126192	-54.225592
85	0.007334	750	-0.115687	-54.341279
86	0.006093	750	-0.114083	-54.455362
87	0.004988	750	-0.095455	-54.550817
88	0.004013	750	-0.091925	-54.642742
89	0.003162	750	-0.073974	-54.716716
90	0.002430	750	-0.080646	-54.797362
91	0.001810	750	-0.054275	-54.851637
92	0.001296	750	-0.045003	-54.896639
93	0.000882	750	-0.039035	-54.935674
94	0.000559	750	-0.035826	-54.971500
95	0.000320	750	-0.023703	-54.995204
96	0.000156	750	-0.016811	-55.012015
97	0.000057	750	-0.010075	-55.022089
98	0.000010	750	-0.004639	-55.026728
99	0.000000	750	-0.000851	-55.027579
Log marginal likelihood:	-55.027579
