Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.752013	-1.752013
1	0.950747	750	-1.705302	-3.457315
2	0.926679	750	-1.700428	-5.157743
3	0.902980	750	-1.657786	-6.815529
4	0.879648	750	-1.637379	-8.452908
5	0.856682	750	-1.617245	-10.070153
6	0.834079	750	-1.611478	-11.681631
7	0.811838	750	-1.572566	-13.254198
8	0.789957	750	-1.559056	-14.813254
9	0.768433	750	-1.518254	-16.331508
10	0.747266	750	-1.509743	-17.841251
11	0.726452	750	-1.465427	-19.306678
12	0.705989	750	-1.461883	-20.768561
13	0.685877	750	-1.438230	-22.206791
14	0.666112	750	-1.417721	-23.624512
15	0.646693	750	-1.380257	-25.004770
16	0.627618	750	-1.371529	-26.376299
17	0.608884	750	-1.346970	-27.723269
18	0.590490	750	-1.314517	-29.037786
19	0.572433	750	-1.301079	-30.338865
20	0.554712	750	-1.282218	-31.621083
21	0.537324	750	-1.249691	-32.870774
22	0.520268	750	-1.235058	-34.105832
23	0.503540	750	-1.202596	-35.308429
24	0.487139	750	-1.184893	-36.493321
25	0.471063	750	-1.154349	-37.647670
26	0.455310	750	-1.132321	-38.779991
27	0.439877	750	-1.119500	-39.899491
28	0.424762	750	-1.093733	-40.993224
29	0.409963	750	-1.058769	-42.051993
30	0.395478	750	-1.046319	-43.098312
31	0.381305	750	-1.025388	-44.123700
32	0.367440	750	-1.000001	-45.123702
33	0.353883	750	-0.991177	-46.114879
34	0.340630	750	-0.961511	-47.076390
35	0.327680	750	-0.947149	-48.023538
36	0.315030	750	-0.921992	-48.945530
37	0.302677	750	-0.901873	-49.847403
38	0.290619	750	-0.888862	-50.736265
39	0.278855	750	-0.869992	-51.606258
40	0.267381	750	-0.847758	-52.454016
41	0.256195	750	-0.832769	-53.286785
42	0.245294	750	-0.799232	-54.086016
43	0.234677	750	-0.791981	-54.877998
44	0.224340	750	-0.763515	-55.641513
45	0.214281	750	-0.751245	-56.392758
46	0.204498	750	-0.740197	-57.132955
47	0.194988	750	-0.711866	-57.844821
48	0.185749	750	-0.700203	-58.545024
49	0.176777	750	-0.667288	-59.212312
50	0.168070	750	-0.656215	-59.868527
51	0.159626	750	-0.638383	-60.506910
52	0.151441	750	-0.627438	-61.134347
53	0.143514	750	-0.607936	-61.742283
54	0.135841	750	-0.583734	-62.326017
55	0.128420	750	-0.561915	-62.887932
56	0.121247	750	-0.547552	-63.435484
57	0.114320	750	-0.533123	-63.968607
58	0.107637	750	-0.520111	-64.488718
59	0.101193	750	-0.510192	-64.998909
60	0.094986	750	-0.487185	-65.486095
61	0.089014	750	-0.486620	-65.972714
62	0.083273	750	-0.456077	-66.428792
63	0.077760	750	-0.441128	-66.869920
64	0.072472	750	-0.430932	-67.300853
65	0.067406	750	-0.416711	-67.717564
66	0.062558	750	-0.399457	-68.117021
67	0.057926	750	-0.381747	-68.498768
68	0.053506	750	-0.359404	-68.858172
69	0.049295	750	-0.353169	-69.211341
70	0.045289	750	-0.338904	-69.550245
71	0.041485	750	-0.336780	-69.887025
72	0.037880	750	-0.328654	-70.215679
73	0.034469	750	-0.308190	-70.523869
74	0.031250	750	-0.299081	-70.822950
75	0.028218	750	-0.280273	-71.103223
76	0.025370	750	-0.265200	-71.368424
77	0.022702	750	-0.263752	-71.632175
78	0.020209	750	-0.225587	-71.857762
79	0.017889	750	-0.211743	-72.069505
80	0.015736	750	-0.216417	-72.285922
81	0.013746	750	-0.194156	-72.480078
82	0.011916	750	-0.178980	-72.659058
83	0.010240	750	-0.168665	-72.827724
84	0.008714	750	-0.150307	-72.978031
85	0.007334	750	-0.142080	-73.120111
86	0.006093	750	-0.129938	-73.250049
87	0.004988	750	-0.114295	-73.364344
88	0.004013	750	-0.110515	-73.474860
89	0.003162	750	-0.095924	-73.570784
90	0.002430	750	-0.086210	-73.656994
91	0.001810	750	-0.067817	-73.724811
92	0.001296	750	-0.054380	-73.779192
93	0.000882	750	-0.044875	-73.824066
94	0.000559	750	-0.034792	-73.858859
95	0.000320	750	-0.025787	-73.884645
96	0.000156	750	-0.017683	-73.902328
97	0.000057	750	-0.011019	-73.913347
98	0.000010	750	-0.004995	-73.918342
99	0.000000	750	-0.001263	-73.919605
Log marginal likelihood:	-73.919605
