Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.503091	-0.503091
1	0.950747	750	-0.488386	-0.991477
2	0.926679	750	-0.481752	-1.473229
3	0.902980	750	-0.475206	-1.948435
4	0.879648	750	-0.472878	-2.421313
5	0.856682	750	-0.453159	-2.874473
6	0.834079	750	-0.450096	-3.324568
7	0.811838	750	-0.435331	-3.759900
8	0.789957	750	-0.454527	-4.214426
9	0.768433	750	-0.437385	-4.651812
10	0.747266	750	-0.432060	-5.083872
11	0.726452	750	-0.429339	-5.513210
12	0.705989	750	-0.429431	-5.942642
13	0.685877	750	-0.412066	-6.354707
14	0.666112	750	-0.415697	-6.770404
15	0.646693	750	-0.401155	-7.171559
16	0.627618	750	-0.391292	-7.562852
17	0.608884	750	-0.394884	-7.957736
18	0.590490	750	-0.383673	-8.341409
19	0.572433	750	-0.382583	-8.723992
20	0.554712	750	-0.371239	-9.095232
21	0.537324	750	-0.368383	-9.463615
22	0.520268	750	-0.353500	-9.817116
23	0.503540	750	-0.355990	-10.173105
24	0.487139	750	-0.360964	-10.534069
25	0.471063	750	-0.333830	-10.867899
26	0.455310	750	-0.346120	-11.214019
27	0.439877	750	-0.336272	-11.550291
28	0.424762	750	-0.329983	-11.880274
29	0.409963	750	-0.329162	-12.209436
30	0.395478	750	-0.332262	-12.541698
31	0.381305	750	-0.322483	-12.864182
32	0.367440	750	-0.307346	-13.171528
33	0.353883	750	-0.295835	-13.467362
34	0.340630	750	-0.290155	-13.757517
35	0.327680	750	-0.282967	-14.040485
36	0.315030	750	-0.294361	-14.334846
37	0.302677	750	-0.280941	-14.615787
38	0.290619	750	-0.266940	-14.882727
39	0.278855	750	-0.287055	-15.169781
40	0.267381	750	-0.261303	-15.431085
41	0.256195	750	-0.247209	-15.678294
42	0.245294	750	-0.261176	-15.939470
43	0.234677	750	-0.253453	-16.192923
44	0.224340	750	-0.239483	-16.432405
45	0.214281	750	-0.229730	-16.662136
46	0.204498	750	-0.227654	-16.889789
47	0.194988	750	-0.234140	-17.123929
48	0.185749	750	-0.229939	-17.353869
49	0.176777	750	-0.222387	-17.576255
50	0.168070	750	-0.213674	-17.789929
51	0.159626	750	-0.202771	-17.992700
52	0.151441	750	-0.209227	-18.201928
53	0.143514	750	-0.212360	-18.414288
54	0.135841	750	-0.193954	-18.608242
55	0.128420	750	-0.197318	-18.805561
56	0.121247	750	-0.189531	-18.995092
57	0.114320	750	-0.175873	-19.170965
58	0.107637	750	-0.181169	-19.352134
59	0.101193	750	-0.170811	-19.522945
60	0.094986	750	-0.176057	-19.699002
61	0.089014	750	-0.172810	-19.871812
62	0.083273	750	-0.169309	-20.041121
63	0.077760	750	-0.158093	-20.199214
64	0.072472	750	-0.143411	-20.342625
65	0.067406	750	-0.142945	-20.485571
66	0.062558	750	-0.138597	-20.624168
67	0.057926	750	-0.137569	-20.761737
68	0.053506	750	-0.120654	-20.882391
69	0.049295	750	-0.123120	-21.005511
70	0.045289	750	-0.113534	-21.119045
71	0.041485	750	-0.110262	-21.229307
72	0.037880	750	-0.106319	-21.335625
73	0.034469	750	-0.102680	-21.438305
74	0.031250	750	-0.097860	-21.536165
75	0.028218	750	-0.087575	-21.623740
76	0.025370	750	-0.080998	-21.704738
77	0.022702	750	-0.083895	-21.788633
78	0.020209	750	-0.076626	-21.865259
79	0.017889	750	-0.074486	-21.939746
80	0.015736	750	-0.065680	-22.005426
81	0.013746	750	-0.069515	-22.074941
82	0.011916	750	-0.060722	-22.135663
83	0.010240	750	-0.046818	-22.182481
84	0.008714	750	-0.051411	-22.233892
85	0.007334	750	-0.044380	-22.278271
86	0.006093	750	-0.041581	-22.319852
87	0.004988	750	-0.040803	-22.360655
88	0.004013	750	-0.034628	-22.395284
89	0.003162	750	-0.032115	-22.427399
90	0.002430	750	-0.029176	-22.456575
91	0.001810	750	-0.024012	-22.480587
92	0.001296	750	-0.016694	-22.497280
93	0.000882	750	-0.014777	-22.512057
94	0.000559	750	-0.013138	-22.525195
95	0.000320	750	-0.007753	-22.532948
96	0.000156	750	-0.005315	-22.538262
97	0.000057	750	-0.003209	-22.541471
98	0.000010	750	-0.001430	-22.542902
99	0.000000	750	-0.000360	-22.543262
Log marginal likelihood:	-22.543262
