Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.466230	-2.466230
1	0.950747	750	-2.440455	-4.906686
2	0.926679	750	-2.398432	-7.305118
3	0.902980	750	-2.361976	-9.667094
4	0.879648	750	-2.324762	-11.991856
5	0.856682	750	-2.310800	-14.302655
6	0.834079	750	-2.252645	-16.555300
7	0.811838	750	-2.222291	-18.777591
8	0.789957	750	-2.182805	-20.960396
9	0.768433	750	-2.176920	-23.137317
10	0.747266	750	-2.139003	-25.276320
11	0.726452	750	-2.080347	-27.356667
12	0.705989	750	-2.046091	-29.402757
13	0.685877	750	-2.024627	-31.427385
14	0.666112	750	-1.983871	-33.411256
15	0.646693	750	-1.943672	-35.354928
16	0.627618	750	-1.911804	-37.266732
17	0.608884	750	-1.877244	-39.143975
18	0.590490	750	-1.854650	-40.998625
19	0.572433	750	-1.814522	-42.813147
20	0.554712	750	-1.782669	-44.595816
21	0.537324	750	-1.756824	-46.352640
22	0.520268	750	-1.716701	-48.069341
23	0.503540	750	-1.686787	-49.756128
24	0.487139	750	-1.662536	-51.418664
25	0.471063	750	-1.625664	-53.044328
26	0.455310	750	-1.598017	-54.642346
27	0.439877	750	-1.571006	-56.213351
28	0.424762	750	-1.535539	-57.748890
29	0.409963	750	-1.521201	-59.270091
30	0.395478	750	-1.472504	-60.742596
31	0.381305	750	-1.438889	-62.181485
32	0.367440	750	-1.401077	-63.582562
33	0.353883	750	-1.371656	-64.954217
34	0.340630	750	-1.347657	-66.301874
35	0.327680	750	-1.318054	-67.619928
36	0.315030	750	-1.279623	-68.899551
37	0.302677	750	-1.251053	-70.150604
38	0.290619	750	-1.227881	-71.378485
39	0.278855	750	-1.209957	-72.588443
40	0.267381	750	-1.171710	-73.760153
41	0.256195	750	-1.145537	-74.905690
42	0.245294	750	-1.116464	-76.022154
43	0.234677	750	-1.085520	-77.107674
44	0.224340	750	-1.069295	-78.176969
45	0.214281	750	-1.042495	-79.219464
46	0.204498	750	-1.008508	-80.227972
47	0.194988	750	-0.998237	-81.226209
48	0.185749	750	-0.956754	-82.182963
49	0.176777	750	-0.923628	-83.106591
50	0.168070	750	-0.908106	-84.014697
51	0.159626	750	-0.882746	-84.897443
52	0.151441	750	-0.847435	-85.744878
53	0.143514	750	-0.843083	-86.587961
54	0.135841	750	-0.803983	-87.391944
55	0.128420	750	-0.782293	-88.174237
56	0.121247	750	-0.755832	-88.930069
57	0.114320	750	-0.747728	-89.677797
58	0.107637	750	-0.718853	-90.396650
59	0.101193	750	-0.685454	-91.082104
60	0.094986	750	-0.664619	-91.746723
61	0.089014	750	-0.637301	-92.384023
62	0.083273	750	-0.618705	-93.002729
63	0.077760	750	-0.596999	-93.599727
64	0.072472	750	-0.573785	-94.173512
65	0.067406	750	-0.549913	-94.723426
66	0.062558	750	-0.532633	-95.256058
67	0.057926	750	-0.495759	-95.751817
68	0.053506	750	-0.511968	-96.263785
69	0.049295	750	-0.462352	-96.726137
70	0.045289	750	-0.453271	-97.179408
71	0.041485	750	-0.431900	-97.611308
72	0.037880	750	-0.413766	-98.025074
73	0.034469	750	-0.390781	-98.415854
74	0.031250	750	-0.373015	-98.788869
75	0.028218	750	-0.356689	-99.145559
76	0.025370	750	-0.344160	-99.489719
77	0.022702	750	-0.306266	-99.795985
78	0.020209	750	-0.298156	-100.094141
79	0.017889	750	-0.280985	-100.375126
80	0.015736	750	-0.257051	-100.632177
81	0.013746	750	-0.248194	-100.880371
82	0.011916	750	-0.226720	-101.107091
83	0.010240	750	-0.207693	-101.314783
84	0.008714	750	-0.195333	-101.510116
85	0.007334	750	-0.173778	-101.683894
86	0.006093	750	-0.163696	-101.847590
87	0.004988	750	-0.140694	-101.988284
88	0.004013	750	-0.124443	-102.112727
89	0.003162	750	-0.116436	-102.229162
90	0.002430	750	-0.095886	-102.325048
91	0.001810	750	-0.083584	-102.408633
92	0.001296	750	-0.069839	-102.478471
93	0.000882	750	-0.053821	-102.532293
94	0.000559	750	-0.040816	-102.573109
95	0.000320	750	-0.032528	-102.605637
96	0.000156	750	-0.021450	-102.627087
97	0.000057	750	-0.012943	-102.640030
98	0.000010	750	-0.006343	-102.646373
99	0.000000	750	-0.001358	-102.647731
Log marginal likelihood:	-102.647731
