Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.557336	-1.557336
1	0.950747	750	-1.588435	-3.145771
2	0.926679	750	-1.638066	-4.783837
3	0.902980	750	-1.579264	-6.363102
4	0.879648	750	-1.558023	-7.921124
5	0.856682	750	-1.481976	-9.403101
6	0.834079	750	-1.522387	-10.925488
7	0.811838	750	-1.467451	-12.392939
8	0.789957	750	-1.469327	-13.862266
9	0.768433	750	-1.427243	-15.289509
10	0.747266	750	-1.394185	-16.683694
11	0.726452	750	-1.383026	-18.066720
12	0.705989	750	-1.349957	-19.416677
13	0.685877	750	-1.341422	-20.758099
14	0.666112	750	-1.353224	-22.111323
15	0.646693	750	-1.316339	-23.427661
16	0.627618	750	-1.286621	-24.714282
17	0.608884	750	-1.259955	-25.974237
18	0.590490	750	-1.252517	-27.226754
19	0.572433	750	-1.233031	-28.459785
20	0.554712	750	-1.215091	-29.674876
21	0.537324	750	-1.184923	-30.859800
22	0.520268	750	-1.162401	-32.022201
23	0.503540	750	-1.140931	-33.163131
24	0.487139	750	-1.121862	-34.284993
25	0.471063	750	-1.156356	-35.441349
26	0.455310	750	-1.097366	-36.538715
27	0.439877	750	-1.099701	-37.638416
28	0.424762	750	-1.045355	-38.683772
29	0.409963	750	-1.025203	-39.708975
30	0.395478	750	-1.028104	-40.737079
31	0.381305	750	-1.024239	-41.761318
32	0.367440	750	-1.002584	-42.763903
33	0.353883	750	-0.976202	-43.740104
34	0.340630	750	-0.944576	-44.684681
35	0.327680	750	-0.940660	-45.625341
36	0.315030	750	-0.913873	-46.539213
37	0.302677	750	-0.873467	-47.412680
38	0.290619	750	-0.865374	-48.278055
39	0.278855	750	-0.864073	-49.142127
40	0.267381	750	-0.826333	-49.968460
41	0.256195	750	-0.810336	-50.778796
42	0.245294	750	-0.796344	-51.575140
43	0.234677	750	-0.778400	-52.353540
44	0.224340	750	-0.793907	-53.147447
45	0.214281	750	-0.751737	-53.899184
46	0.204498	750	-0.746458	-54.645642
47	0.194988	750	-0.730661	-55.376303
48	0.185749	750	-0.698111	-56.074414
49	0.176777	750	-0.703172	-56.777587
50	0.168070	750	-0.657935	-57.435522
51	0.159626	750	-0.660288	-58.095810
52	0.151441	750	-0.623145	-58.718955
53	0.143514	750	-0.626414	-59.345369
54	0.135841	750	-0.602710	-59.948079
55	0.128420	750	-0.603008	-60.551088
56	0.121247	750	-0.570965	-61.122052
57	0.114320	750	-0.550806	-61.672858
58	0.107637	750	-0.566056	-62.238914
59	0.101193	750	-0.520994	-62.759908
60	0.094986	750	-0.507385	-63.267293
61	0.089014	750	-0.520678	-63.787970
62	0.083273	750	-0.491671	-64.279641
63	0.077760	750	-0.470112	-64.749753
64	0.072472	750	-0.451562	-65.201314
65	0.067406	750	-0.424134	-65.625448
66	0.062558	750	-0.410550	-66.035998
67	0.057926	750	-0.405340	-66.441338
68	0.053506	750	-0.384547	-66.825885
69	0.049295	750	-0.395289	-67.221174
70	0.045289	750	-0.356961	-67.578135
71	0.041485	750	-0.381703	-67.959838
72	0.037880	750	-0.350482	-68.310320
73	0.034469	750	-0.329462	-68.639782
74	0.031250	750	-0.350791	-68.990574
75	0.028218	750	-0.316213	-69.306787
76	0.025370	750	-0.301698	-69.608485
77	0.022702	750	-0.278614	-69.887099
78	0.020209	750	-0.264436	-70.151535
79	0.017889	750	-0.231175	-70.382709
80	0.015736	750	-0.242653	-70.625362
81	0.013746	750	-0.225722	-70.851084
82	0.011916	750	-0.218315	-71.069399
83	0.010240	750	-0.186560	-71.255959
84	0.008714	750	-0.186699	-71.442658
85	0.007334	750	-0.147350	-71.590008
86	0.006093	750	-0.142206	-71.732215
87	0.004988	750	-0.133639	-71.865854
88	0.004013	750	-0.119126	-71.984980
89	0.003162	750	-0.106645	-72.091625
90	0.002430	750	-0.094539	-72.186164
91	0.001810	750	-0.079445	-72.265609
92	0.001296	750	-0.069869	-72.335477
93	0.000882	750	-0.047780	-72.383257
94	0.000559	750	-0.042351	-72.425608
95	0.000320	750	-0.035970	-72.461578
96	0.000156	750	-0.020631	-72.482209
97	0.000057	750	-0.013097	-72.495306
98	0.000010	750	-0.005780	-72.501086
99	0.000000	750	-0.001298	-72.502384
Log marginal likelihood:	-72.502384
