Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.252089	-1.252089
1	0.950747	750	-1.230062	-2.482151
2	0.926679	750	-1.215084	-3.697235
3	0.902980	750	-1.213955	-4.911190
4	0.879648	750	-1.192590	-6.103780
5	0.856682	750	-1.174030	-7.277810
6	0.834079	750	-1.170499	-8.448309
7	0.811838	750	-1.144406	-9.592716
8	0.789957	750	-1.126300	-10.719015
9	0.768433	750	-1.102426	-11.821441
10	0.747266	750	-1.094811	-12.916252
11	0.726452	750	-1.083201	-13.999454
12	0.705989	750	-1.049710	-15.049163
13	0.685877	750	-1.038322	-16.087485
14	0.666112	750	-1.009048	-17.096533
15	0.646693	750	-1.004550	-18.101083
16	0.627618	750	-0.997087	-19.098170
17	0.608884	750	-0.965257	-20.063427
18	0.590490	750	-0.962858	-21.026286
19	0.572433	750	-0.949643	-21.975929
20	0.554712	750	-0.931274	-22.907203
21	0.537324	750	-0.912584	-23.819787
22	0.520268	750	-0.895148	-24.714935
23	0.503540	750	-0.884166	-25.599101
24	0.487139	750	-0.873518	-26.472619
25	0.471063	750	-0.847358	-27.319977
26	0.455310	750	-0.842812	-28.162789
27	0.439877	750	-0.830571	-28.993360
28	0.424762	750	-0.817184	-29.810544
29	0.409963	750	-0.777749	-30.588294
30	0.395478	750	-0.779568	-31.367861
31	0.381305	750	-0.743393	-32.111255
32	0.367440	750	-0.750067	-32.861322
33	0.353883	750	-0.728182	-33.589504
34	0.340630	750	-0.722204	-34.311708
35	0.327680	750	-0.691978	-35.003686
36	0.315030	750	-0.703871	-35.707557
37	0.302677	750	-0.693683	-36.401240
38	0.290619	750	-0.663840	-37.065080
39	0.278855	750	-0.658099	-37.723179
40	0.267381	750	-0.638662	-38.361841
41	0.256195	750	-0.629285	-38.991126
42	0.245294	750	-0.618106	-39.609232
43	0.234677	750	-0.598461	-40.207694
44	0.224340	750	-0.578547	-40.786240
45	0.214281	750	-0.550908	-41.337148
46	0.204498	750	-0.546479	-41.883627
47	0.194988	750	-0.558833	-42.442460
48	0.185749	750	-0.547129	-42.989589
49	0.176777	750	-0.505618	-43.495208
50	0.168070	750	-0.513717	-44.008925
51	0.159626	750	-0.495100	-44.504025
52	0.151441	750	-0.484845	-44.988870
53	0.143514	750	-0.468309	-45.457179
54	0.135841	750	-0.446463	-45.903642
55	0.128420	750	-0.448578	-46.352220
56	0.121247	750	-0.464774	-46.816994
57	0.114320	750	-0.410292	-47.227286
58	0.107637	750	-0.413555	-47.640841
59	0.101193	750	-0.408910	-48.049750
60	0.094986	750	-0.382129	-48.431879
61	0.089014	750	-0.398232	-48.830111
62	0.083273	750	-0.404307	-49.234418
63	0.077760	750	-0.352931	-49.587349
64	0.072472	750	-0.369515	-49.956863
65	0.067406	750	-0.325927	-50.282790
66	0.062558	750	-0.334900	-50.617691
67	0.057926	750	-0.300114	-50.917805
68	0.053506	750	-0.304242	-51.222047
69	0.049295	750	-0.303060	-51.525107
70	0.045289	750	-0.269984	-51.795091
71	0.041485	750	-0.290534	-52.085626
72	0.037880	750	-0.265400	-52.351025
73	0.034469	750	-0.277680	-52.628705
74	0.031250	750	-0.259169	-52.887874
75	0.028218	750	-0.242740	-53.130614
76	0.025370	750	-0.247998	-53.378612
77	0.022702	750	-0.233912	-53.612524
78	0.020209	750	-0.252326	-53.864850
79	0.017889	750	-0.226513	-54.091363
80	0.015736	750	-0.184187	-54.275550
81	0.013746	750	-0.210583	-54.486133
82	0.011916	750	-0.198643	-54.684776
83	0.010240	750	-0.194519	-54.879296
84	0.008714	750	-0.162279	-55.041575
85	0.007334	750	-0.135133	-55.176708
86	0.006093	750	-0.142442	-55.319150
87	0.004988	750	-0.103285	-55.422435
88	0.004013	750	-0.104769	-55.527204
89	0.003162	750	-0.082763	-55.609967
90	0.002430	750	-0.090752	-55.700719
91	0.001810	750	-0.062726	-55.763445
92	0.001296	750	-0.071826	-55.835271
93	0.000882	750	-0.043963	-55.879234
94	0.000559	750	-0.040423	-55.919657
95	0.000320	750	-0.029731	-55.949389
96	0.000156	750	-0.023322	-55.972711
97	0.000057	750	-0.012362	-55.985073
98	0.000010	750	-0.006789	-55.991863
99	0.000000	750	-0.001173	-55.993035
Log marginal likelihood:	-55.993035
