Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.090646	-2.090646
1	0.950747	750	-2.046088	-4.136734
2	0.926679	750	-2.025884	-6.162618
3	0.902980	750	-1.978049	-8.140667
4	0.879648	750	-1.991552	-10.132219
5	0.856682	750	-1.931237	-12.063456
6	0.834079	750	-1.922853	-13.986309
7	0.811838	750	-1.894173	-15.880482
8	0.789957	750	-1.857545	-17.738027
9	0.768433	750	-1.804580	-19.542607
10	0.747266	750	-1.795381	-21.337987
11	0.726452	750	-1.778728	-23.116715
12	0.705989	750	-1.744960	-24.861674
13	0.685877	750	-1.709818	-26.571493
14	0.666112	750	-1.670271	-28.241764
15	0.646693	750	-1.643125	-29.884889
16	0.627618	750	-1.620117	-31.505007
17	0.608884	750	-1.596800	-33.101807
18	0.590490	750	-1.551277	-34.653084
19	0.572433	750	-1.537263	-36.190347
20	0.554712	750	-1.516657	-37.707003
21	0.537324	750	-1.482762	-39.189766
22	0.520268	750	-1.458742	-40.648508
23	0.503540	750	-1.434695	-42.083203
24	0.487139	750	-1.411767	-43.494970
25	0.471063	750	-1.383960	-44.878930
26	0.455310	750	-1.350103	-46.229033
27	0.439877	750	-1.337957	-47.566990
28	0.424762	750	-1.299664	-48.866654
29	0.409963	750	-1.282222	-50.148876
30	0.395478	750	-1.255772	-51.404648
31	0.381305	750	-1.235577	-52.640225
32	0.367440	750	-1.202381	-53.842606
33	0.353883	750	-1.181640	-55.024246
34	0.340630	750	-1.153233	-56.177479
35	0.327680	750	-1.125229	-57.302708
36	0.315030	750	-1.101037	-58.403745
37	0.302677	750	-1.071982	-59.475727
38	0.290619	750	-1.058374	-60.534101
39	0.278855	750	-1.021351	-61.555451
40	0.267381	750	-1.003633	-62.559084
41	0.256195	750	-0.970836	-63.529920
42	0.245294	750	-0.960132	-64.490052
43	0.234677	750	-0.935959	-65.426012
44	0.224340	750	-0.914020	-66.340031
45	0.214281	750	-0.884474	-67.224506
46	0.204498	750	-0.869566	-68.094071
47	0.194988	750	-0.844661	-68.938732
48	0.185749	750	-0.829384	-69.768116
49	0.176777	750	-0.793025	-70.561141
50	0.168070	750	-0.784706	-71.345847
51	0.159626	750	-0.762933	-72.108780
52	0.151441	750	-0.733889	-72.842669
53	0.143514	750	-0.718517	-73.561186
54	0.135841	750	-0.691141	-74.252326
55	0.128420	750	-0.667427	-74.919753
56	0.121247	750	-0.640999	-75.560752
57	0.114320	750	-0.628970	-76.189722
58	0.107637	750	-0.614154	-76.803876
59	0.101193	750	-0.589215	-77.393091
60	0.094986	750	-0.566698	-77.959789
61	0.089014	750	-0.550447	-78.510236
62	0.083273	750	-0.533984	-79.044219
63	0.077760	750	-0.518118	-79.562337
64	0.072472	750	-0.493879	-80.056216
65	0.067406	750	-0.479492	-80.535708
66	0.062558	750	-0.468055	-81.003762
67	0.057926	750	-0.449791	-81.453553
68	0.053506	750	-0.421892	-81.875445
69	0.049295	750	-0.403097	-82.278542
70	0.045289	750	-0.384915	-82.663457
71	0.041485	750	-0.372303	-83.035760
72	0.037880	750	-0.363054	-83.398814
73	0.034469	750	-0.337881	-83.736695
74	0.031250	750	-0.311748	-84.048443
75	0.028218	750	-0.302709	-84.351153
76	0.025370	750	-0.297343	-84.648496
77	0.022702	750	-0.288884	-84.937380
78	0.020209	750	-0.265231	-85.202611
79	0.017889	750	-0.237970	-85.440581
80	0.015736	750	-0.219757	-85.660338
81	0.013746	750	-0.210428	-85.870767
82	0.011916	750	-0.192152	-86.062919
83	0.010240	750	-0.186193	-86.249111
84	0.008714	750	-0.163235	-86.412346
85	0.007334	750	-0.154515	-86.566861
86	0.006093	750	-0.140941	-86.707802
87	0.004988	750	-0.122161	-86.829963
88	0.004013	750	-0.105799	-86.935762
89	0.003162	750	-0.092840	-87.028602
90	0.002430	750	-0.081219	-87.109821
91	0.001810	750	-0.066435	-87.176257
92	0.001296	750	-0.058610	-87.234867
93	0.000882	750	-0.047474	-87.282341
94	0.000559	750	-0.036894	-87.319235
95	0.000320	750	-0.026990	-87.346225
96	0.000156	750	-0.019170	-87.365395
97	0.000057	750	-0.011653	-87.377048
98	0.000010	750	-0.005430	-87.382479
99	0.000000	750	-0.001190	-87.383668
Log marginal likelihood:	-87.383668
