Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.262336	-1.262336
1	0.950747	750	-1.263738	-2.526073
2	0.926679	750	-1.220995	-3.747069
3	0.902980	750	-1.219335	-4.966404
4	0.879648	750	-1.215870	-6.182274
5	0.856682	750	-1.180569	-7.362843
6	0.834079	750	-1.168784	-8.531627
7	0.811838	750	-1.169204	-9.700831
8	0.789957	750	-1.166685	-10.867515
9	0.768433	750	-1.115728	-11.983244
10	0.747266	750	-1.106690	-13.089934
11	0.726452	750	-1.087879	-14.177813
12	0.705989	750	-1.069111	-15.246925
13	0.685877	750	-1.045127	-16.292051
14	0.666112	750	-1.032581	-17.324633
15	0.646693	750	-1.029958	-18.354590
16	0.627618	750	-1.009817	-19.364407
17	0.608884	750	-0.979558	-20.343965
18	0.590490	750	-1.001640	-21.345605
19	0.572433	750	-0.956598	-22.302203
20	0.554712	750	-0.948693	-23.250896
21	0.537324	750	-0.944357	-24.195252
22	0.520268	750	-0.927715	-25.122967
23	0.503540	750	-0.898652	-26.021619
24	0.487139	750	-0.884614	-26.906233
25	0.471063	750	-0.870693	-27.776926
26	0.455310	750	-0.866732	-28.643658
27	0.439877	750	-0.857590	-29.501248
28	0.424762	750	-0.820283	-30.321531
29	0.409963	750	-0.805539	-31.127070
30	0.395478	750	-0.793484	-31.920554
31	0.381305	750	-0.774336	-32.694890
32	0.367440	750	-0.775295	-33.470185
33	0.353883	750	-0.749162	-34.219346
34	0.340630	750	-0.744133	-34.963480
35	0.327680	750	-0.739262	-35.702741
36	0.315030	750	-0.698597	-36.401339
37	0.302677	750	-0.698222	-37.099561
38	0.290619	750	-0.679454	-37.779015
39	0.278855	750	-0.647898	-38.426913
40	0.267381	750	-0.658496	-39.085410
41	0.256195	750	-0.634267	-39.719676
42	0.245294	750	-0.618474	-40.338150
43	0.234677	750	-0.609191	-40.947341
44	0.224340	750	-0.607035	-41.554376
45	0.214281	750	-0.574918	-42.129294
46	0.204498	750	-0.574362	-42.703656
47	0.194988	750	-0.553500	-43.257156
48	0.185749	750	-0.551380	-43.808536
49	0.176777	750	-0.525634	-44.334170
50	0.168070	750	-0.530901	-44.865071
51	0.159626	750	-0.516102	-45.381173
52	0.151441	750	-0.498567	-45.879741
53	0.143514	750	-0.483608	-46.363349
54	0.135841	750	-0.466291	-46.829639
55	0.128420	750	-0.471913	-47.301553
56	0.121247	750	-0.432981	-47.734534
57	0.114320	750	-0.446700	-48.181234
58	0.107637	750	-0.420971	-48.602205
59	0.101193	750	-0.406424	-49.008629
60	0.094986	750	-0.393061	-49.401690
61	0.089014	750	-0.400581	-49.802271
62	0.083273	750	-0.369880	-50.172151
63	0.077760	750	-0.353154	-50.525305
64	0.072472	750	-0.368277	-50.893582
65	0.067406	750	-0.334605	-51.228187
66	0.062558	750	-0.316767	-51.544955
67	0.057926	750	-0.327798	-51.872753
68	0.053506	750	-0.305543	-52.178296
69	0.049295	750	-0.287044	-52.465341
70	0.045289	750	-0.290732	-52.756073
71	0.041485	750	-0.280236	-53.036308
72	0.037880	750	-0.269138	-53.305446
73	0.034469	750	-0.253357	-53.558804
74	0.031250	750	-0.248187	-53.806991
75	0.028218	750	-0.227841	-54.034832
76	0.025370	750	-0.232459	-54.267290
77	0.022702	750	-0.216532	-54.483822
78	0.020209	750	-0.206419	-54.690241
79	0.017889	750	-0.186350	-54.876591
80	0.015736	750	-0.175258	-55.051849
81	0.013746	750	-0.184204	-55.236053
82	0.011916	750	-0.154127	-55.390180
83	0.010240	750	-0.154033	-55.544213
84	0.008714	750	-0.131478	-55.675691
85	0.007334	750	-0.128137	-55.803828
86	0.006093	750	-0.120428	-55.924256
87	0.004988	750	-0.099621	-56.023877
88	0.004013	750	-0.096143	-56.120020
89	0.003162	750	-0.093721	-56.213741
90	0.002430	750	-0.070802	-56.284543
91	0.001810	750	-0.058345	-56.342888
92	0.001296	750	-0.048938	-56.391826
93	0.000882	750	-0.045702	-56.437527
94	0.000559	750	-0.036399	-56.473926
95	0.000320	750	-0.025118	-56.499044
96	0.000156	750	-0.018542	-56.517586
97	0.000057	750	-0.010455	-56.528041
98	0.000010	750	-0.004274	-56.532315
99	0.000000	750	-0.000990	-56.533304
Log marginal likelihood:	-56.533304
