Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.686095	-1.686095
1	0.950747	750	-1.650459	-3.336554
2	0.926679	750	-1.618473	-4.955027
3	0.902980	750	-1.602800	-6.557827
4	0.879648	750	-1.582644	-8.140471
5	0.856682	750	-1.551787	-9.692258
6	0.834079	750	-1.527647	-11.219906
7	0.811838	750	-1.510642	-12.730547
8	0.789957	750	-1.482780	-14.213327
9	0.768433	750	-1.460868	-15.674195
10	0.747266	750	-1.435055	-17.109250
11	0.726452	750	-1.418720	-18.527969
12	0.705989	750	-1.386885	-19.914855
13	0.685877	750	-1.361690	-21.276545
14	0.666112	750	-1.340718	-22.617263
15	0.646693	750	-1.322686	-23.939949
16	0.627618	750	-1.300637	-25.240586
17	0.608884	750	-1.280551	-26.521137
18	0.590490	750	-1.253577	-27.774714
19	0.572433	750	-1.228126	-29.002840
20	0.554712	750	-1.212612	-30.215452
21	0.537324	750	-1.182593	-31.398046
22	0.520268	750	-1.166830	-32.564876
23	0.503540	750	-1.149846	-33.714722
24	0.487139	750	-1.125456	-34.840177
25	0.471063	750	-1.101563	-35.941740
26	0.455310	750	-1.080785	-37.022526
27	0.439877	750	-1.056334	-38.078860
28	0.424762	750	-1.045989	-39.124849
29	0.409963	750	-1.033967	-40.158816
30	0.395478	750	-0.996984	-41.155799
31	0.381305	750	-0.993134	-42.148933
32	0.367440	750	-0.959538	-43.108470
33	0.353883	750	-0.936407	-44.044878
34	0.340630	750	-0.929361	-44.974239
35	0.327680	750	-0.896278	-45.870517
36	0.315030	750	-0.883935	-46.754451
37	0.302677	750	-0.859047	-47.613499
38	0.290619	750	-0.833711	-48.447210
39	0.278855	750	-0.820268	-49.267478
40	0.267381	750	-0.802423	-50.069901
41	0.256195	750	-0.782755	-50.852656
42	0.245294	750	-0.768947	-51.621603
43	0.234677	750	-0.752472	-52.374075
44	0.224340	750	-0.731793	-53.105868
45	0.214281	750	-0.709921	-53.815790
46	0.204498	750	-0.698151	-54.513940
47	0.194988	750	-0.677280	-55.191220
48	0.185749	750	-0.656531	-55.847751
49	0.176777	750	-0.655055	-56.502805
50	0.168070	750	-0.631297	-57.134102
51	0.159626	750	-0.606306	-57.740408
52	0.151441	750	-0.589324	-58.329732
53	0.143514	750	-0.589944	-58.919676
54	0.135841	750	-0.558524	-59.478200
55	0.128420	750	-0.553298	-60.031497
56	0.121247	750	-0.534962	-60.566460
57	0.114320	750	-0.515305	-61.081765
58	0.107637	750	-0.494477	-61.576242
59	0.101193	750	-0.481664	-62.057906
60	0.094986	750	-0.461786	-62.519691
61	0.089014	750	-0.458605	-62.978296
62	0.083273	750	-0.430409	-63.408706
63	0.077760	750	-0.431919	-63.840624
64	0.072472	750	-0.401015	-64.241640
65	0.067406	750	-0.392014	-64.633653
66	0.062558	750	-0.378684	-65.012337
67	0.057926	750	-0.357846	-65.370184
68	0.053506	750	-0.347633	-65.717816
69	0.049295	750	-0.328296	-66.046113
70	0.045289	750	-0.337011	-66.383124
71	0.041485	750	-0.302572	-66.685695
72	0.037880	750	-0.304803	-66.990498
73	0.034469	750	-0.280393	-67.270891
74	0.031250	750	-0.274774	-67.545665
75	0.028218	750	-0.254992	-67.800657
76	0.025370	750	-0.257098	-68.057755
77	0.022702	750	-0.225408	-68.283163
78	0.020209	750	-0.227882	-68.511045
79	0.017889	750	-0.212459	-68.723504
80	0.015736	750	-0.199779	-68.923282
81	0.013746	750	-0.188434	-69.111717
82	0.011916	750	-0.178581	-69.290297
83	0.010240	750	-0.163416	-69.453713
84	0.008714	750	-0.144309	-69.598022
85	0.007334	750	-0.146135	-69.744157
86	0.006093	750	-0.124692	-69.868849
87	0.004988	750	-0.118083	-69.986932
88	0.004013	750	-0.107938	-70.094869
89	0.003162	750	-0.095010	-70.189880
90	0.002430	750	-0.074783	-70.264663
91	0.001810	750	-0.063830	-70.328493
92	0.001296	750	-0.057874	-70.386368
93	0.000882	750	-0.045357	-70.431725
94	0.000559	750	-0.035335	-70.467060
95	0.000320	750	-0.027643	-70.494703
96	0.000156	750	-0.018797	-70.513500
97	0.000057	750	-0.012271	-70.525771
98	0.000010	750	-0.005393	-70.531164
99	0.000000	750	-0.001128	-70.532291
Log marginal likelihood:	-70.532291
