Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.218374	-1.218374
1	0.950747	750	-1.215038	-2.433412
2	0.926679	750	-1.205730	-3.639142
3	0.902980	750	-1.190700	-4.829842
4	0.879648	750	-1.166207	-5.996050
5	0.856682	750	-1.131114	-7.127163
6	0.834079	750	-1.119802	-8.246965
7	0.811838	750	-1.104649	-9.351615
8	0.789957	750	-1.102818	-10.454433
9	0.768433	750	-1.066432	-11.520865
10	0.747266	750	-1.064520	-12.585385
11	0.726452	750	-1.055380	-13.640765
12	0.705989	750	-1.027428	-14.668194
13	0.685877	750	-1.018676	-15.686870
14	0.666112	750	-0.993851	-16.680721
15	0.646693	750	-0.981690	-17.662411
16	0.627618	750	-0.977753	-18.640164
17	0.608884	750	-0.952314	-19.592478
18	0.590490	750	-0.946040	-20.538518
19	0.572433	750	-0.915738	-21.454256
20	0.554712	750	-0.929787	-22.384043
21	0.537324	750	-0.883050	-23.267093
22	0.520268	750	-0.867527	-24.134620
23	0.503540	750	-0.857338	-24.991958
24	0.487139	750	-0.840948	-25.832906
25	0.471063	750	-0.837985	-26.670891
26	0.455310	750	-0.824446	-27.495337
27	0.439877	750	-0.787389	-28.282726
28	0.424762	750	-0.797180	-29.079907
29	0.409963	750	-0.756957	-29.836863
30	0.395478	750	-0.754564	-30.591427
31	0.381305	750	-0.734169	-31.325596
32	0.367440	750	-0.734580	-32.060176
33	0.353883	750	-0.716124	-32.776300
34	0.340630	750	-0.696255	-33.472555
35	0.327680	750	-0.682790	-34.155345
36	0.315030	750	-0.674344	-34.829689
37	0.302677	750	-0.674625	-35.504314
38	0.290619	750	-0.641841	-36.146155
39	0.278855	750	-0.624290	-36.770445
40	0.267381	750	-0.625801	-37.396246
41	0.256195	750	-0.598855	-37.995101
42	0.245294	750	-0.588286	-38.583387
43	0.234677	750	-0.591282	-39.174669
44	0.224340	750	-0.565142	-39.739811
45	0.214281	750	-0.542621	-40.282432
46	0.204498	750	-0.546757	-40.829189
47	0.194988	750	-0.535636	-41.364826
48	0.185749	750	-0.502985	-41.867811
49	0.176777	750	-0.514653	-42.382464
50	0.168070	750	-0.494154	-42.876618
51	0.159626	750	-0.479613	-43.356231
52	0.151441	750	-0.470419	-43.826650
53	0.143514	750	-0.449221	-44.275871
54	0.135841	750	-0.448908	-44.724780
55	0.128420	750	-0.421392	-45.146172
56	0.121247	750	-0.430769	-45.576940
57	0.114320	750	-0.416368	-45.993308
58	0.107637	750	-0.398487	-46.391795
59	0.101193	750	-0.397272	-46.789067
60	0.094986	750	-0.387606	-47.176673
61	0.089014	750	-0.374249	-47.550922
62	0.083273	750	-0.369723	-47.920646
63	0.077760	750	-0.348502	-48.269148
64	0.072472	750	-0.324740	-48.593888
65	0.067406	750	-0.323690	-48.917577
66	0.062558	750	-0.302454	-49.220031
67	0.057926	750	-0.299262	-49.519293
68	0.053506	750	-0.315952	-49.835246
69	0.049295	750	-0.326699	-50.161945
70	0.045289	750	-0.257106	-50.419051
71	0.041485	750	-0.288544	-50.707594
72	0.037880	750	-0.257197	-50.964791
73	0.034469	750	-0.251401	-51.216193
74	0.031250	750	-0.252712	-51.468905
75	0.028218	750	-0.225513	-51.694418
76	0.025370	750	-0.221837	-51.916256
77	0.022702	750	-0.205503	-52.121759
78	0.020209	750	-0.259658	-52.381417
79	0.017889	750	-0.214134	-52.595551
80	0.015736	750	-0.217386	-52.812936
81	0.013746	750	-0.180478	-52.993414
82	0.011916	750	-0.166403	-53.159817
83	0.010240	750	-0.173276	-53.333093
84	0.008714	750	-0.155687	-53.488780
85	0.007334	750	-0.157971	-53.646751
86	0.006093	750	-0.142222	-53.788972
87	0.004988	750	-0.137270	-53.926242
88	0.004013	750	-0.098116	-54.024357
89	0.003162	750	-0.105229	-54.129587
90	0.002430	750	-0.095470	-54.225057
91	0.001810	750	-0.074007	-54.299064
92	0.001296	750	-0.060730	-54.359794
93	0.000882	750	-0.051559	-54.411353
94	0.000559	750	-0.038432	-54.449785
95	0.000320	750	-0.033337	-54.483122
96	0.000156	750	-0.021430	-54.504552
97	0.000057	750	-0.011627	-54.516179
98	0.000010	750	-0.005690	-54.521869
99	0.000000	750	-0.001330	-54.523199
Log marginal likelihood:	-54.523199
