Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.627674	-1.627674
1	0.950747	750	-1.604118	-3.231792
2	0.926679	750	-1.584456	-4.816248
3	0.902980	750	-1.556726	-6.372973
4	0.879648	750	-1.521846	-7.894820
5	0.856682	750	-1.523916	-9.418736
6	0.834079	750	-1.506324	-10.925060
7	0.811838	750	-1.472161	-12.397221
8	0.789957	750	-1.458352	-13.855573
9	0.768433	750	-1.453658	-15.309231
10	0.747266	750	-1.419378	-16.728609
11	0.726452	750	-1.382529	-18.111137
12	0.705989	750	-1.400771	-19.511909
13	0.685877	750	-1.359573	-20.871482
14	0.666112	750	-1.319342	-22.190824
15	0.646693	750	-1.298120	-23.488944
16	0.627618	750	-1.284997	-24.773941
17	0.608884	750	-1.265490	-26.039431
18	0.590490	750	-1.243685	-27.283116
19	0.572433	750	-1.231032	-28.514148
20	0.554712	750	-1.207666	-29.721815
21	0.537324	750	-1.196133	-30.917948
22	0.520268	750	-1.160973	-32.078921
23	0.503540	750	-1.136912	-33.215832
24	0.487139	750	-1.125674	-34.341506
25	0.471063	750	-1.101095	-35.442602
26	0.455310	750	-1.075297	-36.517898
27	0.439877	750	-1.057119	-37.575017
28	0.424762	750	-1.028875	-38.603892
29	0.409963	750	-1.014034	-39.617926
30	0.395478	750	-0.994412	-40.612338
31	0.381305	750	-0.985038	-41.597376
32	0.367440	750	-0.980590	-42.577965
33	0.353883	750	-0.942081	-43.520046
34	0.340630	750	-0.924360	-44.444406
35	0.327680	750	-0.915681	-45.360087
36	0.315030	750	-0.873479	-46.233566
37	0.302677	750	-0.894698	-47.128264
38	0.290619	750	-0.846390	-47.974653
39	0.278855	750	-0.833061	-48.807714
40	0.267381	750	-0.810361	-49.618075
41	0.256195	750	-0.785006	-50.403081
42	0.245294	750	-0.779169	-51.182250
43	0.234677	750	-0.767277	-51.949528
44	0.224340	750	-0.747642	-52.697169
45	0.214281	750	-0.705463	-53.402632
46	0.204498	750	-0.729170	-54.131803
47	0.194988	750	-0.689808	-54.821611
48	0.185749	750	-0.673672	-55.495283
49	0.176777	750	-0.662327	-56.157610
50	0.168070	750	-0.646207	-56.803817
51	0.159626	750	-0.630291	-57.434108
52	0.151441	750	-0.622256	-58.056364
53	0.143514	750	-0.589389	-58.645753
54	0.135841	750	-0.588433	-59.234186
55	0.128420	750	-0.562675	-59.796861
56	0.121247	750	-0.543673	-60.340534
57	0.114320	750	-0.530400	-60.870934
58	0.107637	750	-0.529754	-61.400688
59	0.101193	750	-0.512089	-61.912777
60	0.094986	750	-0.469807	-62.382584
61	0.089014	750	-0.445967	-62.828551
62	0.083273	750	-0.453317	-63.281868
63	0.077760	750	-0.433299	-63.715167
64	0.072472	750	-0.413560	-64.128726
65	0.067406	750	-0.389365	-64.518092
66	0.062558	750	-0.402250	-64.920342
67	0.057926	750	-0.377300	-65.297641
68	0.053506	750	-0.365115	-65.662757
69	0.049295	750	-0.366541	-66.029298
70	0.045289	750	-0.338697	-66.367995
71	0.041485	750	-0.343755	-66.711750
72	0.037880	750	-0.322097	-67.033848
73	0.034469	750	-0.304456	-67.338303
74	0.031250	750	-0.282167	-67.620470
75	0.028218	750	-0.263994	-67.884465
76	0.025370	750	-0.247638	-68.132102
77	0.022702	750	-0.251674	-68.383777
78	0.020209	750	-0.231122	-68.614899
79	0.017889	750	-0.216467	-68.831366
80	0.015736	750	-0.196268	-69.027634
81	0.013746	750	-0.187483	-69.215118
82	0.011916	750	-0.176177	-69.391295
83	0.010240	750	-0.175152	-69.566447
84	0.008714	750	-0.159311	-69.725758
85	0.007334	750	-0.137271	-69.863029
86	0.006093	750	-0.135483	-69.998512
87	0.004988	750	-0.125239	-70.123751
88	0.004013	750	-0.113692	-70.237443
89	0.003162	750	-0.087073	-70.324515
90	0.002430	750	-0.075206	-70.399722
91	0.001810	750	-0.072666	-70.472388
92	0.001296	750	-0.050526	-70.522914
93	0.000882	750	-0.042932	-70.565846
94	0.000559	750	-0.031859	-70.597705
95	0.000320	750	-0.023900	-70.621604
96	0.000156	750	-0.018154	-70.639759
97	0.000057	750	-0.010548	-70.650307
98	0.000010	750	-0.004986	-70.655293
99	0.000000	750	-0.001182	-70.656475
Log marginal likelihood:	-70.656475
