Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.718756	-0.718756
1	0.950747	750	-0.720126	-1.438882
2	0.926679	750	-0.690198	-2.129080
3	0.902980	750	-0.684205	-2.813285
4	0.879648	750	-0.680230	-3.493515
5	0.856682	750	-0.659459	-4.152975
6	0.834079	750	-0.651849	-4.804824
7	0.811838	750	-0.648105	-5.452928
8	0.789957	750	-0.645227	-6.098155
9	0.768433	750	-0.624846	-6.723001
10	0.747266	750	-0.631580	-7.354581
11	0.726452	750	-0.619049	-7.973630
12	0.705989	750	-0.598769	-8.572400
13	0.685877	750	-0.593668	-9.166068
14	0.666112	750	-0.586212	-9.752280
15	0.646693	750	-0.566899	-10.319179
16	0.627618	750	-0.568670	-10.887849
17	0.608884	750	-0.549007	-11.436856
18	0.590490	750	-0.535470	-11.972326
19	0.572433	750	-0.537818	-12.510144
20	0.554712	750	-0.534364	-13.044508
21	0.537324	750	-0.517764	-13.562272
22	0.520268	750	-0.501624	-14.063896
23	0.503540	750	-0.513407	-14.577303
24	0.487139	750	-0.491346	-15.068649
25	0.471063	750	-0.481126	-15.549774
26	0.455310	750	-0.484697	-16.034471
27	0.439877	750	-0.460364	-16.494835
28	0.424762	750	-0.455828	-16.950663
29	0.409963	750	-0.443896	-17.394558
30	0.395478	750	-0.451308	-17.845866
31	0.381305	750	-0.441262	-18.287128
32	0.367440	750	-0.413485	-18.700613
33	0.353883	750	-0.421281	-19.121895
34	0.340630	750	-0.405137	-19.527032
35	0.327680	750	-0.402068	-19.929100
36	0.315030	750	-0.403808	-20.332908
37	0.302677	750	-0.376475	-20.709383
38	0.290619	750	-0.377176	-21.086559
39	0.278855	750	-0.365471	-21.452030
40	0.267381	750	-0.355894	-21.807924
41	0.256195	750	-0.340572	-22.148496
42	0.245294	750	-0.354601	-22.503097
43	0.234677	750	-0.345789	-22.848886
44	0.224340	750	-0.325166	-23.174052
45	0.214281	750	-0.308850	-23.482903
46	0.204498	750	-0.304410	-23.787312
47	0.194988	750	-0.292793	-24.080106
48	0.185749	750	-0.291092	-24.371198
49	0.176777	750	-0.278160	-24.649357
50	0.168070	750	-0.281698	-24.931056
51	0.159626	750	-0.283502	-25.214558
52	0.151441	750	-0.271366	-25.485924
53	0.143514	750	-0.266991	-25.752915
54	0.135841	750	-0.241632	-25.994547
55	0.128420	750	-0.249470	-26.244018
56	0.121247	750	-0.228909	-26.472927
57	0.114320	750	-0.233451	-26.706378
58	0.107637	750	-0.233850	-26.940228
59	0.101193	750	-0.209249	-27.149477
60	0.094986	750	-0.206936	-27.356413
61	0.089014	750	-0.205817	-27.562230
62	0.083273	750	-0.188645	-27.750875
63	0.077760	750	-0.186624	-27.937500
64	0.072472	750	-0.173828	-28.111327
65	0.067406	750	-0.169956	-28.281284
66	0.062558	750	-0.166967	-28.448251
67	0.057926	750	-0.163060	-28.611310
68	0.053506	750	-0.156466	-28.767777
69	0.049295	750	-0.141834	-28.909611
70	0.045289	750	-0.134597	-29.044208
71	0.041485	750	-0.127215	-29.171423
72	0.037880	750	-0.129815	-29.301238
73	0.034469	750	-0.128383	-29.429621
74	0.031250	750	-0.118258	-29.547880
75	0.028218	750	-0.105182	-29.653062
76	0.025370	750	-0.104940	-29.758002
77	0.022702	750	-0.096752	-29.854754
78	0.020209	750	-0.089085	-29.943839
79	0.017889	750	-0.086760	-30.030599
80	0.015736	750	-0.075612	-30.106211
81	0.013746	750	-0.073494	-30.179705
82	0.011916	750	-0.066381	-30.246087
83	0.010240	750	-0.060088	-30.306175
84	0.008714	750	-0.054258	-30.360433
85	0.007334	750	-0.048876	-30.409309
86	0.006093	750	-0.043754	-30.453063
87	0.004988	750	-0.042189	-30.495251
88	0.004013	750	-0.036109	-30.531361
89	0.003162	750	-0.030445	-30.561806
90	0.002430	750	-0.026496	-30.588302
91	0.001810	750	-0.023500	-30.611802
92	0.001296	750	-0.018213	-30.630014
93	0.000882	750	-0.015118	-30.645132
94	0.000559	750	-0.010855	-30.655987
95	0.000320	750	-0.008560	-30.664547
96	0.000156	750	-0.005759	-30.670306
97	0.000057	750	-0.003718	-30.674024
98	0.000010	750	-0.001759	-30.675783
99	0.000000	750	-0.000376	-30.676159
Log marginal likelihood:	-30.676159
