Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.501554	-0.501554
1	0.950747	750	-0.491556	-0.993110
2	0.926679	750	-0.477591	-1.470701
3	0.902980	750	-0.468161	-1.938862
4	0.879648	750	-0.466073	-2.404936
5	0.856682	750	-0.456895	-2.861831
6	0.834079	750	-0.456518	-3.318350
7	0.811838	750	-0.441606	-3.759955
8	0.789957	750	-0.434387	-4.194342
9	0.768433	750	-0.436468	-4.630810
10	0.747266	750	-0.425068	-5.055878
11	0.726452	750	-0.409919	-5.465798
12	0.705989	750	-0.420885	-5.886683
13	0.685877	750	-0.416807	-6.303490
14	0.666112	750	-0.399133	-6.702623
15	0.646693	750	-0.403478	-7.106101
16	0.627618	750	-0.389792	-7.495894
17	0.608884	750	-0.389316	-7.885209
18	0.590490	750	-0.375931	-8.261140
19	0.572433	750	-0.382323	-8.643463
20	0.554712	750	-0.362801	-9.006264
21	0.537324	750	-0.355127	-9.361391
22	0.520268	750	-0.350904	-9.712296
23	0.503540	750	-0.360601	-10.072897
24	0.487139	750	-0.353756	-10.426653
25	0.471063	750	-0.352462	-10.779115
26	0.455310	750	-0.319631	-11.098746
27	0.439877	750	-0.326249	-11.424995
28	0.424762	750	-0.330200	-11.755195
29	0.409963	750	-0.322707	-12.077902
30	0.395478	750	-0.329476	-12.407377
31	0.381305	750	-0.319696	-12.727073
32	0.367440	750	-0.304217	-13.031290
33	0.353883	750	-0.303590	-13.334881
34	0.340630	750	-0.288609	-13.623490
35	0.327680	750	-0.289198	-13.912688
36	0.315030	750	-0.290435	-14.203123
37	0.302677	750	-0.272278	-14.475401
38	0.290619	750	-0.283313	-14.758714
39	0.278855	750	-0.278877	-15.037591
40	0.267381	750	-0.260757	-15.298348
41	0.256195	750	-0.268805	-15.567153
42	0.245294	750	-0.247773	-15.814926
43	0.234677	750	-0.246301	-16.061227
44	0.224340	750	-0.246678	-16.307906
45	0.214281	750	-0.239229	-16.547135
46	0.204498	750	-0.248120	-16.795254
47	0.194988	750	-0.225377	-17.020631
48	0.185749	750	-0.233204	-17.253835
49	0.176777	750	-0.226100	-17.479935
50	0.168070	750	-0.208968	-17.688903
51	0.159626	750	-0.207266	-17.896169
52	0.151441	750	-0.202581	-18.098750
53	0.143514	750	-0.217146	-18.315896
54	0.135841	750	-0.202995	-18.518891
55	0.128420	750	-0.192633	-18.711525
56	0.121247	750	-0.189639	-18.901164
57	0.114320	750	-0.184729	-19.085893
58	0.107637	750	-0.183824	-19.269717
59	0.101193	750	-0.175999	-19.445716
60	0.094986	750	-0.178720	-19.624436
61	0.089014	750	-0.166544	-19.790980
62	0.083273	750	-0.164119	-19.955099
63	0.077760	750	-0.153341	-20.108440
64	0.072472	750	-0.141090	-20.249530
65	0.067406	750	-0.145933	-20.395464
66	0.062558	750	-0.134833	-20.530297
67	0.057926	750	-0.141637	-20.671934
68	0.053506	750	-0.128548	-20.800483
69	0.049295	750	-0.138426	-20.938909
70	0.045289	750	-0.126961	-21.065869
71	0.041485	750	-0.109704	-21.175573
72	0.037880	750	-0.118041	-21.293614
73	0.034469	750	-0.104989	-21.398603
74	0.031250	750	-0.101005	-21.499608
75	0.028218	750	-0.096959	-21.596567
76	0.025370	750	-0.090593	-21.687160
77	0.022702	750	-0.083964	-21.771124
78	0.020209	750	-0.081009	-21.852133
79	0.017889	750	-0.069885	-21.922018
80	0.015736	750	-0.065377	-21.987395
81	0.013746	750	-0.061590	-22.048985
82	0.011916	750	-0.064212	-22.113197
83	0.010240	750	-0.051491	-22.164688
84	0.008714	750	-0.051197	-22.215885
85	0.007334	750	-0.046271	-22.262156
86	0.006093	750	-0.047251	-22.309407
87	0.004988	750	-0.039845	-22.349252
88	0.004013	750	-0.031300	-22.380551
89	0.003162	750	-0.030037	-22.410588
90	0.002430	750	-0.024776	-22.435364
91	0.001810	750	-0.019989	-22.455352
92	0.001296	750	-0.017014	-22.472366
93	0.000882	750	-0.014660	-22.487026
94	0.000559	750	-0.010266	-22.497293
95	0.000320	750	-0.009010	-22.506303
96	0.000156	750	-0.005516	-22.511818
97	0.000057	750	-0.003571	-22.515390
98	0.000010	750	-0.001462	-22.516851
99	0.000000	750	-0.000335	-22.517186
Log marginal likelihood:	-22.517186
