Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.223191	-1.223191
1	0.950747	750	-1.230701	-2.453892
2	0.926679	750	-1.201098	-3.654990
3	0.902980	750	-1.174485	-4.829476
4	0.879648	750	-1.160541	-5.990016
5	0.856682	750	-1.145593	-7.135610
6	0.834079	750	-1.126892	-8.262502
7	0.811838	750	-1.116305	-9.378807
8	0.789957	750	-1.074384	-10.453190
9	0.768433	750	-1.069722	-11.522912
10	0.747266	750	-1.057086	-12.579999
11	0.726452	750	-1.043423	-13.623422
12	0.705989	750	-1.035233	-14.658655
13	0.685877	750	-1.016136	-15.674791
14	0.666112	750	-0.990901	-16.665691
15	0.646693	750	-0.970977	-17.636668
16	0.627618	750	-0.968861	-18.605529
17	0.608884	750	-0.945595	-19.551125
18	0.590490	750	-0.921168	-20.472292
19	0.572433	750	-0.922695	-21.394987
20	0.554712	750	-0.899050	-22.294037
21	0.537324	750	-0.869446	-23.163483
22	0.520268	750	-0.875911	-24.039394
23	0.503540	750	-0.845028	-24.884421
24	0.487139	750	-0.837924	-25.722345
25	0.471063	750	-0.825395	-26.547740
26	0.455310	750	-0.797358	-27.345098
27	0.439877	750	-0.786129	-28.131227
28	0.424762	750	-0.775801	-28.907029
29	0.409963	750	-0.746366	-29.653395
30	0.395478	750	-0.744241	-30.397636
31	0.381305	750	-0.729705	-31.127341
32	0.367440	750	-0.719009	-31.846350
33	0.353883	750	-0.689745	-32.536095
34	0.340630	750	-0.684578	-33.220674
35	0.327680	750	-0.678464	-33.899138
36	0.315030	750	-0.651627	-34.550765
37	0.302677	750	-0.645972	-35.196736
38	0.290619	750	-0.633853	-35.830589
39	0.278855	750	-0.624631	-36.455220
40	0.267381	750	-0.607845	-37.063066
41	0.256195	750	-0.584870	-37.647935
42	0.245294	750	-0.577889	-38.225824
43	0.234677	750	-0.573576	-38.799399
44	0.224340	750	-0.551582	-39.350981
45	0.214281	750	-0.539771	-39.890752
46	0.204498	750	-0.530885	-40.421637
47	0.194988	750	-0.515250	-40.936886
48	0.185749	750	-0.506089	-41.442976
49	0.176777	750	-0.474352	-41.917328
50	0.168070	750	-0.487415	-42.404743
51	0.159626	750	-0.475241	-42.879984
52	0.151441	750	-0.460112	-43.340096
53	0.143514	750	-0.443036	-43.783131
54	0.135841	750	-0.424099	-44.207230
55	0.128420	750	-0.431972	-44.639202
56	0.121247	750	-0.410634	-45.049836
57	0.114320	750	-0.397608	-45.447444
58	0.107637	750	-0.378273	-45.825717
59	0.101193	750	-0.371501	-46.197218
60	0.094986	750	-0.376589	-46.573807
61	0.089014	750	-0.344633	-46.918441
62	0.083273	750	-0.340508	-47.258949
63	0.077760	750	-0.324845	-47.583795
64	0.072472	750	-0.317521	-47.901316
65	0.067406	750	-0.313742	-48.215058
66	0.062558	750	-0.316537	-48.531595
67	0.057926	750	-0.316103	-48.847698
68	0.053506	750	-0.290946	-49.138643
69	0.049295	750	-0.271786	-49.410429
70	0.045289	750	-0.270353	-49.680782
71	0.041485	750	-0.263650	-49.944432
72	0.037880	750	-0.255247	-50.199679
73	0.034469	750	-0.232367	-50.432045
74	0.031250	750	-0.232515	-50.664560
75	0.028218	750	-0.235344	-50.899905
76	0.025370	750	-0.215457	-51.115361
77	0.022702	750	-0.218495	-51.333856
78	0.020209	750	-0.192113	-51.525970
79	0.017889	750	-0.197200	-51.723170
80	0.015736	750	-0.190730	-51.913900
81	0.013746	750	-0.175317	-52.089217
82	0.011916	750	-0.179469	-52.268686
83	0.010240	750	-0.168487	-52.437173
84	0.008714	750	-0.147762	-52.584935
85	0.007334	750	-0.131329	-52.716265
86	0.006093	750	-0.127770	-52.844035
87	0.004988	750	-0.118094	-52.962128
88	0.004013	750	-0.107203	-53.069331
89	0.003162	750	-0.095576	-53.164907
90	0.002430	750	-0.080517	-53.245424
91	0.001810	750	-0.064170	-53.309594
92	0.001296	750	-0.058739	-53.368333
93	0.000882	750	-0.046294	-53.414627
94	0.000559	750	-0.033318	-53.447944
95	0.000320	750	-0.027894	-53.475839
96	0.000156	750	-0.019821	-53.495660
97	0.000057	750	-0.012160	-53.507820
98	0.000010	750	-0.005187	-53.513007
99	0.000000	750	-0.001117	-53.514124
Log marginal likelihood:	-53.514124
