Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.560035	-1.560035
1	0.950747	750	-1.551677	-3.111712
2	0.926679	750	-1.507348	-4.619060
3	0.902980	750	-1.504016	-6.123077
4	0.879648	750	-1.472700	-7.595777
5	0.856682	750	-1.455722	-9.051499
6	0.834079	750	-1.421887	-10.473386
7	0.811838	750	-1.409821	-11.883207
8	0.789957	750	-1.398330	-13.281536
9	0.768433	750	-1.375169	-14.656705
10	0.747266	750	-1.359318	-16.016023
11	0.726452	750	-1.345098	-17.361121
12	0.705989	750	-1.298714	-18.659835
13	0.685877	750	-1.282657	-19.942493
14	0.666112	750	-1.260555	-21.203048
15	0.646693	750	-1.247904	-22.450952
16	0.627618	750	-1.220649	-23.671601
17	0.608884	750	-1.212141	-24.883741
18	0.590490	750	-1.196660	-26.080401
19	0.572433	750	-1.179677	-27.260078
20	0.554712	750	-1.145384	-28.405462
21	0.537324	750	-1.123624	-29.529086
22	0.520268	750	-1.097923	-30.627009
23	0.503540	750	-1.077513	-31.704522
24	0.487139	750	-1.078273	-32.782795
25	0.471063	750	-1.052105	-33.834900
26	0.455310	750	-1.020514	-34.855414
27	0.439877	750	-1.007564	-35.862978
28	0.424762	750	-0.987096	-36.850074
29	0.409963	750	-0.970991	-37.821065
30	0.395478	750	-0.954487	-38.775552
31	0.381305	750	-0.935229	-39.710781
32	0.367440	750	-0.913593	-40.624374
33	0.353883	750	-0.899176	-41.523550
34	0.340630	750	-0.878581	-42.402131
35	0.327680	750	-0.857543	-43.259674
36	0.315030	750	-0.858820	-44.118494
37	0.302677	750	-0.829171	-44.947665
38	0.290619	750	-0.802941	-45.750606
39	0.278855	750	-0.801226	-46.551832
40	0.267381	750	-0.775113	-47.326945
41	0.256195	750	-0.751060	-48.078005
42	0.245294	750	-0.741302	-48.819307
43	0.234677	750	-0.730154	-49.549461
44	0.224340	750	-0.707316	-50.256777
45	0.214281	750	-0.702428	-50.959204
46	0.204498	750	-0.664553	-51.623757
47	0.194988	750	-0.650775	-52.274533
48	0.185749	750	-0.637556	-52.912088
49	0.176777	750	-0.623280	-53.535368
50	0.168070	750	-0.606446	-54.141814
51	0.159626	750	-0.593438	-54.735252
52	0.151441	750	-0.574379	-55.309631
53	0.143514	750	-0.565764	-55.875395
54	0.135841	750	-0.535690	-56.411085
55	0.128420	750	-0.527752	-56.938837
56	0.121247	750	-0.508120	-57.446957
57	0.114320	750	-0.512714	-57.959671
58	0.107637	750	-0.481736	-58.441407
59	0.101193	750	-0.482388	-58.923795
60	0.094986	750	-0.461337	-59.385132
61	0.089014	750	-0.438928	-59.824059
62	0.083273	750	-0.443973	-60.268032
63	0.077760	750	-0.410374	-60.678406
64	0.072472	750	-0.407439	-61.085845
65	0.067406	750	-0.399255	-61.485100
66	0.062558	750	-0.370305	-61.855405
67	0.057926	750	-0.359813	-62.215219
68	0.053506	750	-0.341490	-62.556708
69	0.049295	750	-0.349407	-62.906115
70	0.045289	750	-0.343923	-63.250038
71	0.041485	750	-0.333925	-63.583963
72	0.037880	750	-0.300034	-63.883997
73	0.034469	750	-0.302385	-64.186382
74	0.031250	750	-0.279991	-64.466373
75	0.028218	750	-0.274817	-64.741190
76	0.025370	750	-0.254368	-64.995558
77	0.022702	750	-0.247492	-65.243050
78	0.020209	750	-0.227285	-65.470336
79	0.017889	750	-0.232876	-65.703211
80	0.015736	750	-0.195291	-65.898503
81	0.013746	750	-0.200369	-66.098872
82	0.011916	750	-0.196317	-66.295188
83	0.010240	750	-0.162904	-66.458092
84	0.008714	750	-0.170927	-66.629020
85	0.007334	750	-0.154419	-66.783439
86	0.006093	750	-0.147131	-66.930570
87	0.004988	750	-0.118491	-67.049061
88	0.004013	750	-0.114227	-67.163288
89	0.003162	750	-0.096212	-67.259500
90	0.002430	750	-0.081461	-67.340960
91	0.001810	750	-0.070828	-67.411788
92	0.001296	750	-0.058570	-67.470358
93	0.000882	750	-0.049367	-67.519725
94	0.000559	750	-0.042227	-67.561952
95	0.000320	750	-0.028483	-67.590435
96	0.000156	750	-0.020646	-67.611081
97	0.000057	750	-0.012250	-67.623331
98	0.000010	750	-0.005648	-67.628979
99	0.000000	750	-0.001301	-67.630279
Log marginal likelihood:	-67.630279
