Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.533012	-0.533012
1	0.950747	750	-0.546764	-1.079775
2	0.926679	750	-0.518431	-1.598207
3	0.902980	750	-0.536731	-2.134938
4	0.879648	750	-0.553631	-2.688569
5	0.856682	750	-0.511389	-3.199958
6	0.834079	750	-0.522529	-3.722487
7	0.811838	750	-0.502260	-4.224748
8	0.789957	750	-0.529009	-4.753756
9	0.768433	750	-0.481384	-5.235140
10	0.747266	750	-0.476829	-5.711969
11	0.726452	750	-0.501421	-6.213390
12	0.705989	750	-0.507997	-6.721386
13	0.685877	750	-0.464239	-7.185625
14	0.666112	750	-0.456346	-7.641971
15	0.646693	750	-0.474359	-8.116330
16	0.627618	750	-0.461947	-8.578277
17	0.608884	750	-0.428843	-9.007120
18	0.590490	750	-0.419945	-9.427065
19	0.572433	750	-0.420811	-9.847876
20	0.554712	750	-0.441052	-10.288928
21	0.537324	750	-0.411437	-10.700365
22	0.520268	750	-0.428104	-11.128469
23	0.503540	750	-0.412900	-11.541370
24	0.487139	750	-0.398625	-11.939995
25	0.471063	750	-0.381904	-12.321898
26	0.455310	750	-0.395529	-12.717427
27	0.439877	750	-0.380844	-13.098270
28	0.424762	750	-0.382782	-13.481053
29	0.409963	750	-0.364091	-13.845144
30	0.395478	750	-0.367059	-14.212202
31	0.381305	750	-0.358086	-14.570288
32	0.367440	750	-0.358370	-14.928658
33	0.353883	750	-0.332851	-15.261509
34	0.340630	750	-0.345282	-15.606791
35	0.327680	750	-0.338571	-15.945362
36	0.315030	750	-0.324562	-16.269924
37	0.302677	750	-0.324733	-16.594657
38	0.290619	750	-0.321552	-16.916210
39	0.278855	750	-0.331762	-17.247972
40	0.267381	750	-0.303463	-17.551435
41	0.256195	750	-0.309051	-17.860486
42	0.245294	750	-0.284005	-18.144490
43	0.234677	750	-0.290446	-18.434937
44	0.224340	750	-0.273509	-18.708446
45	0.214281	750	-0.278600	-18.987046
46	0.204498	750	-0.262994	-19.250040
47	0.194988	750	-0.263244	-19.513284
48	0.185749	750	-0.255946	-19.769230
49	0.176777	750	-0.251297	-20.020527
50	0.168070	750	-0.249405	-20.269931
51	0.159626	750	-0.241179	-20.511110
52	0.151441	750	-0.227508	-20.738618
53	0.143514	750	-0.239950	-20.978568
54	0.135841	750	-0.237398	-21.215966
55	0.128420	750	-0.215408	-21.431374
56	0.121247	750	-0.203436	-21.634810
57	0.114320	750	-0.210325	-21.845136
58	0.107637	750	-0.193166	-22.038302
59	0.101193	750	-0.208573	-22.246875
60	0.094986	750	-0.182946	-22.429821
61	0.089014	750	-0.189157	-22.618978
62	0.083273	750	-0.174915	-22.793893
63	0.077760	750	-0.197688	-22.991581
64	0.072472	750	-0.158834	-23.150415
65	0.067406	750	-0.166216	-23.316631
66	0.062558	750	-0.168375	-23.485005
67	0.057926	750	-0.164019	-23.649025
68	0.053506	750	-0.142649	-23.791674
69	0.049295	750	-0.147761	-23.939435
70	0.045289	750	-0.120118	-24.059553
71	0.041485	750	-0.128583	-24.188136
72	0.037880	750	-0.138197	-24.326333
73	0.034469	750	-0.113869	-24.440202
74	0.031250	750	-0.104018	-24.544220
75	0.028218	750	-0.102374	-24.646594
76	0.025370	750	-0.118523	-24.765117
77	0.022702	750	-0.087987	-24.853103
78	0.020209	750	-0.085311	-24.938414
79	0.017889	750	-0.077205	-25.015619
80	0.015736	750	-0.070237	-25.085856
81	0.013746	750	-0.065171	-25.151027
82	0.011916	750	-0.061130	-25.212158
83	0.010240	750	-0.084152	-25.296309
84	0.008714	750	-0.052495	-25.348805
85	0.007334	750	-0.045127	-25.393931
86	0.006093	750	-0.044334	-25.438265
87	0.004988	750	-0.043143	-25.481407
88	0.004013	750	-0.037493	-25.518901
89	0.003162	750	-0.048576	-25.567477
90	0.002430	750	-0.026100	-25.593577
91	0.001810	750	-0.037641	-25.631218
92	0.001296	750	-0.023080	-25.654297
93	0.000882	750	-0.013662	-25.667960
94	0.000559	750	-0.011412	-25.679372
95	0.000320	750	-0.008384	-25.687756
96	0.000156	750	-0.005921	-25.693676
97	0.000057	750	-0.006221	-25.699898
98	0.000010	750	-0.001635	-25.701533
99	0.000000	750	-0.000515	-25.702048
Log marginal likelihood:	-25.702048
