Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.237645	-1.237645
1	0.950747	750	-1.215898	-2.453542
2	0.926679	750	-1.202770	-3.656312
3	0.902980	750	-1.184469	-4.840781
4	0.879648	750	-1.170229	-6.011010
5	0.856682	750	-1.148088	-7.159098
6	0.834079	750	-1.134158	-8.293257
7	0.811838	750	-1.109397	-9.402653
8	0.789957	750	-1.097821	-10.500474
9	0.768433	750	-1.167138	-11.667612
10	0.747266	750	-1.085149	-12.752761
11	0.726452	750	-1.036988	-13.789749
12	0.705989	750	-1.055243	-14.844992
13	0.685877	750	-1.089032	-15.934024
14	0.666112	750	-1.065943	-16.999968
15	0.646693	750	-0.988064	-17.988032
16	0.627618	750	-0.965123	-18.953154
17	0.608884	750	-0.977255	-19.930409
18	0.590490	750	-0.928052	-20.858462
19	0.572433	750	-0.910303	-21.768765
20	0.554712	750	-0.943174	-22.711939
21	0.537324	750	-0.873962	-23.585901
22	0.520268	750	-0.863198	-24.449098
23	0.503540	750	-0.848334	-25.297432
24	0.487139	750	-0.839828	-26.137260
25	0.471063	750	-0.813393	-26.950653
26	0.455310	750	-0.831205	-27.781858
27	0.439877	750	-0.842080	-28.623938
28	0.424762	750	-0.771732	-29.395670
29	0.409963	750	-0.760358	-30.156028
30	0.395478	750	-0.793238	-30.949267
31	0.381305	750	-0.751140	-31.700406
32	0.367440	750	-0.754060	-32.454467
33	0.353883	750	-0.739056	-33.193522
34	0.340630	750	-0.683416	-33.876938
35	0.327680	750	-0.687921	-34.564859
36	0.315030	750	-0.699192	-35.264051
37	0.302677	750	-0.694438	-35.958489
38	0.290619	750	-0.655243	-36.613732
39	0.278855	750	-0.696689	-37.310421
40	0.267381	750	-0.654940	-37.965361
41	0.256195	750	-0.583232	-38.548593
42	0.245294	750	-0.573660	-39.122253
43	0.234677	750	-0.561259	-39.683512
44	0.224340	750	-0.561246	-40.244758
45	0.214281	750	-0.555578	-40.800336
46	0.204498	750	-0.540602	-41.340938
47	0.194988	750	-0.585898	-41.926836
48	0.185749	750	-0.594018	-42.520854
49	0.176777	750	-0.556830	-43.077685
50	0.168070	750	-0.588139	-43.665823
51	0.159626	750	-0.477513	-44.143337
52	0.151441	750	-0.470377	-44.613713
53	0.143514	750	-0.497733	-45.111446
54	0.135841	750	-0.471501	-45.582947
55	0.128420	750	-0.524158	-46.107106
56	0.121247	750	-0.399065	-46.506171
57	0.114320	750	-0.419879	-46.926050
58	0.107637	750	-0.386186	-47.312236
59	0.101193	750	-0.370419	-47.682654
60	0.094986	750	-0.392754	-48.075408
61	0.089014	750	-0.373368	-48.448776
62	0.083273	750	-0.341478	-48.790254
63	0.077760	750	-0.344655	-49.134909
64	0.072472	750	-0.342187	-49.477096
65	0.067406	750	-0.346258	-49.823354
66	0.062558	750	-0.386025	-50.209380
67	0.057926	750	-0.281562	-50.490942
68	0.053506	750	-0.265757	-50.756699
69	0.049295	750	-0.282202	-51.038901
70	0.045289	750	-0.271241	-51.310142
71	0.041485	750	-0.300769	-51.610911
72	0.037880	750	-0.339235	-51.950146
73	0.034469	750	-0.353237	-52.303383
74	0.031250	750	-0.301875	-52.605258
75	0.028218	750	-0.284255	-52.889513
76	0.025370	750	-0.257195	-53.146708
77	0.022702	750	-0.198049	-53.344758
78	0.020209	750	-0.253851	-53.598609
79	0.017889	750	-0.208990	-53.807599
80	0.015736	750	-0.208000	-54.015599
81	0.013746	750	-0.178701	-54.194299
82	0.011916	750	-0.182062	-54.376361
83	0.010240	750	-0.169586	-54.545947
84	0.008714	750	-0.173708	-54.719654
85	0.007334	750	-0.153284	-54.872938
86	0.006093	750	-0.124608	-54.997546
87	0.004988	750	-0.116273	-55.113819
88	0.004013	750	-0.096510	-55.210329
89	0.003162	750	-0.088253	-55.298582
90	0.002430	750	-0.075425	-55.374007
91	0.001810	750	-0.088628	-55.462635
92	0.001296	750	-0.057461	-55.520097
93	0.000882	750	-0.057040	-55.577137
94	0.000559	750	-0.049456	-55.626593
95	0.000320	750	-0.021459	-55.648052
96	0.000156	750	-0.020331	-55.668383
97	0.000057	750	-0.013669	-55.682052
98	0.000010	750	-0.004544	-55.686596
99	0.000000	750	-0.000972	-55.687567
Log marginal likelihood:	-55.687567
