Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.769147	-2.769147
1	0.950747	750	-2.749674	-5.518822
2	0.926679	750	-2.674439	-8.193260
3	0.902980	750	-2.651136	-10.844396
4	0.879648	750	-2.600185	-13.444581
5	0.856682	750	-2.589684	-16.034264
6	0.834079	750	-2.548210	-18.582474
7	0.811838	750	-2.508110	-21.090585
8	0.789957	750	-2.471902	-23.562486
9	0.768433	750	-2.452722	-26.015209
10	0.747266	750	-2.397157	-28.412366
11	0.726452	750	-2.316871	-30.729237
12	0.705989	750	-2.275485	-33.004722
13	0.685877	750	-2.245335	-35.250057
14	0.666112	750	-2.215554	-37.465611
15	0.646693	750	-2.202092	-39.667702
16	0.627618	750	-2.128664	-41.796366
17	0.608884	750	-2.091211	-43.887577
18	0.590490	750	-2.055590	-45.943167
19	0.572433	750	-2.028242	-47.971409
20	0.554712	750	-2.013319	-49.984728
21	0.537324	750	-1.977657	-51.962384
22	0.520268	750	-1.917703	-53.880087
23	0.503540	750	-1.883402	-55.763489
24	0.487139	750	-1.851714	-57.615204
25	0.471063	750	-1.819162	-59.434366
26	0.455310	750	-1.774700	-61.209066
27	0.439877	750	-1.767779	-62.976846
28	0.424762	750	-1.732852	-64.709697
29	0.409963	750	-1.678988	-66.388685
30	0.395478	750	-1.635977	-68.024662
31	0.381305	750	-1.602905	-69.627567
32	0.367440	750	-1.570818	-71.198385
33	0.353883	750	-1.546737	-72.745122
34	0.340630	750	-1.525892	-74.271014
35	0.327680	750	-1.457669	-75.728683
36	0.315030	750	-1.443912	-77.172595
37	0.302677	750	-1.408197	-78.580792
38	0.290619	750	-1.358074	-79.938866
39	0.278855	750	-1.343838	-81.282703
40	0.267381	750	-1.284813	-82.567516
41	0.256195	750	-1.300090	-83.867606
42	0.245294	750	-1.277874	-85.145481
43	0.234677	750	-1.203739	-86.349220
44	0.224340	750	-1.199607	-87.548827
45	0.214281	750	-1.168761	-88.717588
46	0.204498	750	-1.133019	-89.850607
47	0.194988	750	-1.114962	-90.965570
48	0.185749	750	-1.078768	-92.044338
49	0.176777	750	-1.075359	-93.119697
50	0.168070	750	-0.992630	-94.112327
51	0.159626	750	-0.989612	-95.101939
52	0.151441	750	-0.969505	-96.071444
53	0.143514	750	-0.932961	-97.004406
54	0.135841	750	-0.913847	-97.918253
55	0.128420	750	-0.872977	-98.791230
56	0.121247	750	-0.843981	-99.635211
57	0.114320	750	-0.816303	-100.451514
58	0.107637	750	-0.791320	-101.242834
59	0.101193	750	-0.756306	-101.999140
60	0.094986	750	-0.742670	-102.741810
61	0.089014	750	-0.701639	-103.443449
62	0.083273	750	-0.666117	-104.109565
63	0.077760	750	-0.667684	-104.777250
64	0.072472	750	-0.640553	-105.417803
65	0.067406	750	-0.591828	-106.009631
66	0.062558	750	-0.579303	-106.588934
67	0.057926	750	-0.573007	-107.161941
68	0.053506	750	-0.528260	-107.690201
69	0.049295	750	-0.514212	-108.204413
70	0.045289	750	-0.500270	-108.704683
71	0.041485	750	-0.475754	-109.180437
72	0.037880	750	-0.494954	-109.675391
73	0.034469	750	-0.422324	-110.097716
74	0.031250	750	-0.435953	-110.533669
75	0.028218	750	-0.401099	-110.934768
76	0.025370	750	-0.377498	-111.312266
77	0.022702	750	-0.343083	-111.655349
78	0.020209	750	-0.316852	-111.972202
79	0.017889	750	-0.302805	-112.275006
80	0.015736	750	-0.280279	-112.555286
81	0.013746	750	-0.255308	-112.810594
82	0.011916	750	-0.237647	-113.048241
83	0.010240	750	-0.228110	-113.276351
84	0.008714	750	-0.207766	-113.484118
85	0.007334	750	-0.182828	-113.666945
86	0.006093	750	-0.176468	-113.843414
87	0.004988	750	-0.156423	-113.999836
88	0.004013	750	-0.147688	-114.147524
89	0.003162	750	-0.128193	-114.275717
90	0.002430	750	-0.102432	-114.378149
91	0.001810	750	-0.088058	-114.466206
92	0.001296	750	-0.073172	-114.539379
93	0.000882	750	-0.059967	-114.599345
94	0.000559	750	-0.066398	-114.665743
95	0.000320	750	-0.040551	-114.706294
96	0.000156	750	-0.026796	-114.733090
97	0.000057	750	-0.021466	-114.754555
98	0.000010	750	-0.030749	-114.785304
99	0.000000	750	-0.001787	-114.787092
Log marginal likelihood:	-114.787092
