Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.693752	-1.693752
1	0.950747	750	-1.644989	-3.338742
2	0.926679	750	-1.618127	-4.956869
3	0.902980	750	-1.580725	-6.537594
4	0.879648	750	-1.615507	-8.153101
5	0.856682	750	-1.557465	-9.710566
6	0.834079	750	-1.503016	-11.213583
7	0.811838	750	-1.481051	-12.694634
8	0.789957	750	-1.465200	-14.159834
9	0.768433	750	-1.474658	-15.634492
10	0.747266	750	-1.434326	-17.068817
11	0.726452	750	-1.392228	-18.461045
12	0.705989	750	-1.378597	-19.839643
13	0.685877	750	-1.374003	-21.213646
14	0.666112	750	-1.363431	-22.577077
15	0.646693	750	-1.336012	-23.913089
16	0.627618	750	-1.292785	-25.205874
17	0.608884	750	-1.281087	-26.486960
18	0.590490	750	-1.256794	-27.743755
19	0.572433	750	-1.242331	-28.986086
20	0.554712	750	-1.204183	-30.190269
21	0.537324	750	-1.171275	-31.361544
22	0.520268	750	-1.144663	-32.506208
23	0.503540	750	-1.123012	-33.629220
24	0.487139	750	-1.111052	-34.740272
25	0.471063	750	-1.105895	-35.846167
26	0.455310	750	-1.112340	-36.958507
27	0.439877	750	-1.089297	-38.047804
28	0.424762	750	-1.061888	-39.109691
29	0.409963	750	-1.055390	-40.165081
30	0.395478	750	-0.986098	-41.151179
31	0.381305	750	-0.974184	-42.125363
32	0.367440	750	-0.965818	-43.091182
33	0.353883	750	-0.952804	-44.043985
34	0.340630	750	-0.916852	-44.960837
35	0.327680	750	-0.902032	-45.862869
36	0.315030	750	-0.873168	-46.736037
37	0.302677	750	-0.870701	-47.606739
38	0.290619	750	-0.918599	-48.525338
39	0.278855	750	-0.856920	-49.382259
40	0.267381	750	-0.822962	-50.205221
41	0.256195	750	-0.808572	-51.013793
42	0.245294	750	-0.791580	-51.805373
43	0.234677	750	-0.793435	-52.598807
44	0.224340	750	-0.748664	-53.347471
45	0.214281	750	-0.766392	-54.113863
46	0.204498	750	-0.765590	-54.879453
47	0.194988	750	-0.743917	-55.623371
48	0.185749	750	-0.698011	-56.321382
49	0.176777	750	-0.658789	-56.980171
50	0.168070	750	-0.670364	-57.650534
51	0.159626	750	-0.634050	-58.284584
52	0.151441	750	-0.647421	-58.932005
53	0.143514	750	-0.663666	-59.595671
54	0.135841	750	-0.625876	-60.221547
55	0.128420	750	-0.542616	-60.764163
56	0.121247	750	-0.527897	-61.292060
57	0.114320	750	-0.524311	-61.816370
58	0.107637	750	-0.499044	-62.315414
59	0.101193	750	-0.497002	-62.812415
60	0.094986	750	-0.495376	-63.307792
61	0.089014	750	-0.455492	-63.763284
62	0.083273	750	-0.462015	-64.225299
63	0.077760	750	-0.410809	-64.636107
64	0.072472	750	-0.428177	-65.064284
65	0.067406	750	-0.394742	-65.459027
66	0.062558	750	-0.428285	-65.887311
67	0.057926	750	-0.370369	-66.257680
68	0.053506	750	-0.350717	-66.608397
69	0.049295	750	-0.359438	-66.967835
70	0.045289	750	-0.377841	-67.345676
71	0.041485	750	-0.357298	-67.702975
72	0.037880	750	-0.317627	-68.020602
73	0.034469	750	-0.312804	-68.333406
74	0.031250	750	-0.282149	-68.615554
75	0.028218	750	-0.241041	-68.856596
76	0.025370	750	-0.228945	-69.085540
77	0.022702	750	-0.211565	-69.297105
78	0.020209	750	-0.212014	-69.509118
79	0.017889	750	-0.194364	-69.703482
80	0.015736	750	-0.200730	-69.904213
81	0.013746	750	-0.196742	-70.100954
82	0.011916	750	-0.182820	-70.283774
83	0.010240	750	-0.153638	-70.437412
84	0.008714	750	-0.168195	-70.605607
85	0.007334	750	-0.156140	-70.761747
86	0.006093	750	-0.133228	-70.894975
87	0.004988	750	-0.125756	-71.020731
88	0.004013	750	-0.107293	-71.128024
89	0.003162	750	-0.089126	-71.217150
90	0.002430	750	-0.106958	-71.324108
91	0.001810	750	-0.079517	-71.403625
92	0.001296	750	-0.058711	-71.462336
93	0.000882	750	-0.041001	-71.503337
94	0.000559	750	-0.030621	-71.533958
95	0.000320	750	-0.060703	-71.594661
96	0.000156	750	-0.016830	-71.611491
97	0.000057	750	-0.010718	-71.622209
98	0.000010	750	-0.005467	-71.627676
99	0.000000	750	-0.001151	-71.628827
Log marginal likelihood:	-71.628827
