Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.338827	-0.338827
1	0.950747	750	-0.330887	-0.669714
2	0.926679	750	-0.324511	-0.994225
3	0.902980	750	-0.312520	-1.306745
4	0.879648	750	-0.312917	-1.619662
5	0.856682	750	-0.310243	-1.929906
6	0.834079	750	-0.313574	-2.243480
7	0.811838	750	-0.306366	-2.549846
8	0.789957	750	-0.311747	-2.861592
9	0.768433	750	-0.302420	-3.164012
10	0.747266	750	-0.291735	-3.455747
11	0.726452	750	-0.285256	-3.741003
12	0.705989	750	-0.289745	-4.030748
13	0.685877	750	-0.285604	-4.316353
14	0.666112	750	-0.274630	-4.590983
15	0.646693	750	-0.268725	-4.859708
16	0.627618	750	-0.261142	-5.120850
17	0.608884	750	-0.253415	-5.374265
18	0.590490	750	-0.255025	-5.629290
19	0.572433	750	-0.251074	-5.880363
20	0.554712	750	-0.247144	-6.127508
21	0.537324	750	-0.244745	-6.372253
22	0.520268	750	-0.240604	-6.612857
23	0.503540	750	-0.245800	-6.858657
24	0.487139	750	-0.233108	-7.091765
25	0.471063	750	-0.229594	-7.321359
26	0.455310	750	-0.223616	-7.544975
27	0.439877	750	-0.223253	-7.768227
28	0.424762	750	-0.215682	-7.983909
29	0.409963	750	-0.216763	-8.200672
30	0.395478	750	-0.208729	-8.409402
31	0.381305	750	-0.207520	-8.616921
32	0.367440	750	-0.204261	-8.821183
33	0.353883	750	-0.205722	-9.026904
34	0.340630	750	-0.221782	-9.248686
35	0.327680	750	-0.189213	-9.437899
36	0.315030	750	-0.193722	-9.631621
37	0.302677	750	-0.183363	-9.814984
38	0.290619	750	-0.208777	-10.023761
39	0.278855	750	-0.194874	-10.218635
40	0.267381	750	-0.179361	-10.397996
41	0.256195	750	-0.170944	-10.568941
42	0.245294	750	-0.165889	-10.734830
43	0.234677	750	-0.164413	-10.899242
44	0.224340	750	-0.151528	-11.050770
45	0.214281	750	-0.157610	-11.208380
46	0.204498	750	-0.188535	-11.396915
47	0.194988	750	-0.147058	-11.543972
48	0.185749	750	-0.176536	-11.720509
49	0.176777	750	-0.147443	-11.867951
50	0.168070	750	-0.135226	-12.003177
51	0.159626	750	-0.133820	-12.136997
52	0.151441	750	-0.149908	-12.286905
53	0.143514	750	-0.123357	-12.410262
54	0.135841	750	-0.123514	-12.533775
55	0.128420	750	-0.123242	-12.657018
56	0.121247	750	-0.128784	-12.785801
57	0.114320	750	-0.135562	-12.921363
58	0.107637	750	-0.115827	-13.037189
59	0.101193	750	-0.101846	-13.139036
60	0.094986	750	-0.099598	-13.238634
61	0.089014	750	-0.109831	-13.348465
62	0.083273	750	-0.139996	-13.488461
63	0.077760	750	-0.090175	-13.578636
64	0.072472	750	-0.086801	-13.665437
65	0.067406	750	-0.093253	-13.758690
66	0.062558	750	-0.195153	-13.953843
67	0.057926	750	-0.071425	-14.025267
68	0.053506	750	-0.102699	-14.127966
69	0.049295	750	-0.071906	-14.199872
70	0.045289	750	-0.068600	-14.268473
71	0.041485	750	-0.093837	-14.362310
72	0.037880	750	-0.085041	-14.447351
73	0.034469	750	-0.073086	-14.520436
74	0.031250	750	-0.097111	-14.617548
75	0.028218	750	-0.050078	-14.667626
76	0.025370	750	-0.060866	-14.728491
77	0.022702	750	-0.067311	-14.795803
78	0.020209	750	-0.046032	-14.841835
79	0.017889	750	-0.039896	-14.881731
80	0.015736	750	-0.093428	-14.975159
81	0.013746	750	-0.107066	-15.082225
82	0.011916	750	-0.032343	-15.114568
83	0.010240	750	-0.040285	-15.154853
84	0.008714	750	-0.036128	-15.190981
85	0.007334	750	-0.028352	-15.219334
86	0.006093	750	-0.032605	-15.251938
87	0.004988	750	-0.038306	-15.290245
88	0.004013	750	-0.021452	-15.311697
89	0.003162	750	-0.023988	-15.335685
90	0.002430	750	-0.016589	-15.352274
91	0.001810	750	-0.014427	-15.366701
92	0.001296	750	-0.015132	-15.381832
93	0.000882	750	-0.012737	-15.394569
94	0.000559	750	-0.006101	-15.400670
95	0.000320	750	-0.004169	-15.404839
96	0.000156	750	-0.006066	-15.410905
97	0.000057	750	-0.002834	-15.413739
98	0.000010	750	-0.002203	-15.415942
99	0.000000	750	-0.000369	-15.416311
Log marginal likelihood:	-15.416311
