Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.898235	-1.898235
1	0.950747	750	-1.885721	-3.783955
2	0.926679	750	-1.837363	-5.621318
3	0.902980	750	-1.822757	-7.444075
4	0.879648	750	-1.784394	-9.228469
5	0.856682	750	-1.748555	-10.977024
6	0.834079	750	-1.745083	-12.722107
7	0.811838	750	-1.695474	-14.417581
8	0.789957	750	-1.660135	-16.077717
9	0.768433	750	-1.666981	-17.744698
10	0.747266	750	-1.651022	-19.395721
11	0.726452	750	-1.580666	-20.976387
12	0.705989	750	-1.585733	-22.562120
13	0.685877	750	-1.568199	-24.130319
14	0.666112	750	-1.532009	-25.662328
15	0.646693	750	-1.511124	-27.173452
16	0.627618	750	-1.491570	-28.665022
17	0.608884	750	-1.469446	-30.134468
18	0.590490	750	-1.449915	-31.584384
19	0.572433	750	-1.408845	-32.993229
20	0.554712	750	-1.390584	-34.383813
21	0.537324	750	-1.363202	-35.747015
22	0.520268	750	-1.336402	-37.083417
23	0.503540	750	-1.324431	-38.407848
24	0.487139	750	-1.275326	-39.683174
25	0.471063	750	-1.261216	-40.944390
26	0.455310	750	-1.245384	-42.189774
27	0.439877	750	-1.218609	-43.408382
28	0.424762	750	-1.195578	-44.603961
29	0.409963	750	-1.177022	-45.780983
30	0.395478	750	-1.142175	-46.923158
31	0.381305	750	-1.132671	-48.055829
32	0.367440	750	-1.095802	-49.151631
33	0.353883	750	-1.077613	-50.229244
34	0.340630	750	-1.053584	-51.282828
35	0.327680	750	-1.031849	-52.314677
36	0.315030	750	-1.012795	-53.327472
37	0.302677	750	-1.015097	-54.342569
38	0.290619	750	-0.954967	-55.297537
39	0.278855	750	-0.953192	-56.250728
40	0.267381	750	-0.923128	-57.173856
41	0.256195	750	-0.902045	-58.075901
42	0.245294	750	-0.890564	-58.966465
43	0.234677	750	-0.841945	-59.808410
44	0.224340	750	-0.832515	-60.640925
45	0.214281	750	-0.818169	-61.459094
46	0.204498	750	-0.810774	-62.269867
47	0.194988	750	-0.806146	-63.076013
48	0.185749	750	-0.762252	-63.838265
49	0.176777	750	-0.754892	-64.593157
50	0.168070	750	-0.726065	-65.319223
51	0.159626	750	-0.706587	-66.025810
52	0.151441	750	-0.678281	-66.704091
53	0.143514	750	-0.667883	-67.371974
54	0.135841	750	-0.633181	-68.005155
55	0.128420	750	-0.614663	-68.619818
56	0.121247	750	-0.613042	-69.232860
57	0.114320	750	-0.596707	-69.829567
58	0.107637	750	-0.572053	-70.401620
59	0.101193	750	-0.572766	-70.974386
60	0.094986	750	-0.543968	-71.518355
61	0.089014	750	-0.528645	-72.046999
62	0.083273	750	-0.513997	-72.560997
63	0.077760	750	-0.481091	-73.042088
64	0.072472	750	-0.465124	-73.507211
65	0.067406	750	-0.439113	-73.946324
66	0.062558	750	-0.434301	-74.380625
67	0.057926	750	-0.409052	-74.789677
68	0.053506	750	-0.399962	-75.189640
69	0.049295	750	-0.374605	-75.564244
70	0.045289	750	-0.366662	-75.930906
71	0.041485	750	-0.353283	-76.284189
72	0.037880	750	-0.336848	-76.621036
73	0.034469	750	-0.323145	-76.944181
74	0.031250	750	-0.303257	-77.247438
75	0.028218	750	-0.304202	-77.551641
76	0.025370	750	-0.275719	-77.827360
77	0.022702	750	-0.260259	-78.087619
78	0.020209	750	-0.236104	-78.323723
79	0.017889	750	-0.228591	-78.552314
80	0.015736	750	-0.208740	-78.761054
81	0.013746	750	-0.200505	-78.961559
82	0.011916	750	-0.184391	-79.145950
83	0.010240	750	-0.159950	-79.305900
84	0.008714	750	-0.153219	-79.459120
85	0.007334	750	-0.135853	-79.594973
86	0.006093	750	-0.137983	-79.732956
87	0.004988	750	-0.113958	-79.846914
88	0.004013	750	-0.097122	-79.944036
89	0.003162	750	-0.084007	-80.028043
90	0.002430	750	-0.077475	-80.105518
91	0.001810	750	-0.070992	-80.176510
92	0.001296	750	-0.053594	-80.230104
93	0.000882	750	-0.047797	-80.277901
94	0.000559	750	-0.036349	-80.314249
95	0.000320	750	-0.024937	-80.339186
96	0.000156	750	-0.018074	-80.357260
97	0.000057	750	-0.010467	-80.367728
98	0.000010	750	-0.005041	-80.372768
99	0.000000	750	-0.001037	-80.373805
Log marginal likelihood:	-80.373805
