Steppingstone sampler:
        No Stones:                  100
        Start It:                   1000000001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.478625	-0.478625
1	0.950747	750	-0.456167	-0.934793
2	0.926679	750	-0.456923	-1.391715
3	0.902980	750	-0.468840	-1.860555
4	0.879648	750	-0.444995	-2.305550
5	0.856682	750	-0.440532	-2.746082
6	0.834079	750	-0.431513	-3.177595
7	0.811838	750	-0.415093	-3.592688
8	0.789957	750	-0.426818	-4.019506
9	0.768433	750	-0.403093	-4.422599
10	0.747266	750	-0.408428	-4.831027
11	0.726452	750	-0.416447	-5.247474
12	0.705989	750	-0.413940	-5.661415
13	0.685877	750	-0.390691	-6.052106
14	0.666112	750	-0.378404	-6.430510
15	0.646693	750	-0.369114	-6.799624
16	0.627618	750	-0.368412	-7.168036
17	0.608884	750	-0.360940	-7.528976
18	0.590490	750	-0.384268	-7.913243
19	0.572433	750	-0.387865	-8.301108
20	0.554712	750	-0.347477	-8.648585
21	0.537324	750	-0.355755	-9.004339
22	0.520268	750	-0.327855	-9.332195
23	0.503540	750	-0.368206	-9.700401
24	0.487139	750	-0.348779	-10.049180
25	0.471063	750	-0.366468	-10.415648
26	0.455310	750	-0.359775	-10.775424
27	0.439877	750	-0.367442	-11.142865
28	0.424762	750	-0.359329	-11.502194
29	0.409963	750	-0.329354	-11.831549
30	0.395478	750	-0.335546	-12.167094
31	0.381305	750	-0.306940	-12.474035
32	0.367440	750	-0.287997	-12.762031
33	0.353883	750	-0.300217	-13.062248
34	0.340630	750	-0.336901	-13.399150
35	0.327680	750	-0.287890	-13.687040
36	0.315030	750	-0.286353	-13.973393
37	0.302677	750	-0.269327	-14.242720
38	0.290619	750	-0.256919	-14.499639
39	0.278855	750	-0.250225	-14.749864
40	0.267381	750	-0.226516	-14.976380
41	0.256195	750	-0.263027	-15.239407
42	0.245294	750	-0.237501	-15.476908
43	0.234677	750	-0.239436	-15.716344
44	0.224340	750	-0.234447	-15.950791
45	0.214281	750	-0.231959	-16.182751
46	0.204498	750	-0.218377	-16.401128
47	0.194988	750	-0.217254	-16.618382
48	0.185749	750	-0.236554	-16.854936
49	0.176777	750	-0.228850	-17.083785
50	0.168070	750	-0.174951	-17.258737
51	0.159626	750	-0.204751	-17.463488
52	0.151441	750	-0.194481	-17.657968
53	0.143514	750	-0.210702	-17.868671
54	0.135841	750	-0.224445	-18.093116
55	0.128420	750	-0.165098	-18.258214
56	0.121247	750	-0.162257	-18.420471
57	0.114320	750	-0.194565	-18.615036
58	0.107637	750	-0.176386	-18.791422
59	0.101193	750	-0.186011	-18.977433
60	0.094986	750	-0.158337	-19.135770
61	0.089014	750	-0.147707	-19.283477
62	0.083273	750	-0.167829	-19.451306
63	0.077760	750	-0.133274	-19.584580
64	0.072472	750	-0.156823	-19.741403
65	0.067406	750	-0.148860	-19.890263
66	0.062558	750	-0.130894	-20.021157
67	0.057926	750	-0.126744	-20.147900
68	0.053506	750	-0.135528	-20.283429
69	0.049295	750	-0.142240	-20.425668
70	0.045289	750	-0.119544	-20.545212
71	0.041485	750	-0.131868	-20.677080
72	0.037880	750	-0.112891	-20.789971
73	0.034469	750	-0.075614	-20.865586
74	0.031250	750	-0.110590	-20.976175
75	0.028218	750	-0.131039	-21.107214
76	0.025370	750	-0.106211	-21.213424
77	0.022702	750	-0.120235	-21.333659
78	0.020209	750	-0.084900	-21.418559
79	0.017889	750	-0.067406	-21.485965
80	0.015736	750	-0.080185	-21.566150
81	0.013746	750	-0.065563	-21.631713
82	0.011916	750	-0.053096	-21.684809
83	0.010240	750	-0.060181	-21.744990
84	0.008714	750	-0.088111	-21.833102
85	0.007334	750	-0.056857	-21.889958
86	0.006093	750	-0.049867	-21.939825
87	0.004988	750	-0.036279	-21.976105
88	0.004013	750	-0.065336	-22.041441
89	0.003162	750	-0.044625	-22.086066
90	0.002430	750	-0.039136	-22.125201
91	0.001810	750	-0.062074	-22.187276
92	0.001296	750	-0.044344	-22.231620
93	0.000882	750	-0.062568	-22.294188
94	0.000559	750	-0.067081	-22.361269
95	0.000320	750	-0.044618	-22.405887
96	0.000156	750	-0.064168	-22.470055
97	0.000057	750	-0.026676	-22.496731
98	0.000010	750	-0.004157	-22.500889
99	0.000000	750	-0.001937	-22.502826
Log marginal likelihood:	-22.502826
