Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.503265	-2.503265
1	0.950747	750	-2.415308	-4.918573
2	0.926679	750	-2.405936	-7.324509
3	0.902980	750	-2.354522	-9.679031
4	0.879648	750	-2.316536	-11.995567
5	0.856682	750	-2.278191	-14.273758
6	0.834079	750	-2.245010	-16.518768
7	0.811838	750	-2.212417	-18.731185
8	0.789957	750	-2.167983	-20.899168
9	0.768433	750	-2.137306	-23.036474
10	0.747266	750	-2.101037	-25.137511
11	0.726452	750	-2.065406	-27.202917
12	0.705989	750	-2.043134	-29.246052
13	0.685877	750	-1.995262	-31.241314
14	0.666112	750	-1.968118	-33.209432
15	0.646693	750	-1.923262	-35.132693
16	0.627618	750	-1.892452	-37.025145
17	0.608884	750	-1.878054	-38.903199
18	0.590490	750	-1.872087	-40.775286
19	0.572433	750	-1.789665	-42.564951
20	0.554712	750	-1.854818	-44.419769
21	0.537324	750	-1.741858	-46.161628
22	0.520268	750	-1.712595	-47.874223
23	0.503540	750	-1.669878	-49.544101
24	0.487139	750	-1.651673	-51.195774
25	0.471063	750	-1.597315	-52.793089
26	0.455310	750	-1.574782	-54.367871
27	0.439877	750	-1.542531	-55.910402
28	0.424762	750	-1.533133	-57.443535
29	0.409963	750	-1.492757	-58.936291
30	0.395478	750	-1.476278	-60.412569
31	0.381305	750	-1.449726	-61.862295
32	0.367440	750	-1.427322	-63.289617
33	0.353883	750	-1.438386	-64.728003
34	0.340630	750	-1.432349	-66.160352
35	0.327680	750	-1.321749	-67.482101
36	0.315030	750	-1.277177	-68.759278
37	0.302677	750	-1.256566	-70.015844
38	0.290619	750	-1.217509	-71.233353
39	0.278855	750	-1.197351	-72.430704
40	0.267381	750	-1.154598	-73.585302
41	0.256195	750	-1.139969	-74.725271
42	0.245294	750	-1.140601	-75.865872
43	0.234677	750	-1.081062	-76.946934
44	0.224340	750	-1.073262	-78.020196
45	0.214281	750	-1.068454	-79.088651
46	0.204498	750	-1.007269	-80.095920
47	0.194988	750	-1.024871	-81.120790
48	0.185749	750	-0.950039	-82.070829
49	0.176777	750	-0.915688	-82.986517
50	0.168070	750	-0.931405	-83.917922
51	0.159626	750	-0.904745	-84.822667
52	0.151441	750	-0.925101	-85.747768
53	0.143514	750	-0.843777	-86.591545
54	0.135841	750	-0.843266	-87.434811
55	0.128420	750	-0.800142	-88.234953
56	0.121247	750	-0.764933	-88.999886
57	0.114320	750	-0.761096	-89.760982
58	0.107637	750	-0.770615	-90.531597
59	0.101193	750	-0.710430	-91.242027
60	0.094986	750	-0.709308	-91.951335
61	0.089014	750	-0.651723	-92.603058
62	0.083273	750	-0.651988	-93.255046
63	0.077760	750	-0.616574	-93.871620
64	0.072472	750	-0.601435	-94.473055
65	0.067406	750	-0.567816	-95.040871
66	0.062558	750	-0.529980	-95.570851
67	0.057926	750	-0.512919	-96.083770
68	0.053506	750	-0.539362	-96.623132
69	0.049295	750	-0.513385	-97.136517
70	0.045289	750	-0.492804	-97.629321
71	0.041485	750	-0.464042	-98.093364
72	0.037880	750	-0.426980	-98.520343
73	0.034469	750	-0.417660	-98.938003
74	0.031250	750	-0.396664	-99.334667
75	0.028218	750	-0.388720	-99.723387
76	0.025370	750	-0.335833	-100.059220
77	0.022702	750	-0.303931	-100.363151
78	0.020209	750	-0.303573	-100.666723
79	0.017889	750	-0.267888	-100.934612
80	0.015736	750	-0.266016	-101.200627
81	0.013746	750	-0.267149	-101.467776
82	0.011916	750	-0.230356	-101.698132
83	0.010240	750	-0.201152	-101.899284
84	0.008714	750	-0.199296	-102.098580
85	0.007334	750	-0.171923	-102.270503
86	0.006093	750	-0.164357	-102.434860
87	0.004988	750	-0.250235	-102.685095
88	0.004013	750	-0.141964	-102.827059
89	0.003162	750	-0.133642	-102.960701
90	0.002430	750	-0.090831	-103.051533
91	0.001810	750	-0.116500	-103.168033
92	0.001296	750	-0.081614	-103.249647
93	0.000882	750	-0.150953	-103.400599
94	0.000559	750	-0.059409	-103.460008
95	0.000320	750	-0.034454	-103.494462
96	0.000156	750	-0.036173	-103.530635
97	0.000057	750	-0.028515	-103.559150
98	0.000010	750	-0.006132	-103.565282
99	0.000000	750	-0.002492	-103.567774
Log marginal likelihood:	-103.567774
