Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.403535	-1.403535
1	0.950747	750	-1.383450	-2.786985
2	0.926679	750	-1.378956	-4.165941
3	0.902980	750	-1.340700	-5.506642
4	0.879648	750	-1.327496	-6.834138
5	0.856682	750	-1.312217	-8.146355
6	0.834079	750	-1.289692	-9.436046
7	0.811838	750	-1.263963	-10.700010
8	0.789957	750	-1.246403	-11.946413
9	0.768433	750	-1.228707	-13.175119
10	0.747266	750	-1.210412	-14.385532
11	0.726452	750	-1.186992	-15.572524
12	0.705989	750	-1.170362	-16.742886
13	0.685877	750	-1.154194	-17.897080
14	0.666112	750	-1.124543	-19.021623
15	0.646693	750	-1.109664	-20.131286
16	0.627618	750	-1.095770	-21.227057
17	0.608884	750	-1.061635	-22.288691
18	0.590490	750	-1.049376	-23.338068
19	0.572433	750	-1.039178	-24.377246
20	0.554712	750	-1.023656	-25.400902
21	0.537324	750	-0.997177	-26.398080
22	0.520268	750	-0.984143	-27.382223
23	0.503540	750	-0.962388	-28.344611
24	0.487139	750	-0.949637	-29.294248
25	0.471063	750	-0.929503	-30.223751
26	0.455310	750	-0.913694	-31.137445
27	0.439877	750	-0.897277	-32.034721
28	0.424762	750	-0.878292	-32.913013
29	0.409963	750	-0.855728	-33.768741
30	0.395478	750	-0.839163	-34.607905
31	0.381305	750	-0.830867	-35.438772
32	0.367440	750	-0.808458	-36.247230
33	0.353883	750	-0.791123	-37.038353
34	0.340630	750	-0.771609	-37.809961
35	0.327680	750	-0.756215	-38.566176
36	0.315030	750	-0.741689	-39.307865
37	0.302677	750	-0.723424	-40.031289
38	0.290619	750	-0.705643	-40.736932
39	0.278855	750	-0.695153	-41.432085
40	0.267381	750	-0.675142	-42.107227
41	0.256195	750	-0.656929	-42.764156
42	0.245294	750	-0.644449	-43.408605
43	0.234677	750	-0.628352	-44.036957
44	0.224340	750	-0.626625	-44.663581
45	0.214281	750	-0.597947	-45.261528
46	0.204498	750	-0.581944	-45.843472
47	0.194988	750	-0.569377	-46.412849
48	0.185749	750	-0.554247	-46.967096
49	0.176777	750	-0.540452	-47.507548
50	0.168070	750	-0.525803	-48.033351
51	0.159626	750	-0.511362	-48.544713
52	0.151441	750	-0.508539	-49.053253
53	0.143514	750	-0.507097	-49.560350
54	0.135841	750	-0.478673	-50.039023
55	0.128420	750	-0.466314	-50.505337
56	0.121247	750	-0.446051	-50.951388
57	0.114320	750	-0.437973	-51.389360
58	0.107637	750	-0.429451	-51.818811
59	0.101193	750	-0.425787	-52.244599
60	0.094986	750	-0.409518	-52.654117
61	0.089014	750	-0.395412	-53.049529
62	0.083273	750	-0.376094	-53.425623
63	0.077760	750	-0.369786	-53.795409
64	0.072472	750	-0.358816	-54.154225
65	0.067406	750	-0.349921	-54.504147
66	0.062558	750	-0.334390	-54.838537
67	0.057926	750	-0.327452	-55.165989
68	0.053506	750	-0.324591	-55.490580
69	0.049295	750	-0.302401	-55.792981
70	0.045289	750	-0.296117	-56.089098
71	0.041485	750	-0.285821	-56.374919
72	0.037880	750	-0.269836	-56.644756
73	0.034469	750	-0.257189	-56.901944
74	0.031250	750	-0.246610	-57.148554
75	0.028218	750	-0.232436	-57.380991
76	0.025370	750	-0.222798	-57.603788
77	0.022702	750	-0.205700	-57.809489
78	0.020209	750	-0.195994	-58.005482
79	0.017889	750	-0.183471	-58.188953
80	0.015736	750	-0.171990	-58.360943
81	0.013746	750	-0.161779	-58.522722
82	0.011916	750	-0.149093	-58.671815
83	0.010240	750	-0.133579	-58.805395
84	0.008714	750	-0.124679	-58.930073
85	0.007334	750	-0.116398	-59.046471
86	0.006093	750	-0.105676	-59.152147
87	0.004988	750	-0.090287	-59.242434
88	0.004013	750	-0.081268	-59.323701
89	0.003162	750	-0.069980	-59.393682
90	0.002430	750	-0.058787	-59.452469
91	0.001810	750	-0.052551	-59.505019
92	0.001296	750	-0.042085	-59.547104
93	0.000882	750	-0.034010	-59.581114
94	0.000559	750	-0.026245	-59.607360
95	0.000320	750	-0.020156	-59.627515
96	0.000156	750	-0.014408	-59.641923
97	0.000057	750	-0.008019	-59.649942
98	0.000010	750	-0.003952	-59.653895
99	0.000000	750	-0.000826	-59.654721
Log marginal likelihood:	-59.654721
