Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.030504	-1.030504
1	0.950747	750	-1.023302	-2.053806
2	0.926679	750	-1.003612	-3.057419
3	0.902980	750	-0.996186	-4.053605
4	0.879648	750	-0.977998	-5.031603
5	0.856682	750	-0.950230	-5.981833
6	0.834079	750	-0.945737	-6.927570
7	0.811838	750	-0.950380	-7.877949
8	0.789957	750	-0.936707	-8.814656
9	0.768433	750	-0.904412	-9.719068
10	0.747266	750	-0.896418	-10.615486
11	0.726452	750	-0.878817	-11.494303
12	0.705989	750	-0.865455	-12.359758
13	0.685877	750	-0.863274	-13.223032
14	0.666112	750	-0.859243	-14.082275
15	0.646693	750	-0.828053	-14.910327
16	0.627618	750	-0.821120	-15.731447
17	0.608884	750	-0.816809	-16.548256
18	0.590490	750	-0.780124	-17.328380
19	0.572433	750	-0.775211	-18.103591
20	0.554712	750	-0.764750	-18.868341
21	0.537324	750	-0.763733	-19.632074
22	0.520268	750	-0.734654	-20.366728
23	0.503540	750	-0.716310	-21.083038
24	0.487139	750	-0.708505	-21.791543
25	0.471063	750	-0.710515	-22.502058
26	0.455310	750	-0.717112	-23.219171
27	0.439877	750	-0.691030	-23.910200
28	0.424762	750	-0.696287	-24.606488
29	0.409963	750	-0.654210	-25.260697
30	0.395478	750	-0.638954	-25.899651
31	0.381305	750	-0.630892	-26.530543
32	0.367440	750	-0.617977	-27.148521
33	0.353883	750	-0.602622	-27.751143
34	0.340630	750	-0.584109	-28.335252
35	0.327680	750	-0.582449	-28.917701
36	0.315030	750	-0.575887	-29.493587
37	0.302677	750	-0.550294	-30.043882
38	0.290619	750	-0.542758	-30.586639
39	0.278855	750	-0.550644	-31.137283
40	0.267381	750	-0.531196	-31.668479
41	0.256195	750	-0.520294	-32.188773
42	0.245294	750	-0.506001	-32.694774
43	0.234677	750	-0.502413	-33.197187
44	0.224340	750	-0.489788	-33.686975
45	0.214281	750	-0.496856	-34.183831
46	0.204498	750	-0.480708	-34.664539
47	0.194988	750	-0.453286	-35.117825
48	0.185749	750	-0.432276	-35.550101
49	0.176777	750	-0.439918	-35.990019
50	0.168070	750	-0.423383	-36.413403
51	0.159626	750	-0.417614	-36.831017
52	0.151441	750	-0.412407	-37.243424
53	0.143514	750	-0.379104	-37.622528
54	0.135841	750	-0.383549	-38.006077
55	0.128420	750	-0.380399	-38.386476
56	0.121247	750	-0.357783	-38.744260
57	0.114320	750	-0.353933	-39.098193
58	0.107637	750	-0.350302	-39.448495
59	0.101193	750	-0.367717	-39.816212
60	0.094986	750	-0.331356	-40.147568
61	0.089014	750	-0.339040	-40.486608
62	0.083273	750	-0.315436	-40.802044
63	0.077760	750	-0.308131	-41.110175
64	0.072472	750	-0.310235	-41.420410
65	0.067406	750	-0.295939	-41.716349
66	0.062558	750	-0.306385	-42.022734
67	0.057926	750	-0.267841	-42.290575
68	0.053506	750	-0.258696	-42.549271
69	0.049295	750	-0.268940	-42.818211
70	0.045289	750	-0.292912	-43.111123
71	0.041485	750	-0.250705	-43.361828
72	0.037880	750	-0.243230	-43.605059
73	0.034469	750	-0.236450	-43.841509
74	0.031250	750	-0.232288	-44.073796
75	0.028218	750	-0.222926	-44.296722
76	0.025370	750	-0.241230	-44.537952
77	0.022702	750	-0.233304	-44.771255
78	0.020209	750	-0.237507	-45.008762
79	0.017889	750	-0.165557	-45.174320
80	0.015736	750	-0.198638	-45.372957
81	0.013746	750	-0.196722	-45.569679
82	0.011916	750	-0.169086	-45.738766
83	0.010240	750	-0.203378	-45.942144
84	0.008714	750	-0.161289	-46.103433
85	0.007334	750	-0.157168	-46.260601
86	0.006093	750	-0.121344	-46.381945
87	0.004988	750	-0.132997	-46.514942
88	0.004013	750	-0.097553	-46.612495
89	0.003162	750	-0.111300	-46.723796
90	0.002430	750	-0.085973	-46.809768
91	0.001810	750	-0.082670	-46.892439
92	0.001296	750	-0.053896	-46.946334
93	0.000882	750	-0.055451	-47.001785
94	0.000559	750	-0.043006	-47.044791
95	0.000320	750	-0.029926	-47.074717
96	0.000156	750	-0.021696	-47.096413
97	0.000057	750	-0.013013	-47.109426
98	0.000010	750	-0.006397	-47.115823
99	0.000000	750	-0.001318	-47.117141
Log marginal likelihood:	-47.117141
