Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.959042	-1.959042
1	0.950747	750	-1.942040	-3.901081
2	0.926679	750	-1.928746	-5.829827
3	0.902980	750	-1.890062	-7.719889
4	0.879648	750	-1.855841	-9.575730
5	0.856682	750	-1.860787	-11.436517
6	0.834079	750	-1.820610	-13.257127
7	0.811838	750	-1.801030	-15.058157
8	0.789957	750	-1.756444	-16.814602
9	0.768433	750	-1.779018	-18.593619
10	0.747266	750	-1.728334	-20.321953
11	0.726452	750	-1.679388	-22.001341
12	0.705989	750	-1.644390	-23.645731
13	0.685877	750	-1.630415	-25.276147
14	0.666112	750	-1.622070	-26.898217
15	0.646693	750	-1.580432	-28.478649
16	0.627618	750	-1.538734	-30.017384
17	0.608884	750	-1.550109	-31.567493
18	0.590490	750	-1.527778	-33.095271
19	0.572433	750	-1.453927	-34.549199
20	0.554712	750	-1.502293	-36.051492
21	0.537324	750	-1.438949	-37.490441
22	0.520268	750	-1.429151	-38.919591
23	0.503540	750	-1.390062	-40.309654
24	0.487139	750	-1.353241	-41.662895
25	0.471063	750	-1.329071	-42.991966
26	0.455310	750	-1.323001	-44.314967
27	0.439877	750	-1.285412	-45.600379
28	0.424762	750	-1.288056	-46.888435
29	0.409963	750	-1.239060	-48.127495
30	0.395478	750	-1.193202	-49.320698
31	0.381305	750	-1.198433	-50.519131
32	0.367440	750	-1.159866	-51.678997
33	0.353883	750	-1.171597	-52.850594
34	0.340630	750	-1.127601	-53.978196
35	0.327680	750	-1.110663	-55.088858
36	0.315030	750	-1.078952	-56.167811
37	0.302677	750	-1.060017	-57.227827
38	0.290619	750	-1.055384	-58.283211
39	0.278855	750	-1.032448	-59.315660
40	0.267381	750	-0.984358	-60.300017
41	0.256195	750	-0.969842	-61.269860
42	0.245294	750	-0.958948	-62.228808
43	0.234677	750	-0.927212	-63.156020
44	0.224340	750	-0.931777	-64.087797
45	0.214281	750	-0.893382	-64.981179
46	0.204498	750	-0.884165	-65.865344
47	0.194988	750	-0.843186	-66.708530
48	0.185749	750	-0.842269	-67.550799
49	0.176777	750	-0.797240	-68.348038
50	0.168070	750	-0.788482	-69.136520
51	0.159626	750	-0.757133	-69.893654
52	0.151441	750	-0.736582	-70.630236
53	0.143514	750	-0.719214	-71.349450
54	0.135841	750	-0.698758	-72.048208
55	0.128420	750	-0.681506	-72.729714
56	0.121247	750	-0.660512	-73.390225
57	0.114320	750	-0.661085	-74.051310
58	0.107637	750	-0.623226	-74.674537
59	0.101193	750	-0.610110	-75.284647
60	0.094986	750	-0.601734	-75.886381
61	0.089014	750	-0.567838	-76.454219
62	0.083273	750	-0.544359	-76.998578
63	0.077760	750	-0.539548	-77.538126
64	0.072472	750	-0.505743	-78.043869
65	0.067406	750	-0.496195	-78.540065
66	0.062558	750	-0.483723	-79.023788
67	0.057926	750	-0.457448	-79.481236
68	0.053506	750	-0.432515	-79.913751
69	0.049295	750	-0.408285	-80.322036
70	0.045289	750	-0.406827	-80.728863
71	0.041485	750	-0.388234	-81.117097
72	0.037880	750	-0.369778	-81.486876
73	0.034469	750	-0.352651	-81.839527
74	0.031250	750	-0.325542	-82.165069
75	0.028218	750	-0.325873	-82.490942
76	0.025370	750	-0.316919	-82.807862
77	0.022702	750	-0.288003	-83.095864
78	0.020209	750	-0.285988	-83.381852
79	0.017889	750	-0.250120	-83.631972
80	0.015736	750	-0.238512	-83.870484
81	0.013746	750	-0.227475	-84.097959
82	0.011916	750	-0.226010	-84.323969
83	0.010240	750	-0.191276	-84.515245
84	0.008714	750	-0.189762	-84.705007
85	0.007334	750	-0.174749	-84.879756
86	0.006093	750	-0.151844	-85.031601
87	0.004988	750	-0.141691	-85.173292
88	0.004013	750	-0.122226	-85.295518
89	0.003162	750	-0.106159	-85.401677
90	0.002430	750	-0.090544	-85.492221
91	0.001810	750	-0.081359	-85.573579
92	0.001296	750	-0.066820	-85.640399
93	0.000882	750	-0.052804	-85.693203
94	0.000559	750	-0.043342	-85.736545
95	0.000320	750	-0.034378	-85.770922
96	0.000156	750	-0.022505	-85.793428
97	0.000057	750	-0.013350	-85.806778
98	0.000010	750	-0.006394	-85.813172
99	0.000000	750	-0.001332	-85.814504
Log marginal likelihood:	-85.814504
