Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.596758	-1.596758
1	0.950747	750	-1.546679	-3.143437
2	0.926679	750	-1.504482	-4.647920
3	0.902980	750	-1.511882	-6.159802
4	0.879648	750	-1.466036	-7.625838
5	0.856682	750	-1.445039	-9.070877
6	0.834079	750	-1.427320	-10.498196
7	0.811838	750	-1.408493	-11.906689
8	0.789957	750	-1.376110	-13.282799
9	0.768433	750	-1.373713	-14.656512
10	0.747266	750	-1.341608	-15.998120
11	0.726452	750	-1.340629	-17.338749
12	0.705989	750	-1.339517	-18.678265
13	0.685877	750	-1.344845	-20.023110
14	0.666112	750	-1.282502	-21.305612
15	0.646693	750	-1.302716	-22.608328
16	0.627618	750	-1.215312	-23.823639
17	0.608884	750	-1.243984	-25.067623
18	0.590490	750	-1.250041	-26.317664
19	0.572433	750	-1.183127	-27.500791
20	0.554712	750	-1.129306	-28.630097
21	0.537324	750	-1.180119	-29.810216
22	0.520268	750	-1.141264	-30.951481
23	0.503540	750	-1.141490	-32.092971
24	0.487139	750	-1.099102	-33.192073
25	0.471063	750	-1.103181	-34.295254
26	0.455310	750	-1.037465	-35.332719
27	0.439877	750	-1.072629	-36.405347
28	0.424762	750	-1.040109	-37.445456
29	0.409963	750	-1.032186	-38.477642
30	0.395478	750	-0.945616	-39.423258
31	0.381305	750	-0.960282	-40.383540
32	0.367440	750	-0.964212	-41.347752
33	0.353883	750	-0.943140	-42.290892
34	0.340630	750	-0.922608	-43.213500
35	0.327680	750	-0.904440	-44.117940
36	0.315030	750	-0.845794	-44.963735
37	0.302677	750	-0.877623	-45.841358
38	0.290619	750	-0.872577	-46.713935
39	0.278855	750	-0.829929	-47.543864
40	0.267381	750	-0.805375	-48.349239
41	0.256195	750	-0.793376	-49.142615
42	0.245294	750	-0.747526	-49.890141
43	0.234677	750	-0.756795	-50.646936
44	0.224340	750	-0.729984	-51.376920
45	0.214281	750	-0.728261	-52.105181
46	0.204498	750	-0.698504	-52.803685
47	0.194988	750	-0.678899	-53.482585
48	0.185749	750	-0.661706	-54.144291
49	0.176777	750	-0.652338	-54.796629
50	0.168070	750	-0.641944	-55.438572
51	0.159626	750	-0.627871	-56.066443
52	0.151441	750	-0.597676	-56.664119
53	0.143514	750	-0.590587	-57.254706
54	0.135841	750	-0.563220	-57.817926
55	0.128420	750	-0.558415	-58.376341
56	0.121247	750	-0.521159	-58.897500
57	0.114320	750	-0.520108	-59.417608
58	0.107637	750	-0.511284	-59.928892
59	0.101193	750	-0.487595	-60.416487
60	0.094986	750	-0.474927	-60.891414
61	0.089014	750	-0.467948	-61.359361
62	0.083273	750	-0.458242	-61.817603
63	0.077760	750	-0.436600	-62.254203
64	0.072472	750	-0.418931	-62.673134
65	0.067406	750	-0.403029	-63.076163
66	0.062558	750	-0.384129	-63.460293
67	0.057926	750	-0.373861	-63.834153
68	0.053506	750	-0.362077	-64.196231
69	0.049295	750	-0.340694	-64.536924
70	0.045289	750	-0.328213	-64.865137
71	0.041485	750	-0.311142	-65.176279
72	0.037880	750	-0.302424	-65.478703
73	0.034469	750	-0.287664	-65.766367
74	0.031250	750	-0.272497	-66.038864
75	0.028218	750	-0.256531	-66.295395
76	0.025370	750	-0.237732	-66.533127
77	0.022702	750	-0.226920	-66.760047
78	0.020209	750	-0.205654	-66.965702
79	0.017889	750	-0.197649	-67.163350
80	0.015736	750	-0.186358	-67.349708
81	0.013746	750	-0.169567	-67.519275
82	0.011916	750	-0.156528	-67.675803
83	0.010240	750	-0.143515	-67.819318
84	0.008714	750	-0.131598	-67.950916
85	0.007334	750	-0.119973	-68.070889
86	0.006093	750	-0.108927	-68.179816
87	0.004988	750	-0.097671	-68.277487
88	0.004013	750	-0.085618	-68.363106
89	0.003162	750	-0.074693	-68.437799
90	0.002430	750	-0.062998	-68.500796
91	0.001810	750	-0.054213	-68.555009
92	0.001296	750	-0.043327	-68.598336
93	0.000882	750	-0.036101	-68.634438
94	0.000559	750	-0.027749	-68.662187
95	0.000320	750	-0.020864	-68.683050
96	0.000156	750	-0.014300	-68.697350
97	0.000057	750	-0.008450	-68.705801
98	0.000010	750	-0.004020	-68.709821
99	0.000000	750	-0.000886	-68.710707
Log marginal likelihood:	-68.710707
