Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.267724	-1.267724
1	0.950747	750	-1.244119	-2.511843
2	0.926679	750	-1.224673	-3.736516
3	0.902980	750	-1.207978	-4.944494
4	0.879648	750	-1.188576	-6.133070
5	0.856682	750	-1.180754	-7.313824
6	0.834079	750	-1.168921	-8.482745
7	0.811838	750	-1.145053	-9.627798
8	0.789957	750	-1.119186	-10.746983
9	0.768433	750	-1.083939	-11.830922
10	0.747266	750	-1.082059	-12.912981
11	0.726452	750	-1.060325	-13.973306
12	0.705989	750	-1.043297	-15.016604
13	0.685877	750	-1.036304	-16.052907
14	0.666112	750	-1.009965	-17.062872
15	0.646693	750	-0.998983	-18.061855
16	0.627618	750	-0.968330	-19.030185
17	0.608884	750	-0.965450	-19.995635
18	0.590490	750	-1.036912	-21.032547
19	0.572433	750	-0.925185	-21.957732
20	0.554712	750	-0.936504	-22.894236
21	0.537324	750	-0.969380	-23.863616
22	0.520268	750	-0.894761	-24.758377
23	0.503540	750	-0.877374	-25.635751
24	0.487139	750	-0.845784	-26.481535
25	0.471063	750	-0.837918	-27.319453
26	0.455310	750	-0.820888	-28.140341
27	0.439877	750	-0.856960	-28.997301
28	0.424762	750	-0.830473	-29.827774
29	0.409963	750	-0.776436	-30.604210
30	0.395478	750	-0.773236	-31.377446
31	0.381305	750	-0.735859	-32.113304
32	0.367440	750	-0.727836	-32.841140
33	0.353883	750	-0.706528	-33.547668
34	0.340630	750	-0.701185	-34.248853
35	0.327680	750	-0.739360	-34.988212
36	0.315030	750	-0.763560	-35.751773
37	0.302677	750	-0.735045	-36.486818
38	0.290619	750	-0.725641	-37.212459
39	0.278855	750	-0.621711	-37.834169
40	0.267381	750	-0.611485	-38.445654
41	0.256195	750	-0.610709	-39.056363
42	0.245294	750	-0.577351	-39.633714
43	0.234677	750	-0.565870	-40.199584
44	0.224340	750	-0.562058	-40.761642
45	0.214281	750	-0.542463	-41.304105
46	0.204498	750	-0.521035	-41.825140
47	0.194988	750	-0.514441	-42.339581
48	0.185749	750	-0.496921	-42.836501
49	0.176777	750	-0.481581	-43.318083
50	0.168070	750	-0.474473	-43.792555
51	0.159626	750	-0.467828	-44.260384
52	0.151441	750	-0.447566	-44.707950
53	0.143514	750	-0.467434	-45.175384
54	0.135841	750	-0.482316	-45.657700
55	0.128420	750	-0.399319	-46.057019
56	0.121247	750	-0.382032	-46.439051
57	0.114320	750	-0.381286	-46.820336
58	0.107637	750	-0.396013	-47.216350
59	0.101193	750	-0.403162	-47.619511
60	0.094986	750	-0.388152	-48.007663
61	0.089014	750	-0.383116	-48.390780
62	0.083273	750	-0.324487	-48.715267
63	0.077760	750	-0.337400	-49.052667
64	0.072472	750	-0.350099	-49.402766
65	0.067406	750	-0.289834	-49.692600
66	0.062558	750	-0.304248	-49.996848
67	0.057926	750	-0.290230	-50.287079
68	0.053506	750	-0.260605	-50.547683
69	0.049295	750	-0.282672	-50.830355
70	0.045289	750	-0.262797	-51.093152
71	0.041485	750	-0.265587	-51.358739
72	0.037880	750	-0.247212	-51.605951
73	0.034469	750	-0.234188	-51.840139
74	0.031250	750	-0.188885	-52.029024
75	0.028218	750	-0.201804	-52.230828
76	0.025370	750	-0.227891	-52.458718
77	0.022702	750	-0.194023	-52.652741
78	0.020209	750	-0.177684	-52.830425
79	0.017889	750	-0.173835	-53.004260
80	0.015736	750	-0.190450	-53.194711
81	0.013746	750	-0.136685	-53.331396
82	0.011916	750	-0.136722	-53.468118
83	0.010240	750	-0.112801	-53.580919
84	0.008714	750	-0.123644	-53.704563
85	0.007334	750	-0.108586	-53.813149
86	0.006093	750	-0.097746	-53.910895
87	0.004988	750	-0.089192	-54.000087
88	0.004013	750	-0.090704	-54.090791
89	0.003162	750	-0.152199	-54.242990
90	0.002430	750	-0.065278	-54.308268
91	0.001810	750	-0.052396	-54.360664
92	0.001296	750	-0.040835	-54.401500
93	0.000882	750	-0.032899	-54.434399
94	0.000559	750	-0.037871	-54.472270
95	0.000320	750	-0.073340	-54.545610
96	0.000156	750	-0.011536	-54.557146
97	0.000057	750	-0.008694	-54.565840
98	0.000010	750	-0.003816	-54.569656
99	0.000000	750	-0.000795	-54.570450
Log marginal likelihood:	-54.570450
