Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.118973	-2.118973
1	0.950747	750	-2.099282	-4.218254
2	0.926679	750	-2.090801	-6.309055
3	0.902980	750	-2.056343	-8.365398
4	0.879648	750	-2.011239	-10.376636
5	0.856682	750	-1.983891	-12.360527
6	0.834079	750	-1.944778	-14.305306
7	0.811838	750	-1.921491	-16.226797
8	0.789957	750	-1.902617	-18.129414
9	0.768433	750	-1.852905	-19.982319
10	0.747266	750	-1.830427	-21.812746
11	0.726452	750	-1.790463	-23.603209
12	0.705989	750	-1.779361	-25.382570
13	0.685877	750	-1.736615	-27.119185
14	0.666112	750	-1.719978	-28.839162
15	0.646693	750	-1.694780	-30.533943
16	0.627618	750	-1.666659	-32.200602
17	0.608884	750	-1.633434	-33.834035
18	0.590490	750	-1.594325	-35.428360
19	0.572433	750	-1.586631	-37.014991
20	0.554712	750	-1.559955	-38.574947
21	0.537324	750	-1.520691	-40.095637
22	0.520268	750	-1.494210	-41.589847
23	0.503540	750	-1.471819	-43.061666
24	0.487139	750	-1.444322	-44.505989
25	0.471063	750	-1.417928	-45.923917
26	0.455310	750	-1.384950	-47.308867
27	0.439877	750	-1.351565	-48.660432
28	0.424762	750	-1.331610	-49.992042
29	0.409963	750	-1.310026	-51.302068
30	0.395478	750	-1.286794	-52.588862
31	0.381305	750	-1.258023	-53.846884
32	0.367440	750	-1.236700	-55.083585
33	0.353883	750	-1.203188	-56.286773
34	0.340630	750	-1.175275	-57.462047
35	0.327680	750	-1.159242	-58.621289
36	0.315030	750	-1.127922	-59.749211
37	0.302677	750	-1.102568	-60.851779
38	0.290619	750	-1.071801	-61.923581
39	0.278855	750	-1.046130	-62.969711
40	0.267381	750	-1.025062	-63.994773
41	0.256195	750	-0.999055	-64.993828
42	0.245294	750	-0.984409	-65.978237
43	0.234677	750	-0.953520	-66.931757
44	0.224340	750	-0.937891	-67.869648
45	0.214281	750	-0.903158	-68.772806
46	0.204498	750	-0.890740	-69.663546
47	0.194988	750	-0.856097	-70.519643
48	0.185749	750	-0.839178	-71.358820
49	0.176777	750	-0.819374	-72.178195
50	0.168070	750	-0.787516	-72.965711
51	0.159626	750	-0.779224	-73.744934
52	0.151441	750	-0.748761	-74.493696
53	0.143514	750	-0.729169	-75.222865
54	0.135841	750	-0.707970	-75.930835
55	0.128420	750	-0.695237	-76.626071
56	0.121247	750	-0.665361	-77.291432
57	0.114320	750	-0.644280	-77.935713
58	0.107637	750	-0.618584	-78.554296
59	0.101193	750	-0.612125	-79.166422
60	0.094986	750	-0.582182	-79.748604
61	0.089014	750	-0.578950	-80.327553
62	0.083273	750	-0.542116	-80.869669
63	0.077760	750	-0.524279	-81.393948
64	0.072472	750	-0.515869	-81.909818
65	0.067406	750	-0.491731	-82.401549
66	0.062558	750	-0.478828	-82.880377
67	0.057926	750	-0.445750	-83.326127
68	0.053506	750	-0.434408	-83.760535
69	0.049295	750	-0.419335	-84.179870
70	0.045289	750	-0.396222	-84.576093
71	0.041485	750	-0.377575	-84.953668
72	0.037880	750	-0.367298	-85.320966
73	0.034469	750	-0.340567	-85.661533
74	0.031250	750	-0.341226	-86.002759
75	0.028218	750	-0.311987	-86.314747
76	0.025370	750	-0.299421	-86.614168
77	0.022702	750	-0.272706	-86.886874
78	0.020209	750	-0.260075	-87.146949
79	0.017889	750	-0.248404	-87.395353
80	0.015736	750	-0.229395	-87.624748
81	0.013746	750	-0.218673	-87.843420
82	0.011916	750	-0.207019	-88.050439
83	0.010240	750	-0.187996	-88.238436
84	0.008714	750	-0.170171	-88.408606
85	0.007334	750	-0.156827	-88.565433
86	0.006093	750	-0.136473	-88.701906
87	0.004988	750	-0.125099	-88.827005
88	0.004013	750	-0.118413	-88.945419
89	0.003162	750	-0.096808	-89.042226
90	0.002430	750	-0.083322	-89.125549
91	0.001810	750	-0.070539	-89.196088
92	0.001296	750	-0.062497	-89.258585
93	0.000882	750	-0.044735	-89.303320
94	0.000559	750	-0.039365	-89.342685
95	0.000320	750	-0.028339	-89.371024
96	0.000156	750	-0.019317	-89.390341
97	0.000057	750	-0.011428	-89.401769
98	0.000010	750	-0.005538	-89.407306
99	0.000000	750	-0.001196	-89.408502
Log marginal likelihood:	-89.408502
