Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.083103	-1.083103
1	0.950747	750	-1.062395	-2.145498
2	0.926679	750	-1.027934	-3.173432
3	0.902980	750	-1.028057	-4.201489
4	0.879648	750	-1.011156	-5.212645
5	0.856682	750	-1.006585	-6.219230
6	0.834079	750	-0.985165	-7.204395
7	0.811838	750	-0.989860	-8.194255
8	0.789957	750	-0.953503	-9.147759
9	0.768433	750	-0.941024	-10.088783
10	0.747266	750	-0.927762	-11.016545
11	0.726452	750	-0.917760	-11.934304
12	0.705989	750	-0.899521	-12.833825
13	0.685877	750	-0.898405	-13.732230
14	0.666112	750	-0.855483	-14.587713
15	0.646693	750	-0.865455	-15.453169
16	0.627618	750	-0.845753	-16.298922
17	0.608884	750	-0.825812	-17.124734
18	0.590490	750	-0.837285	-17.962019
19	0.572433	750	-0.805306	-18.767325
20	0.554712	750	-0.804888	-19.572212
21	0.537324	750	-0.780997	-20.353209
22	0.520268	750	-0.765114	-21.118323
23	0.503540	750	-0.755489	-21.873812
24	0.487139	750	-0.744327	-22.618140
25	0.471063	750	-0.743682	-23.361822
26	0.455310	750	-0.726133	-24.087954
27	0.439877	750	-0.705066	-24.793021
28	0.424762	750	-0.698327	-25.491347
29	0.409963	750	-0.677712	-26.169059
30	0.395478	750	-0.668576	-26.837635
31	0.381305	750	-0.668219	-27.505854
32	0.367440	750	-0.644772	-28.150627
33	0.353883	750	-0.633564	-28.784190
34	0.340630	750	-0.623291	-29.407481
35	0.327680	750	-0.601092	-30.008573
36	0.315030	750	-0.594021	-30.602594
37	0.302677	750	-0.589409	-31.192003
38	0.290619	750	-0.572935	-31.764938
39	0.278855	750	-0.557204	-32.322142
40	0.267381	750	-0.545716	-32.867858
41	0.256195	750	-0.536343	-33.404202
42	0.245294	750	-0.516067	-33.920269
43	0.234677	750	-0.509209	-34.429478
44	0.224340	750	-0.514609	-34.944087
45	0.214281	750	-0.505456	-35.449543
46	0.204498	750	-0.483577	-35.933120
47	0.194988	750	-0.463882	-36.397002
48	0.185749	750	-0.467046	-36.864048
49	0.176777	750	-0.475485	-37.339534
50	0.168070	750	-0.439964	-37.779497
51	0.159626	750	-0.428826	-38.208323
52	0.151441	750	-0.414466	-38.622789
53	0.143514	750	-0.414896	-39.037685
54	0.135841	750	-0.399101	-39.436787
55	0.128420	750	-0.383087	-39.819874
56	0.121247	750	-0.374558	-40.194432
57	0.114320	750	-0.368139	-40.562571
58	0.107637	750	-0.361052	-40.923623
59	0.101193	750	-0.353349	-41.276972
60	0.094986	750	-0.344384	-41.621356
61	0.089014	750	-0.330897	-41.952253
62	0.083273	750	-0.334612	-42.286865
63	0.077760	750	-0.322359	-42.609224
64	0.072472	750	-0.301293	-42.910517
65	0.067406	750	-0.310712	-43.221229
66	0.062558	750	-0.296144	-43.517373
67	0.057926	750	-0.285616	-43.802989
68	0.053506	750	-0.267288	-44.070276
69	0.049295	750	-0.253569	-44.323845
70	0.045289	750	-0.257854	-44.581699
71	0.041485	750	-0.249858	-44.831557
72	0.037880	750	-0.237829	-45.069387
73	0.034469	750	-0.238368	-45.307755
74	0.031250	750	-0.240195	-45.547950
75	0.028218	750	-0.219156	-45.767106
76	0.025370	750	-0.231658	-45.998763
77	0.022702	750	-0.220100	-46.218863
78	0.020209	750	-0.214730	-46.433594
79	0.017889	750	-0.190962	-46.624556
80	0.015736	750	-0.183421	-46.807977
81	0.013746	750	-0.181204	-46.989180
82	0.011916	750	-0.178336	-47.167516
83	0.010240	750	-0.165111	-47.332627
84	0.008714	750	-0.146103	-47.478730
85	0.007334	750	-0.140620	-47.619350
86	0.006093	750	-0.126735	-47.746085
87	0.004988	750	-0.123009	-47.869094
88	0.004013	750	-0.102764	-47.971858
89	0.003162	750	-0.092991	-48.064848
90	0.002430	750	-0.087648	-48.152497
91	0.001810	750	-0.084776	-48.237272
92	0.001296	750	-0.070430	-48.307702
93	0.000882	750	-0.051764	-48.359467
94	0.000559	750	-0.038222	-48.397688
95	0.000320	750	-0.027767	-48.425455
96	0.000156	750	-0.021332	-48.446787
97	0.000057	750	-0.013671	-48.460458
98	0.000010	750	-0.005501	-48.465959
99	0.000000	750	-0.001209	-48.467168
Log marginal likelihood:	-48.467168
