Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.090967	-2.090967
1	0.950747	750	-2.040252	-4.131219
2	0.926679	750	-2.010084	-6.141303
3	0.902980	750	-2.040332	-8.181635
4	0.879648	750	-1.992742	-10.174376
5	0.856682	750	-1.960485	-12.134862
6	0.834079	750	-1.907580	-14.042442
7	0.811838	750	-1.867335	-15.909776
8	0.789957	750	-1.866380	-17.776156
9	0.768433	750	-1.809913	-19.586069
10	0.747266	750	-1.795684	-21.381753
11	0.726452	750	-1.785655	-23.167409
12	0.705989	750	-1.740726	-24.908134
13	0.685877	750	-1.723545	-26.631680
14	0.666112	750	-1.687471	-28.319151
15	0.646693	750	-1.658115	-29.977265
16	0.627618	750	-1.602056	-31.579321
17	0.608884	750	-1.585646	-33.164967
18	0.590490	750	-1.567125	-34.732092
19	0.572433	750	-1.577770	-36.309862
20	0.554712	750	-1.521235	-37.831097
21	0.537324	750	-1.518048	-39.349145
22	0.520268	750	-1.476950	-40.826095
23	0.503540	750	-1.445686	-42.271782
24	0.487139	750	-1.413879	-43.685661
25	0.471063	750	-1.412424	-45.098084
26	0.455310	750	-1.372716	-46.470800
27	0.439877	750	-1.367381	-47.838181
28	0.424762	750	-1.319635	-49.157816
29	0.409963	750	-1.297529	-50.455345
30	0.395478	750	-1.287131	-51.742476
31	0.381305	750	-1.256045	-52.998521
32	0.367440	750	-1.242165	-54.240686
33	0.353883	750	-1.193432	-55.434118
34	0.340630	750	-1.174996	-56.609114
35	0.327680	750	-1.144119	-57.753234
36	0.315030	750	-1.133927	-58.887161
37	0.302677	750	-1.092873	-59.980034
38	0.290619	750	-1.078759	-61.058793
39	0.278855	750	-1.063411	-62.122204
40	0.267381	750	-1.038783	-63.160987
41	0.256195	750	-1.031325	-64.192312
42	0.245294	750	-0.993342	-65.185654
43	0.234677	750	-0.975550	-66.161204
44	0.224340	750	-0.950281	-67.111485
45	0.214281	750	-0.913966	-68.025451
46	0.204498	750	-0.911135	-68.936586
47	0.194988	750	-0.878552	-69.815138
48	0.185749	750	-0.857746	-70.672884
49	0.176777	750	-0.835647	-71.508531
50	0.168070	750	-0.810470	-72.319001
51	0.159626	750	-0.787082	-73.106083
52	0.151441	750	-0.761061	-73.867144
53	0.143514	750	-0.745595	-74.612739
54	0.135841	750	-0.726645	-75.339384
55	0.128420	750	-0.707488	-76.046873
56	0.121247	750	-0.685695	-76.732568
57	0.114320	750	-0.662565	-77.395133
58	0.107637	750	-0.640827	-78.035960
59	0.101193	750	-0.620826	-78.656786
60	0.094986	750	-0.596800	-79.253586
61	0.089014	750	-0.588887	-79.842473
62	0.083273	750	-0.567820	-80.410293
63	0.077760	750	-0.549169	-80.959462
64	0.072472	750	-0.513991	-81.473453
65	0.067406	750	-0.489331	-81.962784
66	0.062558	750	-0.484871	-82.447655
67	0.057926	750	-0.458270	-82.905925
68	0.053506	750	-0.446288	-83.352213
69	0.049295	750	-0.415827	-83.768041
70	0.045289	750	-0.407335	-84.175376
71	0.041485	750	-0.393447	-84.568823
72	0.037880	750	-0.377012	-84.945835
73	0.034469	750	-0.372042	-85.317877
74	0.031250	750	-0.349552	-85.667429
75	0.028218	750	-0.321421	-85.988850
76	0.025370	750	-0.304316	-86.293166
77	0.022702	750	-0.296089	-86.589254
78	0.020209	750	-0.266743	-86.855997
79	0.017889	750	-0.263294	-87.119291
80	0.015736	750	-0.239848	-87.359139
81	0.013746	750	-0.238954	-87.598093
82	0.011916	750	-0.204026	-87.802118
83	0.010240	750	-0.198246	-88.000364
84	0.008714	750	-0.187064	-88.187429
85	0.007334	750	-0.169034	-88.356462
86	0.006093	750	-0.149134	-88.505596
87	0.004988	750	-0.145672	-88.651268
88	0.004013	750	-0.116639	-88.767907
89	0.003162	750	-0.105247	-88.873154
90	0.002430	750	-0.089990	-88.963144
91	0.001810	750	-0.085095	-89.048239
92	0.001296	750	-0.068549	-89.116788
93	0.000882	750	-0.058476	-89.175264
94	0.000559	750	-0.044161	-89.219425
95	0.000320	750	-0.031440	-89.250865
96	0.000156	750	-0.021583	-89.272448
97	0.000057	750	-0.012871	-89.285318
98	0.000010	750	-0.006194	-89.291513
99	0.000000	750	-0.001388	-89.292901
Log marginal likelihood:	-89.292901
