Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.750772	-1.750772
1	0.950747	750	-1.672394	-3.423166
2	0.926679	750	-1.649249	-5.072415
3	0.902980	750	-1.646446	-6.718861
4	0.879648	750	-1.624102	-8.342963
5	0.856682	750	-1.590251	-9.933214
6	0.834079	750	-1.577510	-11.510725
7	0.811838	750	-1.524338	-13.035063
8	0.789957	750	-1.495765	-14.530828
9	0.768433	750	-1.499935	-16.030763
10	0.747266	750	-1.476471	-17.507234
11	0.726452	750	-1.459117	-18.966351
12	0.705989	750	-1.447704	-20.414055
13	0.685877	750	-1.402766	-21.816822
14	0.666112	750	-1.378353	-23.195175
15	0.646693	750	-1.393528	-24.588703
16	0.627618	750	-1.356882	-25.945585
17	0.608884	750	-1.322871	-27.268456
18	0.590490	750	-1.310257	-28.578713
19	0.572433	750	-1.286020	-29.864733
20	0.554712	750	-1.253033	-31.117766
21	0.537324	750	-1.239389	-32.357155
22	0.520268	750	-1.207261	-33.564416
23	0.503540	750	-1.188579	-34.752995
24	0.487139	750	-1.169810	-35.922805
25	0.471063	750	-1.126681	-37.049486
26	0.455310	750	-1.131931	-38.181417
27	0.439877	750	-1.110383	-39.291800
28	0.424762	750	-1.093230	-40.385030
29	0.409963	750	-1.062984	-41.448013
30	0.395478	750	-1.053741	-42.501755
31	0.381305	750	-1.011072	-43.512827
32	0.367440	750	-0.998036	-44.510863
33	0.353883	750	-0.980105	-45.490968
34	0.340630	750	-0.953156	-46.444124
35	0.327680	750	-0.966474	-47.410599
36	0.315030	750	-0.940742	-48.351341
37	0.302677	750	-0.894053	-49.245393
38	0.290619	750	-0.897753	-50.143147
39	0.278855	750	-0.860603	-51.003750
40	0.267381	750	-0.840691	-51.844441
41	0.256195	750	-0.824266	-52.668707
42	0.245294	750	-0.814612	-53.483318
43	0.234677	750	-0.785706	-54.269025
44	0.224340	750	-0.775107	-55.044132
45	0.214281	750	-0.742969	-55.787101
46	0.204498	750	-0.748203	-56.535304
47	0.194988	750	-0.723209	-57.258513
48	0.185749	750	-0.694186	-57.952699
49	0.176777	750	-0.675346	-58.628045
50	0.168070	750	-0.658809	-59.286854
51	0.159626	750	-0.657441	-59.944294
52	0.151441	750	-0.627642	-60.571936
53	0.143514	750	-0.610693	-61.182629
54	0.135841	750	-0.593782	-61.776411
55	0.128420	750	-0.578089	-62.354500
56	0.121247	750	-0.561473	-62.915972
57	0.114320	750	-0.542309	-63.458281
58	0.107637	750	-0.538586	-63.996867
59	0.101193	750	-0.526553	-64.523420
60	0.094986	750	-0.484847	-65.008267
61	0.089014	750	-0.480282	-65.488549
62	0.083273	750	-0.471096	-65.959644
63	0.077760	750	-0.465013	-66.424658
64	0.072472	750	-0.432602	-66.857260
65	0.067406	750	-0.440103	-67.297363
66	0.062558	750	-0.398906	-67.696269
67	0.057926	750	-0.400774	-68.097043
68	0.053506	750	-0.388222	-68.485265
69	0.049295	750	-0.367604	-68.852869
70	0.045289	750	-0.359491	-69.212360
71	0.041485	750	-0.342391	-69.554751
72	0.037880	750	-0.328390	-69.883141
73	0.034469	750	-0.305862	-70.189003
74	0.031250	750	-0.299504	-70.488507
75	0.028218	750	-0.289292	-70.777799
76	0.025370	750	-0.274411	-71.052210
77	0.022702	750	-0.259438	-71.311648
78	0.020209	750	-0.240578	-71.552226
79	0.017889	750	-0.239140	-71.791367
80	0.015736	750	-0.228504	-72.019871
81	0.013746	750	-0.222344	-72.242215
82	0.011916	750	-0.200087	-72.442302
83	0.010240	750	-0.179546	-72.621848
84	0.008714	750	-0.180474	-72.802322
85	0.007334	750	-0.154820	-72.957142
86	0.006093	750	-0.146206	-73.103348
87	0.004988	750	-0.130224	-73.233572
88	0.004013	750	-0.102250	-73.335822
89	0.003162	750	-0.096785	-73.432607
90	0.002430	750	-0.090750	-73.523357
91	0.001810	750	-0.078976	-73.602333
92	0.001296	750	-0.057527	-73.659859
93	0.000882	750	-0.048708	-73.708567
94	0.000559	750	-0.040455	-73.749022
95	0.000320	750	-0.030253	-73.779275
96	0.000156	750	-0.021182	-73.800457
97	0.000057	750	-0.012059	-73.812516
98	0.000010	750	-0.005777	-73.818293
99	0.000000	750	-0.001199	-73.819492
Log marginal likelihood:	-73.819492
