Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.657480	-1.657480
1	0.950747	750	-1.640414	-3.297894
2	0.926679	750	-1.619436	-4.917330
3	0.902980	750	-1.602103	-6.519433
4	0.879648	750	-1.574184	-8.093618
5	0.856682	750	-1.548840	-9.642458
6	0.834079	750	-1.543117	-11.185575
7	0.811838	750	-1.492713	-12.678288
8	0.789957	750	-1.472963	-14.151251
9	0.768433	750	-1.449907	-15.601158
10	0.747266	750	-1.423235	-17.024393
11	0.726452	750	-1.422870	-18.447262
12	0.705989	750	-1.384104	-19.831366
13	0.685877	750	-1.362003	-21.193369
14	0.666112	750	-1.340089	-22.533458
15	0.646693	750	-1.321955	-23.855413
16	0.627618	750	-1.297516	-25.152929
17	0.608884	750	-1.261054	-26.413984
18	0.590490	750	-1.247329	-27.661313
19	0.572433	750	-1.229309	-28.890622
20	0.554712	750	-1.214414	-30.105036
21	0.537324	750	-1.190337	-31.295373
22	0.520268	750	-1.167112	-32.462485
23	0.503540	750	-1.150687	-33.613172
24	0.487139	750	-1.117455	-34.730627
25	0.471063	750	-1.101770	-35.832397
26	0.455310	750	-1.090677	-36.923074
27	0.439877	750	-1.063671	-37.986745
28	0.424762	750	-1.037408	-39.024153
29	0.409963	750	-1.039647	-40.063800
30	0.395478	750	-1.001458	-41.065258
31	0.381305	750	-0.973456	-42.038714
32	0.367440	750	-0.959263	-42.997977
33	0.353883	750	-0.951652	-43.949628
34	0.340630	750	-0.940382	-44.890010
35	0.327680	750	-0.901672	-45.791683
36	0.315030	750	-0.886153	-46.677835
37	0.302677	750	-0.869224	-47.547059
38	0.290619	750	-0.840870	-48.387929
39	0.278855	750	-0.822248	-49.210177
40	0.267381	750	-0.803843	-50.014020
41	0.256195	750	-0.794181	-50.808201
42	0.245294	750	-0.774090	-51.582291
43	0.234677	750	-0.744160	-52.326452
44	0.224340	750	-0.727847	-53.054299
45	0.214281	750	-0.728079	-53.782378
46	0.204498	750	-0.704790	-54.487168
47	0.194988	750	-0.681252	-55.168420
48	0.185749	750	-0.666971	-55.835391
49	0.176777	750	-0.655488	-56.490879
50	0.168070	750	-0.624008	-57.114887
51	0.159626	750	-0.612480	-57.727367
52	0.151441	750	-0.604160	-58.331527
53	0.143514	750	-0.570474	-58.902001
54	0.135841	750	-0.564307	-59.466308
55	0.128420	750	-0.546295	-60.012602
56	0.121247	750	-0.525642	-60.538244
57	0.114320	750	-0.513784	-61.052028
58	0.107637	750	-0.499864	-61.551892
59	0.101193	750	-0.499587	-62.051480
60	0.094986	750	-0.467808	-62.519288
61	0.089014	750	-0.464015	-62.983303
62	0.083273	750	-0.434835	-63.418137
63	0.077760	750	-0.432903	-63.851040
64	0.072472	750	-0.411188	-64.262228
65	0.067406	750	-0.401977	-64.664205
66	0.062558	750	-0.390900	-65.055105
67	0.057926	750	-0.370376	-65.425481
68	0.053506	750	-0.364340	-65.789821
69	0.049295	750	-0.343285	-66.133106
70	0.045289	750	-0.344306	-66.477412
71	0.041485	750	-0.329531	-66.806943
72	0.037880	750	-0.302062	-67.109006
73	0.034469	750	-0.299654	-67.408660
74	0.031250	750	-0.282038	-67.690698
75	0.028218	750	-0.270679	-67.961377
76	0.025370	750	-0.261936	-68.223313
77	0.022702	750	-0.255990	-68.479302
78	0.020209	750	-0.231820	-68.711123
79	0.017889	750	-0.219420	-68.930542
80	0.015736	750	-0.220191	-69.150734
81	0.013746	750	-0.188498	-69.339232
82	0.011916	750	-0.199968	-69.539200
83	0.010240	750	-0.184323	-69.723523
84	0.008714	750	-0.157839	-69.881362
85	0.007334	750	-0.150291	-70.031653
86	0.006093	750	-0.141800	-70.173452
87	0.004988	750	-0.124932	-70.298384
88	0.004013	750	-0.108851	-70.407236
89	0.003162	750	-0.101283	-70.508518
90	0.002430	750	-0.092880	-70.601398
91	0.001810	750	-0.077639	-70.679038
92	0.001296	750	-0.056865	-70.735902
93	0.000882	750	-0.049793	-70.785695
94	0.000559	750	-0.045214	-70.830909
95	0.000320	750	-0.031502	-70.862411
96	0.000156	750	-0.021727	-70.884137
97	0.000057	750	-0.012287	-70.896425
98	0.000010	750	-0.006089	-70.902513
99	0.000000	750	-0.001266	-70.903779
Log marginal likelihood:	-70.903779
