Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.427502	-0.427502
1	0.950747	750	-0.423183	-0.850685
2	0.926679	750	-0.414138	-1.264823
3	0.902980	750	-0.412429	-1.677252
4	0.879648	750	-0.393726	-2.070978
5	0.856682	750	-0.406590	-2.477567
6	0.834079	750	-0.403891	-2.881459
7	0.811838	750	-0.391902	-3.273361
8	0.789957	750	-0.399612	-3.672973
9	0.768433	750	-0.370810	-4.043783
10	0.747266	750	-0.391974	-4.435756
11	0.726452	750	-0.369405	-4.805161
12	0.705989	750	-0.371497	-5.176659
13	0.685877	750	-0.378659	-5.555317
14	0.666112	750	-0.349698	-5.905015
15	0.646693	750	-0.350655	-6.255670
16	0.627618	750	-0.355428	-6.611098
17	0.608884	750	-0.341854	-6.952952
18	0.590490	750	-0.345604	-7.298557
19	0.572433	750	-0.338094	-7.636651
20	0.554712	750	-0.341204	-7.977855
21	0.537324	750	-0.330024	-8.307879
22	0.520268	750	-0.316540	-8.624419
23	0.503540	750	-0.308323	-8.932742
24	0.487139	750	-0.302488	-9.235230
25	0.471063	750	-0.316381	-9.551611
26	0.455310	750	-0.301101	-9.852712
27	0.439877	750	-0.306530	-10.159241
28	0.424762	750	-0.288738	-10.447979
29	0.409963	750	-0.297348	-10.745328
30	0.395478	750	-0.285320	-11.030648
31	0.381305	750	-0.280934	-11.311582
32	0.367440	750	-0.281163	-11.592745
33	0.353883	750	-0.270628	-11.863373
34	0.340630	750	-0.270835	-12.134208
35	0.327680	750	-0.258682	-12.392891
36	0.315030	750	-0.254066	-12.646956
37	0.302677	750	-0.245981	-12.892938
38	0.290619	750	-0.255082	-13.148020
39	0.278855	750	-0.239536	-13.387556
40	0.267381	750	-0.228448	-13.616004
41	0.256195	750	-0.245128	-13.861132
42	0.245294	750	-0.231733	-14.092865
43	0.234677	750	-0.241748	-14.334613
44	0.224340	750	-0.226110	-14.560723
45	0.214281	750	-0.204511	-14.765234
46	0.204498	750	-0.222151	-14.987385
47	0.194988	750	-0.217772	-15.205157
48	0.185749	750	-0.219902	-15.425059
49	0.176777	750	-0.197235	-15.622294
50	0.168070	750	-0.205273	-15.827566
51	0.159626	750	-0.191974	-16.019541
52	0.151441	750	-0.191303	-16.210843
53	0.143514	750	-0.185249	-16.396092
54	0.135841	750	-0.185949	-16.582041
55	0.128420	750	-0.166499	-16.748539
56	0.121247	750	-0.172663	-16.921203
57	0.114320	750	-0.165048	-17.086251
58	0.107637	750	-0.168793	-17.255044
59	0.101193	750	-0.161060	-17.416104
60	0.094986	750	-0.168135	-17.584238
61	0.089014	750	-0.149965	-17.734203
62	0.083273	750	-0.150465	-17.884668
63	0.077760	750	-0.148348	-18.033015
64	0.072472	750	-0.129008	-18.162024
65	0.067406	750	-0.132597	-18.294621
66	0.062558	750	-0.122862	-18.417483
67	0.057926	750	-0.131095	-18.548578
68	0.053506	750	-0.108123	-18.656701
69	0.049295	750	-0.112320	-18.769021
70	0.045289	750	-0.102457	-18.871478
71	0.041485	750	-0.110888	-18.982366
72	0.037880	750	-0.096574	-19.078940
73	0.034469	750	-0.092885	-19.171824
74	0.031250	750	-0.089609	-19.261433
75	0.028218	750	-0.089949	-19.351382
76	0.025370	750	-0.082020	-19.433402
77	0.022702	750	-0.071073	-19.504475
78	0.020209	750	-0.071114	-19.575589
79	0.017889	750	-0.063477	-19.639066
80	0.015736	750	-0.057420	-19.696486
81	0.013746	750	-0.060844	-19.757330
82	0.011916	750	-0.052539	-19.809869
83	0.010240	750	-0.048170	-19.858038
84	0.008714	750	-0.044263	-19.902301
85	0.007334	750	-0.042518	-19.944819
86	0.006093	750	-0.034717	-19.979537
87	0.004988	750	-0.033899	-20.013436
88	0.004013	750	-0.030335	-20.043770
89	0.003162	750	-0.024543	-20.068313
90	0.002430	750	-0.022370	-20.090683
91	0.001810	750	-0.020821	-20.111504
92	0.001296	750	-0.017574	-20.129077
93	0.000882	750	-0.013260	-20.142337
94	0.000559	750	-0.010433	-20.152770
95	0.000320	750	-0.006778	-20.159549
96	0.000156	750	-0.005058	-20.164607
97	0.000057	750	-0.003366	-20.167973
98	0.000010	750	-0.001324	-20.169297
99	0.000000	750	-0.000311	-20.169608
Log marginal likelihood:	-20.169608
