Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.509703	-1.509703
1	0.950747	750	-1.478812	-2.988514
2	0.926679	750	-1.473166	-4.461681
3	0.902980	750	-1.436475	-5.898156
4	0.879648	750	-1.412474	-7.310630
5	0.856682	750	-1.407041	-8.717671
6	0.834079	750	-1.380976	-10.098647
7	0.811838	750	-1.341477	-11.440124
8	0.789957	750	-1.329052	-12.769176
9	0.768433	750	-1.311385	-14.080561
10	0.747266	750	-1.296573	-15.377134
11	0.726452	750	-1.258418	-16.635552
12	0.705989	750	-1.259476	-17.895028
13	0.685877	750	-1.293550	-19.188578
14	0.666112	750	-1.274240	-20.462818
15	0.646693	750	-1.277366	-21.740184
16	0.627618	750	-1.228468	-22.968652
17	0.608884	750	-1.156094	-24.124746
18	0.590490	750	-1.141976	-25.266723
19	0.572433	750	-1.110046	-26.376769
20	0.554712	750	-1.095415	-27.472184
21	0.537324	750	-1.083586	-28.555770
22	0.520268	750	-1.098771	-29.654540
23	0.503540	750	-1.090395	-30.744935
24	0.487139	750	-1.026648	-31.771584
25	0.471063	750	-1.029734	-32.801318
26	0.455310	750	-1.110176	-33.911494
27	0.439877	750	-0.974789	-34.886283
28	0.424762	750	-1.095002	-35.981284
29	0.409963	750	-1.050852	-37.032137
30	0.395478	750	-1.042417	-38.074554
31	0.381305	750	-1.086836	-39.161390
32	0.367440	750	-1.036093	-40.197483
33	0.353883	750	-0.902548	-41.100032
34	0.340630	750	-0.968232	-42.068264
35	0.327680	750	-0.940305	-43.008569
36	0.315030	750	-0.851506	-43.860074
37	0.302677	750	-0.774181	-44.634255
38	0.290619	750	-0.902063	-45.536318
39	0.278855	750	-0.855264	-46.391582
40	0.267381	750	-0.827047	-47.218629
41	0.256195	750	-0.807990	-48.026619
42	0.245294	750	-0.805651	-48.832270
43	0.234677	750	-0.797734	-49.630003
44	0.224340	750	-0.772336	-50.402339
45	0.214281	750	-0.785038	-51.187377
46	0.204498	750	-0.723104	-51.910481
47	0.194988	750	-0.716716	-52.627197
48	0.185749	750	-0.744271	-53.371469
49	0.176777	750	-0.673466	-54.044935
50	0.168070	750	-0.660551	-54.705486
51	0.159626	750	-0.655596	-55.361082
52	0.151441	750	-0.650111	-56.011193
53	0.143514	750	-0.582797	-56.593991
54	0.135841	750	-0.621615	-57.215605
55	0.128420	750	-0.590328	-57.805933
56	0.121247	750	-0.594645	-58.400578
57	0.114320	750	-0.535784	-58.936363
58	0.107637	750	-0.566202	-59.502565
59	0.101193	750	-0.541530	-60.044095
60	0.094986	750	-0.484730	-60.528825
61	0.089014	750	-0.502588	-61.031412
62	0.083273	750	-0.468355	-61.499768
63	0.077760	750	-0.443454	-61.943222
64	0.072472	750	-0.456560	-62.399782
65	0.067406	750	-0.425601	-62.825383
66	0.062558	750	-0.417539	-63.242921
67	0.057926	750	-0.392924	-63.635846
68	0.053506	750	-0.389152	-64.024998
69	0.049295	750	-0.363831	-64.388828
70	0.045289	750	-0.363541	-64.752370
71	0.041485	750	-0.333072	-65.085442
72	0.037880	750	-0.321361	-65.406803
73	0.034469	750	-0.308598	-65.715401
74	0.031250	750	-0.285484	-66.000885
75	0.028218	750	-0.283047	-66.283932
76	0.025370	750	-0.289323	-66.573254
77	0.022702	750	-0.256990	-66.830244
78	0.020209	750	-0.225053	-67.055298
79	0.017889	750	-0.226240	-67.281537
80	0.015736	750	-0.218720	-67.500258
81	0.013746	750	-0.179890	-67.680147
82	0.011916	750	-0.168918	-67.849065
83	0.010240	750	-0.163609	-68.012673
84	0.008714	750	-0.158495	-68.171168
85	0.007334	750	-0.164096	-68.335264
86	0.006093	750	-0.136359	-68.471623
87	0.004988	750	-0.113797	-68.585419
88	0.004013	750	-0.110297	-68.695717
89	0.003162	750	-0.080023	-68.775739
90	0.002430	750	-0.086916	-68.862655
91	0.001810	750	-0.188865	-69.051520
92	0.001296	750	-0.056957	-69.108477
93	0.000882	750	-0.052810	-69.161287
94	0.000559	750	-0.054028	-69.215314
95	0.000320	750	-0.031736	-69.247050
96	0.000156	750	-0.022986	-69.270036
97	0.000057	750	-0.011093	-69.281129
98	0.000010	750	-0.005639	-69.286767
99	0.000000	750	-0.001254	-69.288021
Log marginal likelihood:	-69.288021
