Steppingstone sampler:
        No Stones:                  100
        Start It:                   160001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.496952	-1.496952
1	0.950747	750	-1.467333	-2.964285
2	0.926679	750	-1.447726	-4.412012
3	0.902980	750	-1.423369	-5.835381
4	0.879648	750	-1.403722	-7.239103
5	0.856682	750	-1.382593	-8.621696
6	0.834079	750	-1.358703	-9.980399
7	0.811838	750	-1.342937	-11.323335
8	0.789957	750	-1.319805	-12.643140
9	0.768433	750	-1.294385	-13.937525
10	0.747266	750	-1.279021	-15.216547
11	0.726452	750	-1.255706	-16.472253
12	0.705989	750	-1.235369	-17.707622
13	0.685877	750	-1.216686	-18.924307
14	0.666112	750	-1.194035	-20.118343
15	0.646693	750	-1.170353	-21.288696
16	0.627618	750	-1.156890	-22.445587
17	0.608884	750	-1.137789	-23.583375
18	0.590490	750	-1.112847	-24.696222
19	0.572433	750	-1.094693	-25.790914
20	0.554712	750	-1.071912	-26.862826
21	0.537324	750	-1.055360	-27.918187
22	0.520268	750	-1.032312	-28.950498
23	0.503540	750	-1.014116	-29.964614
24	0.487139	750	-0.996804	-30.961419
25	0.471063	750	-0.977086	-31.938505
26	0.455310	750	-0.955475	-32.893980
27	0.439877	750	-0.941326	-33.835306
28	0.424762	750	-0.920103	-34.755409
29	0.409963	750	-0.903593	-35.659002
30	0.395478	750	-0.880489	-36.539491
31	0.381305	750	-0.860393	-37.399883
32	0.367440	750	-0.848442	-38.248325
33	0.353883	750	-0.829092	-39.077416
34	0.340630	750	-0.809921	-39.887337
35	0.327680	750	-0.793208	-40.680546
36	0.315030	750	-0.771019	-41.451565
37	0.302677	750	-0.755307	-42.206871
38	0.290619	750	-0.734698	-42.941570
39	0.278855	750	-0.720861	-43.662431
40	0.267381	750	-0.701147	-44.363578
41	0.256195	750	-0.691873	-45.055451
42	0.245294	750	-0.673287	-45.728738
43	0.234677	750	-0.656450	-46.385189
44	0.224340	750	-0.637301	-47.022490
45	0.214281	750	-0.620572	-47.643062
46	0.204498	750	-0.601564	-48.244626
47	0.194988	750	-0.587399	-48.832025
48	0.185749	750	-0.571539	-49.403564
49	0.176777	750	-0.558302	-49.961866
50	0.168070	750	-0.539786	-50.501652
51	0.159626	750	-0.523183	-51.024835
52	0.151441	750	-0.508500	-51.533335
53	0.143514	750	-0.495334	-52.028669
54	0.135841	750	-0.477399	-52.506068
55	0.128420	750	-0.461505	-52.967573
56	0.121247	750	-0.452158	-53.419731
57	0.114320	750	-0.433632	-53.853363
58	0.107637	750	-0.420737	-54.274100
59	0.101193	750	-0.407126	-54.681226
60	0.094986	750	-0.393568	-55.074795
61	0.089014	750	-0.378415	-55.453209
62	0.083273	750	-0.363317	-55.816527
63	0.077760	750	-0.350542	-56.167069
64	0.072472	750	-0.335268	-56.502337
65	0.067406	750	-0.326793	-56.829130
66	0.062558	750	-0.316195	-57.145326
67	0.057926	750	-0.294339	-57.439665
68	0.053506	750	-0.287236	-57.726901
69	0.049295	750	-0.274745	-58.001646
70	0.045289	750	-0.258873	-58.260519
71	0.041485	750	-0.249066	-58.509586
72	0.037880	750	-0.236702	-58.746288
73	0.034469	750	-0.219960	-58.966248
74	0.031250	750	-0.211750	-59.177998
75	0.028218	750	-0.204376	-59.382373
76	0.025370	750	-0.189155	-59.571529
77	0.022702	750	-0.177648	-59.749177
78	0.020209	750	-0.165954	-59.915131
79	0.017889	750	-0.161641	-60.076772
80	0.015736	750	-0.143832	-60.220604
81	0.013746	750	-0.131372	-60.351975
82	0.011916	750	-0.120990	-60.472965
83	0.010240	750	-0.113711	-60.586676
84	0.008714	750	-0.106102	-60.692779
85	0.007334	750	-0.091826	-60.784605
86	0.006093	750	-0.088705	-60.873310
87	0.004988	750	-0.074919	-60.948229
88	0.004013	750	-0.065823	-61.014052
89	0.003162	750	-0.056664	-61.070716
90	0.002430	750	-0.049566	-61.120282
91	0.001810	750	-0.042095	-61.162377
92	0.001296	750	-0.033982	-61.196359
93	0.000882	750	-0.028201	-61.224559
94	0.000559	750	-0.022351	-61.246910
95	0.000320	750	-0.016798	-61.263708
96	0.000156	750	-0.010966	-61.274674
97	0.000057	750	-0.006725	-61.281399
98	0.000010	750	-0.003515	-61.284914
99	0.000000	750	-0.000679	-61.285593
Log marginal likelihood:	-61.285593
