Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.815609	-2.815609
1	0.950747	750	-2.790084	-5.605693
2	0.926679	750	-2.748418	-8.354112
3	0.902980	750	-2.709500	-11.063612
4	0.879648	750	-2.658755	-13.722367
5	0.856682	750	-2.616847	-16.339213
6	0.834079	750	-2.563469	-18.902682
7	0.811838	750	-2.531557	-21.434240
8	0.789957	750	-2.496876	-23.931116
9	0.768433	750	-2.450489	-26.381605
10	0.747266	750	-2.420808	-28.802413
11	0.726452	750	-2.372889	-31.175302
12	0.705989	750	-2.347935	-33.523237
13	0.685877	750	-2.294398	-35.817635
14	0.666112	750	-2.272452	-38.090087
15	0.646693	750	-2.241446	-40.331533
16	0.627618	750	-2.178202	-42.509735
17	0.608884	750	-2.164590	-44.674326
18	0.590490	750	-2.137370	-46.811696
19	0.572433	750	-2.075396	-48.887092
20	0.554712	750	-2.041867	-50.928958
21	0.537324	750	-2.001069	-52.930028
22	0.520268	750	-1.964814	-54.894842
23	0.503540	750	-1.935345	-56.830186
24	0.487139	750	-1.909478	-58.739664
25	0.471063	750	-1.845489	-60.585153
26	0.455310	750	-1.822132	-62.407285
27	0.439877	750	-1.788673	-64.195958
28	0.424762	750	-1.749911	-65.945869
29	0.409963	750	-1.729775	-67.675644
30	0.395478	750	-1.683768	-69.359412
31	0.381305	750	-1.655181	-71.014592
32	0.367440	750	-1.624921	-72.639513
33	0.353883	750	-1.592884	-74.232398
34	0.340630	750	-1.552004	-75.784401
35	0.327680	750	-1.520676	-77.305078
36	0.315030	750	-1.478702	-78.783780
37	0.302677	750	-1.446371	-80.230151
38	0.290619	750	-1.424419	-81.654570
39	0.278855	750	-1.381096	-83.035665
40	0.267381	750	-1.352181	-84.387846
41	0.256195	750	-1.317304	-85.705150
42	0.245294	750	-1.278966	-86.984116
43	0.234677	750	-1.252478	-88.236595
44	0.224340	750	-1.219486	-89.456081
45	0.214281	750	-1.184951	-90.641032
46	0.204498	750	-1.180101	-91.821133
47	0.194988	750	-1.143070	-92.964203
48	0.185749	750	-1.110483	-94.074686
49	0.176777	750	-1.069633	-95.144320
50	0.168070	750	-1.043548	-96.187867
51	0.159626	750	-1.014909	-97.202776
52	0.151441	750	-0.978164	-98.180940
53	0.143514	750	-0.956135	-99.137074
54	0.135841	750	-0.914134	-100.051208
55	0.128420	750	-0.920315	-100.971523
56	0.121247	750	-0.881006	-101.852529
57	0.114320	750	-0.845077	-102.697606
58	0.107637	750	-0.809864	-103.507471
59	0.101193	750	-0.789114	-104.296585
60	0.094986	750	-0.765673	-105.062257
61	0.089014	750	-0.740002	-105.802259
62	0.083273	750	-0.708433	-106.510692
63	0.077760	750	-0.682697	-107.193389
64	0.072472	750	-0.656106	-107.849495
65	0.067406	750	-0.625874	-108.475368
66	0.062558	750	-0.617462	-109.092831
67	0.057926	750	-0.587044	-109.679875
68	0.053506	750	-0.559144	-110.239018
69	0.049295	750	-0.529725	-110.768743
70	0.045289	750	-0.506358	-111.275101
71	0.041485	750	-0.485957	-111.761058
72	0.037880	750	-0.476019	-112.237076
73	0.034469	750	-0.441754	-112.678830
74	0.031250	750	-0.427112	-113.105942
75	0.028218	750	-0.397403	-113.503345
76	0.025370	750	-0.383147	-113.886492
77	0.022702	750	-0.351006	-114.237498
78	0.020209	750	-0.346067	-114.583565
79	0.017889	750	-0.314936	-114.898501
80	0.015736	750	-0.299127	-115.197627
81	0.013746	750	-0.281337	-115.478964
82	0.011916	750	-0.256542	-115.735506
83	0.010240	750	-0.226554	-115.962060
84	0.008714	750	-0.212768	-116.174827
85	0.007334	750	-0.203474	-116.378301
86	0.006093	750	-0.171498	-116.549799
87	0.004988	750	-0.153415	-116.703215
88	0.004013	750	-0.140226	-116.843441
89	0.003162	750	-0.127610	-116.971051
90	0.002430	750	-0.108597	-117.079648
91	0.001810	750	-0.092378	-117.172027
92	0.001296	750	-0.078235	-117.250262
93	0.000882	750	-0.057357	-117.307619
94	0.000559	750	-0.050569	-117.358189
95	0.000320	750	-0.034459	-117.392648
96	0.000156	750	-0.024424	-117.417072
97	0.000057	750	-0.014267	-117.431339
98	0.000010	750	-0.007208	-117.438547
99	0.000000	750	-0.001515	-117.440062
Log marginal likelihood:	-117.440062
