Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.192585	-1.192585
1	0.950747	750	-1.168061	-2.360645
2	0.926679	750	-1.170797	-3.531443
3	0.902980	750	-1.128177	-4.659619
4	0.879648	750	-1.096720	-5.756340
5	0.856682	750	-1.092325	-6.848665
6	0.834079	750	-1.083707	-7.932371
7	0.811838	750	-1.084499	-9.016870
8	0.789957	750	-1.048697	-10.065567
9	0.768433	750	-1.040392	-11.105960
10	0.747266	750	-1.043078	-12.149038
11	0.726452	750	-1.007806	-13.156844
12	0.705989	750	-0.980416	-14.137260
13	0.685877	750	-0.971409	-15.108669
14	0.666112	750	-0.964505	-16.073174
15	0.646693	750	-0.946887	-17.020061
16	0.627618	750	-0.943767	-17.963828
17	0.608884	750	-0.909586	-18.873414
18	0.590490	750	-0.882223	-19.755637
19	0.572433	750	-0.878341	-20.633978
20	0.554712	750	-0.879872	-21.513850
21	0.537324	750	-0.861238	-22.375087
22	0.520268	750	-0.851743	-23.226831
23	0.503540	750	-0.830173	-24.057004
24	0.487139	750	-0.816874	-24.873878
25	0.471063	750	-0.805502	-25.679379
26	0.455310	750	-0.793807	-26.473187
27	0.439877	750	-0.789388	-27.262574
28	0.424762	750	-0.743652	-28.006226
29	0.409963	750	-0.737815	-28.744041
30	0.395478	750	-0.726289	-29.470331
31	0.381305	750	-0.709873	-30.180203
32	0.367440	750	-0.705097	-30.885300
33	0.353883	750	-0.683840	-31.569141
34	0.340630	750	-0.670929	-32.240070
35	0.327680	750	-0.658753	-32.898823
36	0.315030	750	-0.640701	-33.539524
37	0.302677	750	-0.654220	-34.193744
38	0.290619	750	-0.630522	-34.824266
39	0.278855	750	-0.623659	-35.447925
40	0.267381	750	-0.604134	-36.052058
41	0.256195	750	-0.572420	-36.624478
42	0.245294	750	-0.585280	-37.209758
43	0.234677	750	-0.570096	-37.779853
44	0.224340	750	-0.551551	-38.331405
45	0.214281	750	-0.531787	-38.863191
46	0.204498	750	-0.528960	-39.392152
47	0.194988	750	-0.507130	-39.899282
48	0.185749	750	-0.508859	-40.408140
49	0.176777	750	-0.481500	-40.889640
50	0.168070	750	-0.477432	-41.367072
51	0.159626	750	-0.473584	-41.840656
52	0.151441	750	-0.461127	-42.301783
53	0.143514	750	-0.443206	-42.744989
54	0.135841	750	-0.440874	-43.185863
55	0.128420	750	-0.401193	-43.587056
56	0.121247	750	-0.403294	-43.990351
57	0.114320	750	-0.394187	-44.384537
58	0.107637	750	-0.381772	-44.766310
59	0.101193	750	-0.371885	-45.138195
60	0.094986	750	-0.371497	-45.509692
61	0.089014	750	-0.347938	-45.857629
62	0.083273	750	-0.356589	-46.214218
63	0.077760	750	-0.330022	-46.544240
64	0.072472	750	-0.339045	-46.883285
65	0.067406	750	-0.318471	-47.201756
66	0.062558	750	-0.305445	-47.507202
67	0.057926	750	-0.289537	-47.796739
68	0.053506	750	-0.290118	-48.086857
69	0.049295	750	-0.295466	-48.382323
70	0.045289	750	-0.313103	-48.695426
71	0.041485	750	-0.296392	-48.991818
72	0.037880	750	-0.229546	-49.221364
73	0.034469	750	-0.267856	-49.489220
74	0.031250	750	-0.249252	-49.738472
75	0.028218	750	-0.239040	-49.977512
76	0.025370	750	-0.221571	-50.199083
77	0.022702	750	-0.190445	-50.389528
78	0.020209	750	-0.206609	-50.596137
79	0.017889	750	-0.198753	-50.794890
80	0.015736	750	-0.196132	-50.991022
81	0.013746	750	-0.178025	-51.169047
82	0.011916	750	-0.189617	-51.358664
83	0.010240	750	-0.147833	-51.506497
84	0.008714	750	-0.168901	-51.675397
85	0.007334	750	-0.147463	-51.822860
86	0.006093	750	-0.119764	-51.942623
87	0.004988	750	-0.120949	-52.063572
88	0.004013	750	-0.099660	-52.163232
89	0.003162	750	-0.103945	-52.267178
90	0.002430	750	-0.083175	-52.350352
91	0.001810	750	-0.075253	-52.425605
92	0.001296	750	-0.048618	-52.474223
93	0.000882	750	-0.051229	-52.525452
94	0.000559	750	-0.042226	-52.567677
95	0.000320	750	-0.029594	-52.597271
96	0.000156	750	-0.021029	-52.618300
97	0.000057	750	-0.012016	-52.630317
98	0.000010	750	-0.005572	-52.635889
99	0.000000	750	-0.001161	-52.637050
Log marginal likelihood:	-52.637050
