Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-2.346783	-2.346783
1	0.950747	750	-2.327770	-4.674553
2	0.926679	750	-2.281362	-6.955915
3	0.902980	750	-2.241196	-9.197111
4	0.879648	750	-2.202905	-11.400016
5	0.856682	750	-2.181732	-13.581748
6	0.834079	750	-2.147015	-15.728763
7	0.811838	750	-2.111331	-17.840094
8	0.789957	750	-2.071521	-19.911615
9	0.768433	750	-2.045460	-21.957075
10	0.747266	750	-2.022672	-23.979747
11	0.726452	750	-1.964322	-25.944069
12	0.705989	750	-2.059762	-28.003831
13	0.685877	750	-2.027318	-30.031149
14	0.666112	750	-1.946502	-31.977651
15	0.646693	750	-1.960587	-33.938239
16	0.627618	750	-1.916592	-35.854831
17	0.608884	750	-1.897176	-37.752007
18	0.590490	750	-1.781931	-39.533938
19	0.572433	750	-1.811442	-41.345379
20	0.554712	750	-1.780339	-43.125718
21	0.537324	750	-1.747499	-44.873217
22	0.520268	750	-1.714794	-46.588011
23	0.503540	750	-1.681759	-48.269769
24	0.487139	750	-1.646360	-49.916129
25	0.471063	750	-1.618359	-51.534489
26	0.455310	750	-1.592949	-53.127438
27	0.439877	750	-1.552615	-54.680052
28	0.424762	750	-1.517136	-56.197188
29	0.409963	750	-1.497056	-57.694244
30	0.395478	750	-1.449841	-59.144085
31	0.381305	750	-1.431520	-60.575605
32	0.367440	750	-1.409867	-61.985472
33	0.353883	750	-1.363417	-63.348889
34	0.340630	750	-1.357165	-64.706054
35	0.327680	750	-1.308156	-66.014210
36	0.315030	750	-1.273152	-67.287362
37	0.302677	750	-1.243061	-68.530422
38	0.290619	750	-1.244299	-69.774722
39	0.278855	750	-1.195123	-70.969844
40	0.267381	750	-1.243153	-72.212997
41	0.256195	750	-1.140652	-73.353649
42	0.245294	750	-1.178444	-74.532093
43	0.234677	750	-1.088796	-75.620889
44	0.224340	750	-1.159689	-76.780579
45	0.214281	750	-1.018474	-77.799052
46	0.204498	750	-1.001336	-78.800388
47	0.194988	750	-0.966500	-79.766888
48	0.185749	750	-0.967787	-80.734675
49	0.176777	750	-0.966192	-81.700867
50	0.168070	750	-0.894057	-82.594924
51	0.159626	750	-0.949633	-83.544557
52	0.151441	750	-0.893818	-84.438376
53	0.143514	750	-0.850886	-85.289262
54	0.135841	750	-0.856341	-86.145603
55	0.128420	750	-0.803948	-86.949551
56	0.121247	750	-0.807777	-87.757328
57	0.114320	750	-0.723752	-88.481080
58	0.107637	750	-0.767470	-89.248549
59	0.101193	750	-0.710879	-89.959428
60	0.094986	750	-0.726957	-90.686385
61	0.089014	750	-0.657880	-91.344265
62	0.083273	750	-0.621667	-91.965932
63	0.077760	750	-0.621055	-92.586988
64	0.072472	750	-0.612152	-93.199140
65	0.067406	750	-0.583461	-93.782601
66	0.062558	750	-0.531210	-94.313811
67	0.057926	750	-0.529196	-94.843007
68	0.053506	750	-0.493702	-95.336710
69	0.049295	750	-0.487825	-95.824535
70	0.045289	750	-0.455447	-96.279982
71	0.041485	750	-0.421741	-96.701723
72	0.037880	750	-0.439598	-97.141321
73	0.034469	750	-0.404970	-97.546291
74	0.031250	750	-0.371084	-97.917375
75	0.028218	750	-0.347451	-98.264826
76	0.025370	750	-0.333242	-98.598068
77	0.022702	750	-0.370267	-98.968335
78	0.020209	750	-0.302499	-99.270835
79	0.017889	750	-0.299156	-99.569990
80	0.015736	750	-0.277144	-99.847134
81	0.013746	750	-0.261109	-100.108244
82	0.011916	750	-0.228195	-100.336438
83	0.010240	750	-0.217059	-100.553498
84	0.008714	750	-0.202716	-100.756214
85	0.007334	750	-0.182004	-100.938218
86	0.006093	750	-0.200389	-101.138607
87	0.004988	750	-0.172091	-101.310698
88	0.004013	750	-0.132233	-101.442931
89	0.003162	750	-0.122184	-101.565115
90	0.002430	750	-0.097907	-101.663022
91	0.001810	750	-0.097108	-101.760130
92	0.001296	750	-0.073301	-101.833431
93	0.000882	750	-0.063507	-101.896938
94	0.000559	750	-0.091340	-101.988278
95	0.000320	750	-0.032526	-102.020805
96	0.000156	750	-0.025050	-102.045855
97	0.000057	750	-0.014336	-102.060191
98	0.000010	750	-0.007247	-102.067438
99	0.000000	750	-0.006225	-102.073662
Log marginal likelihood:	-102.073662
