Steppingstone sampler:
        No Stones:                  100
        Start It:                   10050001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-0.807017	-0.807017
1	0.950747	750	-0.795535	-1.602552
2	0.926679	750	-0.780835	-2.383387
3	0.902980	750	-0.764553	-3.147940
4	0.879648	750	-0.757439	-3.905379
5	0.856682	750	-0.740813	-4.646192
6	0.834079	750	-0.739314	-5.385506
7	0.811838	750	-0.718109	-6.103615
8	0.789957	750	-0.714591	-6.818206
9	0.768433	750	-0.700767	-7.518973
10	0.747266	750	-0.688405	-8.207378
11	0.726452	750	-0.677895	-8.885274
12	0.705989	750	-0.666586	-9.551860
13	0.685877	750	-0.658244	-10.210104
14	0.666112	750	-0.639069	-10.849173
15	0.646693	750	-0.634147	-11.483320
16	0.627618	750	-0.632083	-12.115403
17	0.608884	750	-0.617769	-12.733172
18	0.590490	750	-0.607169	-13.340341
19	0.572433	750	-0.595777	-13.936118
20	0.554712	750	-0.586329	-14.522447
21	0.537324	750	-0.571356	-15.093803
22	0.520268	750	-0.582006	-15.675809
23	0.503540	750	-0.557583	-16.233392
24	0.487139	750	-0.543352	-16.776744
25	0.471063	750	-0.539940	-17.316684
26	0.455310	750	-0.527197	-17.843881
27	0.439877	750	-0.519497	-18.363378
28	0.424762	750	-0.510109	-18.873487
29	0.409963	750	-0.501010	-19.374496
30	0.395478	750	-0.491032	-19.865529
31	0.381305	750	-0.471233	-20.336762
32	0.367440	750	-0.471149	-20.807911
33	0.353883	750	-0.461146	-21.269056
34	0.340630	750	-0.457459	-21.726515
35	0.327680	750	-0.451380	-22.177896
36	0.315030	750	-0.435751	-22.613646
37	0.302677	750	-0.432805	-23.046451
38	0.290619	750	-0.423031	-23.469482
39	0.278855	750	-0.414469	-23.883951
40	0.267381	750	-0.402651	-24.286602
41	0.256195	750	-0.399881	-24.686483
42	0.245294	750	-0.379640	-25.066123
43	0.234677	750	-0.382990	-25.449113
44	0.224340	750	-0.378779	-25.827892
45	0.214281	750	-0.356899	-26.184791
46	0.204498	750	-0.352145	-26.536936
47	0.194988	750	-0.361755	-26.898691
48	0.185749	750	-0.332255	-27.230946
49	0.176777	750	-0.345400	-27.576346
50	0.168070	750	-0.326726	-27.903072
51	0.159626	750	-0.320134	-28.223206
52	0.151441	750	-0.325026	-28.548231
53	0.143514	750	-0.299706	-28.847937
54	0.135841	750	-0.291566	-29.139503
55	0.128420	750	-0.297541	-29.437044
56	0.121247	750	-0.277609	-29.714653
57	0.114320	750	-0.275971	-29.990624
58	0.107637	750	-0.269235	-30.259859
59	0.101193	750	-0.271518	-30.531377
60	0.094986	750	-0.262700	-30.794077
61	0.089014	750	-0.255895	-31.049972
62	0.083273	750	-0.247626	-31.297598
63	0.077760	750	-0.249452	-31.547049
64	0.072472	750	-0.239288	-31.786337
65	0.067406	750	-0.241520	-32.027857
66	0.062558	750	-0.234589	-32.262446
67	0.057926	750	-0.229146	-32.491592
68	0.053506	750	-0.221248	-32.712840
69	0.049295	750	-0.216863	-32.929703
70	0.045289	750	-0.216431	-33.146135
71	0.041485	750	-0.206642	-33.352777
72	0.037880	750	-0.200546	-33.553323
73	0.034469	750	-0.195044	-33.748367
74	0.031250	750	-0.174885	-33.923252
75	0.028218	750	-0.191818	-34.115070
76	0.025370	750	-0.162300	-34.277370
77	0.022702	750	-0.169534	-34.446904
78	0.020209	750	-0.168979	-34.615883
79	0.017889	750	-0.153985	-34.769867
80	0.015736	750	-0.158930	-34.928798
81	0.013746	750	-0.145334	-35.074132
82	0.011916	750	-0.139742	-35.213874
83	0.010240	750	-0.122430	-35.336304
84	0.008714	750	-0.126575	-35.462879
85	0.007334	750	-0.111214	-35.574093
86	0.006093	750	-0.105121	-35.679214
87	0.004988	750	-0.097985	-35.777199
88	0.004013	750	-0.095985	-35.873183
89	0.003162	750	-0.090225	-35.963408
90	0.002430	750	-0.068253	-36.031661
91	0.001810	750	-0.061520	-36.093181
92	0.001296	750	-0.050335	-36.143516
93	0.000882	750	-0.048062	-36.191578
94	0.000559	750	-0.031203	-36.222781
95	0.000320	750	-0.024649	-36.247431
96	0.000156	750	-0.017474	-36.264905
97	0.000057	750	-0.010746	-36.275651
98	0.000010	750	-0.004852	-36.280503
99	0.000000	750	-0.001158	-36.281661
Log marginal likelihood:	-36.281661
