Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.617528	-1.617528
1	0.950747	750	-1.602789	-3.220317
2	0.926679	750	-1.575684	-4.796000
3	0.902980	750	-1.556209	-6.352210
4	0.879648	750	-1.536882	-7.889092
5	0.856682	750	-1.515707	-9.404799
6	0.834079	750	-1.482053	-10.886851
7	0.811838	750	-1.473377	-12.360229
8	0.789957	750	-1.435043	-13.795272
9	0.768433	750	-1.412280	-15.207552
10	0.747266	750	-1.401660	-16.609212
11	0.726452	750	-1.370555	-17.979767
12	0.705989	750	-1.353435	-19.333202
13	0.685877	750	-1.322155	-20.655357
14	0.666112	750	-1.302606	-21.957963
15	0.646693	750	-1.282039	-23.240002
16	0.627618	750	-1.267135	-24.507136
17	0.608884	750	-1.231275	-25.738411
18	0.590490	750	-1.222729	-26.961140
19	0.572433	750	-1.201408	-28.162548
20	0.554712	750	-1.177521	-29.340069
21	0.537324	750	-1.166176	-30.506245
22	0.520268	750	-1.142207	-31.648452
23	0.503540	750	-1.116047	-32.764499
24	0.487139	750	-1.078101	-33.842600
25	0.471063	750	-1.078935	-34.921534
26	0.455310	750	-1.058373	-35.979908
27	0.439877	750	-1.038365	-37.018273
28	0.424762	750	-1.009616	-38.027889
29	0.409963	750	-0.995859	-39.023749
30	0.395478	750	-0.984181	-40.007930
31	0.381305	750	-0.960513	-40.968443
32	0.367440	750	-0.946418	-41.914861
33	0.353883	750	-0.926354	-42.841215
34	0.340630	750	-0.904658	-43.745873
35	0.327680	750	-0.876038	-44.621911
36	0.315030	750	-0.861597	-45.483508
37	0.302677	750	-0.838138	-46.321646
38	0.290619	750	-0.824577	-47.146222
39	0.278855	750	-0.810145	-47.956368
40	0.267381	750	-0.786745	-48.743112
41	0.256195	750	-0.772381	-49.515493
42	0.245294	750	-0.759131	-50.274624
43	0.234677	750	-0.739861	-51.014484
44	0.224340	750	-0.704960	-51.719444
45	0.214281	750	-0.700612	-52.420056
46	0.204498	750	-0.677183	-53.097238
47	0.194988	750	-0.679788	-53.777026
48	0.185749	750	-0.648847	-54.425873
49	0.176777	750	-0.637804	-55.063677
50	0.168070	750	-0.619995	-55.683672
51	0.159626	750	-0.599003	-56.282675
52	0.151441	750	-0.582592	-56.865267
53	0.143514	750	-0.568701	-57.433968
54	0.135841	750	-0.554666	-57.988634
55	0.128420	750	-0.528076	-58.516710
56	0.121247	750	-0.518548	-59.035258
57	0.114320	750	-0.502422	-59.537679
58	0.107637	750	-0.485682	-60.023362
59	0.101193	750	-0.489319	-60.512680
60	0.094986	750	-0.467264	-60.979944
61	0.089014	750	-0.446989	-61.426933
62	0.083273	750	-0.445545	-61.872478
63	0.077760	750	-0.413023	-62.285502
64	0.072472	750	-0.393672	-62.679174
65	0.067406	750	-0.384312	-63.063486
66	0.062558	750	-0.373052	-63.436538
67	0.057926	750	-0.351517	-63.788055
68	0.053506	750	-0.351759	-64.139814
69	0.049295	750	-0.341103	-64.480917
70	0.045289	750	-0.314525	-64.795443
71	0.041485	750	-0.318465	-65.113908
72	0.037880	750	-0.302498	-65.416406
73	0.034469	750	-0.295296	-65.711702
74	0.031250	750	-0.285046	-65.996748
75	0.028218	750	-0.260234	-66.256982
76	0.025370	750	-0.242855	-66.499838
77	0.022702	750	-0.245938	-66.745776
78	0.020209	750	-0.221561	-66.967337
79	0.017889	750	-0.205240	-67.172577
80	0.015736	750	-0.218166	-67.390743
81	0.013746	750	-0.191736	-67.582479
82	0.011916	750	-0.177080	-67.759559
83	0.010240	750	-0.163148	-67.922707
84	0.008714	750	-0.151382	-68.074089
85	0.007334	750	-0.138142	-68.212231
86	0.006093	750	-0.127957	-68.340187
87	0.004988	750	-0.118693	-68.458880
88	0.004013	750	-0.113035	-68.571916
89	0.003162	750	-0.086143	-68.658059
90	0.002430	750	-0.080135	-68.738193
91	0.001810	750	-0.064736	-68.802930
92	0.001296	750	-0.055278	-68.858208
93	0.000882	750	-0.046912	-68.905120
94	0.000559	750	-0.037332	-68.942452
95	0.000320	750	-0.026528	-68.968981
96	0.000156	750	-0.020544	-68.989524
97	0.000057	750	-0.011352	-69.000877
98	0.000010	750	-0.005800	-69.006676
99	0.000000	750	-0.001109	-69.007786
Log marginal likelihood:	-69.007786
