Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.516900	-1.516900
1	0.950747	750	-1.487484	-3.004384
2	0.926679	750	-1.474928	-4.479312
3	0.902980	750	-1.446343	-5.925655
4	0.879648	750	-1.415499	-7.341154
5	0.856682	750	-1.397512	-8.738666
6	0.834079	750	-1.399393	-10.138058
7	0.811838	750	-1.366484	-11.504542
8	0.789957	750	-1.345976	-12.850518
9	0.768433	750	-1.327721	-14.178238
10	0.747266	750	-1.299081	-15.477319
11	0.726452	750	-1.277837	-16.755156
12	0.705989	750	-1.257581	-18.012737
13	0.685877	750	-1.233824	-19.246561
14	0.666112	750	-1.219303	-20.465864
15	0.646693	750	-1.241965	-21.707830
16	0.627618	750	-1.258136	-22.965965
17	0.608884	750	-1.231191	-24.197156
18	0.590490	750	-1.248442	-25.445598
19	0.572433	750	-1.144952	-26.590550
20	0.554712	750	-1.170196	-27.760746
21	0.537324	750	-1.176190	-28.936936
22	0.520268	750	-1.112918	-30.049854
23	0.503540	750	-1.107073	-31.156926
24	0.487139	750	-1.123503	-32.280429
25	0.471063	750	-1.099971	-33.380400
26	0.455310	750	-1.063255	-34.443655
27	0.439877	750	-1.016673	-35.460328
28	0.424762	750	-1.044518	-36.504846
29	0.409963	750	-1.008492	-37.513338
30	0.395478	750	-0.988487	-38.501826
31	0.381305	750	-0.983377	-39.485203
32	0.367440	750	-0.951422	-40.436625
33	0.353883	750	-0.942389	-41.379014
34	0.340630	750	-0.884636	-42.263650
35	0.327680	750	-0.908496	-43.172146
36	0.315030	750	-0.889031	-44.061176
37	0.302677	750	-0.858949	-44.920125
38	0.290619	750	-0.849908	-45.770033
39	0.278855	750	-0.840776	-46.610808
40	0.267381	750	-0.812293	-47.423101
41	0.256195	750	-0.795839	-48.218940
42	0.245294	750	-0.769807	-48.988747
43	0.234677	750	-0.756335	-49.745081
44	0.224340	750	-0.735306	-50.480387
45	0.214281	750	-0.717431	-51.197818
46	0.204498	750	-0.700396	-51.898214
47	0.194988	750	-0.682187	-52.580401
48	0.185749	750	-0.645204	-53.225605
49	0.176777	750	-0.656010	-53.881615
50	0.168070	750	-0.624581	-54.506196
51	0.159626	750	-0.606963	-55.113159
52	0.151441	750	-0.598438	-55.711597
53	0.143514	750	-0.577703	-56.289300
54	0.135841	750	-0.568624	-56.857924
55	0.128420	750	-0.554262	-57.412186
56	0.121247	750	-0.543907	-57.956093
57	0.114320	750	-0.528900	-58.484993
58	0.107637	750	-0.513687	-58.998679
59	0.101193	750	-0.496905	-59.495585
60	0.094986	750	-0.479205	-59.974790
61	0.089014	750	-0.470611	-60.445400
62	0.083273	750	-0.444620	-60.890020
63	0.077760	750	-0.447508	-61.337528
64	0.072472	750	-0.422545	-61.760074
65	0.067406	750	-0.405915	-62.165989
66	0.062558	750	-0.389758	-62.555746
67	0.057926	750	-0.368776	-62.924522
68	0.053506	750	-0.358634	-63.283156
69	0.049295	750	-0.344337	-63.627493
70	0.045289	750	-0.328517	-63.956010
71	0.041485	750	-0.312929	-64.268939
72	0.037880	750	-0.301555	-64.570494
73	0.034469	750	-0.286469	-64.856963
74	0.031250	750	-0.273327	-65.130290
75	0.028218	750	-0.253157	-65.383447
76	0.025370	750	-0.241022	-65.624468
77	0.022702	750	-0.225666	-65.850135
78	0.020209	750	-0.214510	-66.064644
79	0.017889	750	-0.199626	-66.264270
80	0.015736	750	-0.181678	-66.445949
81	0.013746	750	-0.169877	-66.615825
82	0.011916	750	-0.155392	-66.771218
83	0.010240	750	-0.144133	-66.915351
84	0.008714	750	-0.132566	-67.047917
85	0.007334	750	-0.120639	-67.168556
86	0.006093	750	-0.106642	-67.275198
87	0.004988	750	-0.094588	-67.369786
88	0.004013	750	-0.082984	-67.452770
89	0.003162	750	-0.073563	-67.526333
90	0.002430	750	-0.063458	-67.589791
91	0.001810	750	-0.053265	-67.643055
92	0.001296	750	-0.044168	-67.687223
93	0.000882	750	-0.036074	-67.723297
94	0.000559	750	-0.027990	-67.751286
95	0.000320	750	-0.021114	-67.772400
96	0.000156	750	-0.013962	-67.786362
97	0.000057	750	-0.008666	-67.795028
98	0.000010	750	-0.004059	-67.799087
99	0.000000	750	-0.000871	-67.799958
Log marginal likelihood:	-67.799958
